Regiao;Data;Usuario;Primeira Visita;Total;Usuarios;DT
Ulyanovsk Oblast;20230911;1;0;1;1;11/09/2023
Ulyanovsk Oblast;20230913;1;0;1;1;13/09/2023
Ulyanovsk Oblast;20230914;1;0;1;1;14/09/2023
West Virginia;20230807;1;0;1;1;07/08/2023
(not set);20230806;0;2;2;2;06/08/2023
(not set);20230811;0;1;1;1;11/08/2023
(not set);20230812;0;3;3;3;12/08/2023
(not set);20230814;0;2;2;2;14/08/2023
(not set);20230815;0;1;1;1;15/08/2023
(not set);20230817;0;1;1;1;17/08/2023
(not set);20230818;0;1;1;1;18/08/2023
(not set);20230822;0;1;1;1;22/08/2023
(not set);20230825;0;1;1;1;25/08/2023
(not set);20230826;0;6;6;6;26/08/2023
(not set);20230829;0;1;1;1;29/08/2023
(not set);20230831;0;1;1;1;31/08/2023
(not set);20230903;0;1;1;1;03/09/2023
(not set);20230905;0;1;1;1;05/09/2023
(not set);20230912;0;3;3;3;12/09/2023
(not set);20230913;0;4;4;4;13/09/2023
(not set);20230915;0;3;3;3;15/09/2023
(not set);20230916;0;3;3;3;16/09/2023
(not set);20230917;0;1;1;1;17/09/2023
(not set);20230918;0;1;1;1;18/09/2023
Andalusia;20230815;0;1;1;1;15/08/2023
Auckland;20230915;0;1;1;1;15/09/2023
Baden-Wurttemberg;20230905;0;1;1;1;05/09/2023
Bavaria;20230826;0;1;1;1;26/08/2023
Bekes County;20230902;0;0;1;1;02/09/2023
Braga;20230829;0;1;1;1;29/08/2023
Braga;20230901;0;1;1;1;01/09/2023
Brest Region;20230803;0;1;1;1;03/08/2023
British Columbia;20230810;0;1;1;1;10/08/2023
Buenos Aires;20230904;0;1;1;1;04/09/2023
California;20230808;0;1;1;1;08/08/2023
California;20230915;0;1;1;1;15/09/2023
California;20230918;0;1;1;1;18/09/2023
Campania;20230826;0;1;1;1;26/08/2023
Central Department;20230915;0;1;1;1;15/09/2023
Centre-Val de Loire;20230819;0;1;1;1;19/08/2023
Chelyabinsk Oblast;20230906;0;1;1;1;06/09/2023
Community of Madrid;20230827;0;1;1;1;27/08/2023
Cordoba;20230820;0;1;1;1;20/08/2023
Corrientes;20230805;0;0;1;1;05/08/2023
County Dublin;20230831;0;1;1;1;31/08/2023
Emilia-Romagna;20230803;0;1;1;1;03/08/2023
England;20230820;0;1;1;1;20/08/2023
England;20230827;0;1;1;1;27/08/2023
England;20230917;0;1;1;1;17/09/2023
Federal District;20230805;0;1;1;1;05/08/2023
Federal District;20230817;0;4;4;4;17/08/2023
Federal District;20230916;0;0;1;0;16/09/2023
Florida;20230820;0;1;1;1;20/08/2023
Florida;20230826;0;0;1;1;26/08/2023
Florida;20230913;0;1;1;1;13/09/2023
Florida;20230918;0;1;1;1;18/09/2023
Georgia;20230807;0;1;1;1;07/08/2023
Georgia;20230808;0;1;1;1;08/08/2023
Georgia;20230826;0;1;1;1;26/08/2023
Georgia;20230912;0;1;1;1;12/09/2023
Hamburg;20230809;0;1;1;1;09/08/2023
Hessen;20230902;0;1;1;1;02/09/2023
Ile-de-France;20230806;0;1;1;1;06/08/2023
Ile-de-France;20230827;0;1;1;1;27/08/2023
Ile-de-France;20230918;0;1;1;1;18/09/2023
Indiana;20230916;0;1;1;1;16/09/2023
Klaipeda County;20230806;0;1;1;1;06/08/2023
Kurgan Oblast;20230916;0;1;1;1;16/09/2023
Kyiv Oblast;20230910;0;1;1;1;10/09/2023
Lazio;20230821;0;1;1;1;21/08/2023
Lazio;20230827;0;1;1;1;27/08/2023
Lisbon;20230804;0;1;1;1;04/08/2023
Lisbon;20230805;0;1;1;1;05/08/2023
Lisbon;20230826;0;1;1;1;26/08/2023
Lisbon;20230829;0;0;1;0;29/08/2023
Lombardy;20230807;0;1;1;1;07/08/2023
Lombardy;20230810;0;1;1;1;10/08/2023
Lombardy;20230813;0;1;1;1;13/08/2023
Lombardy;20230817;0;1;1;1;17/08/2023
Lombardy;20230821;0;1;1;1;21/08/2023
Lombardy;20230901;0;1;1;1;01/09/2023
Lombardy;20230906;0;1;1;1;06/09/2023
Luanda Province;20230830;0;1;1;1;30/08/2023
Luanda Province;20230903;0;1;1;1;03/09/2023
Madeira;20230909;0;1;1;1;09/09/2023
Madrid;20230822;0;1;1;1;22/08/2023
Maine;20230829;0;1;1;1;29/08/2023
Mexico City;20230810;0;1;1;1;10/08/2023
Mexico City;20230819;0;1;1;1;19/08/2023
New York;20230820;0;1;1;1;20/08/2023
New York;20230908;0;1;1;1;08/09/2023
Newfoundland and Labrador;20230912;0;1;1;1;12/09/2023
Nizhny Novgorod Oblast;20230826;0;1;1;1;26/08/2023
Norrbotten County;20230827;0;1;1;1;27/08/2023
North Carolina;20230827;0;1;1;1;27/08/2023
North Carolina;20230901;0;1;1;1;01/09/2023
North Holland;20230903;0;1;1;1;03/09/2023
North Sumatra;20230803;0;1;1;1;03/08/2023
North Sumatra;20230817;0;0;1;0;17/08/2023
North Sumatra;20230819;0;0;1;0;19/08/2023
Nouvelle-Aquitaine;20230805;0;1;1;1;05/08/2023
Nouvelle-Aquitaine;20230824;0;1;1;1;24/08/2023
Nouvelle-Aquitaine;20230826;0;1;1;1;26/08/2023
Nouvelle-Aquitaine;20230831;0;1;1;1;31/08/2023
Nouvelle-Aquitaine;20230903;0;1;1;1;03/09/2023
Nouvelle-Aquitaine;20230906;0;1;1;1;06/09/2023
Nouvelle-Aquitaine;20230912;0;1;1;1;12/09/2023
Nouvelle-Aquitaine;20230917;0;1;1;1;17/09/2023
Ohio;20230824;0;2;2;2;24/08/2023
Ontario;20230803;0;1;1;1;03/08/2023
Ontario;20230805;0;1;1;1;05/08/2023
Ontario;20230808;0;2;2;2;08/08/2023
Ontario;20230813;0;1;1;1;13/08/2023
Ontario;20230909;0;1;1;1;09/09/2023
Ontario;20230912;0;1;1;1;12/09/2023
Porto District;20230804;0;1;1;1;04/08/2023
Porto District;20230811;0;1;1;1;11/08/2023
Porto District;20230825;0;1;1;1;25/08/2023
Puebla;20230803;0;1;1;1;03/08/2023
Quebec;20230817;0;1;1;1;17/08/2023
Region of Murcia;20230805;0;1;1;1;05/08/2023
Republic of Tatarstan;20230803;0;0;1;1;03/08/2023
Riga;20230824;0;1;1;1;24/08/2023
Saitama;20230818;0;1;1;1;18/08/2023
San Juan Province;20230805;0;1;1;1;05/08/2023
San Salvador Department;20230810;0;1;1;1;10/08/2023
Sofala Province;20230810;0;1;1;1;10/08/2023
Acre;20230808;0;1;1;1;08/08/2023
Acre;20230824;0;1;1;1;24/08/2023
Acre;20230913;0;1;1;1;13/09/2023
Alagoas;20230811;0;0;1;0;11/08/2023
Alagoas;20230814;0;1;1;1;14/08/2023
Alagoas;20230906;0;1;1;1;06/09/2023
Amapa;20230813;0;1;1;1;13/08/2023
Amapa;20230824;0;1;1;1;24/08/2023
Amazonas;20230805;0;1;1;1;05/08/2023
Amazonas;20230806;0;2;2;2;06/08/2023
Amazonas;20230808;0;2;2;2;08/08/2023
Amazonas;20230809;0;1;1;1;09/08/2023
Amazonas;20230810;0;1;1;1;10/08/2023
Amazonas;20230811;0;2;2;2;11/08/2023
Amazonas;20230815;0;1;1;1;15/08/2023
Amazonas;20230820;0;2;2;2;20/08/2023
Amazonas;20230823;0;1;2;2;23/08/2023
Amazonas;20230824;0;2;2;2;24/08/2023
Amazonas;20230828;0;0;1;1;28/08/2023
Amazonas;20230901;0;1;1;1;01/09/2023
Amazonas;20230902;0;1;1;1;02/09/2023
Amazonas;20230905;0;0;1;1;05/09/2023
Amazonas;20230906;0;1;3;2;06/09/2023
Amazonas;20230911;0;0;1;1;11/09/2023
Amazonas;20230914;0;1;2;2;14/09/2023
Amazonas;20230915;0;0;1;1;15/09/2023
Amazonas;20230916;0;1;1;1;16/09/2023
Amazonas;20230917;0;0;1;0;17/09/2023
Amazonas;20230918;0;1;2;2;18/09/2023
Bahia;20230809;0;4;5;4;09/08/2023
Bahia;20230812;0;2;2;2;12/08/2023
Bahia;20230815;0;2;2;2;15/08/2023
Bahia;20230820;0;1;1;1;20/08/2023
Bahia;20230821;0;3;3;3;21/08/2023
Bahia;20230827;0;1;1;1;27/08/2023
Bahia;20230830;0;3;3;3;30/08/2023
Bahia;20230902;0;2;2;2;02/09/2023
Bahia;20230903;0;1;1;1;03/09/2023
Bahia;20230908;0;0;1;1;08/09/2023
Bahia;20230914;0;2;2;2;14/09/2023
Bahia;20230916;0;4;4;4;16/09/2023
Bahia;20230917;0;1;1;1;17/09/2023
Bahia;20230918;0;3;3;3;18/09/2023
Ceara;20230804;0;0;1;1;04/08/2023
Ceara;20230813;0;1;1;1;13/08/2023
Ceara;20230817;0;2;2;2;17/08/2023
Ceara;20230820;0;2;2;2;20/08/2023
Ceara;20230825;0;2;2;2;25/08/2023
Ceara;20230829;0;1;1;1;29/08/2023
Ceara;20230830;0;1;1;1;30/08/2023
Ceara;20230904;0;0;1;0;04/09/2023
Ceara;20230908;0;1;1;1;08/09/2023
Ceara;20230914;0;1;2;1;14/09/2023
Ceara;20230917;0;1;1;1;17/09/2023
Ceara;20230918;0;1;1;1;18/09/2023
Espirito Santo;20230804;0;3;3;3;04/08/2023
Espirito Santo;20230805;0;2;2;2;05/08/2023
Espirito Santo;20230808;0;1;2;1;08/08/2023
Espirito Santo;20230814;0;3;3;3;14/08/2023
Espirito Santo;20230816;0;0;1;0;16/08/2023
Espirito Santo;20230910;0;1;1;1;10/09/2023
Espirito Santo;20230911;0;0;1;1;11/09/2023
Espirito Santo;20230914;0;2;3;3;14/09/2023
Goias;20230803;0;2;3;3;03/08/2023
Goias;20230806;0;1;1;1;06/08/2023
Goias;20230807;0;1;1;1;07/08/2023
Goias;20230809;0;3;3;3;09/08/2023
Goias;20230812;0;0;1;0;12/08/2023
Goias;20230814;0;1;1;1;14/08/2023
Goias;20230821;0;1;1;1;21/08/2023
Goias;20230822;0;2;3;2;22/08/2023
Goias;20230824;0;3;3;3;24/08/2023
Goias;20230825;0;3;3;3;25/08/2023
Goias;20230828;0;1;1;1;28/08/2023
Goias;20230830;0;1;1;1;30/08/2023
Goias;20230908;0;1;1;1;08/09/2023
Goias;20230909;0;0;1;0;09/09/2023
Goias;20230912;0;1;1;1;12/09/2023
Goias;20230913;0;0;1;0;13/09/2023
Goias;20230914;0;1;1;1;14/09/2023
Goias;20230917;0;2;2;2;17/09/2023
Goias;20230918;0;2;2;2;18/09/2023
Maranhao;20230806;0;2;2;2;06/08/2023
Maranhao;20230808;0;2;2;2;08/08/2023
Maranhao;20230820;0;1;1;1;20/08/2023
Maranhao;20230824;0;1;1;1;24/08/2023
Maranhao;20230829;0;1;1;1;29/08/2023
Maranhao;20230831;0;1;1;1;31/08/2023
Maranhao;20230907;0;1;1;1;07/09/2023
Maranhao;20230916;0;1;1;1;16/09/2023
Mato Grosso;20230805;0;1;1;1;05/08/2023
Mato Grosso;20230807;0;1;1;1;07/08/2023
Mato Grosso;20230811;0;1;1;1;11/08/2023
Mato Grosso;20230824;0;2;2;2;24/08/2023
Mato Grosso;20230827;0;1;1;1;27/08/2023
Mato Grosso;20230901;0;1;1;1;01/09/2023
Mato Grosso;20230908;0;1;1;1;08/09/2023
Mato Grosso;20230911;0;1;1;1;11/09/2023
Mato Grosso;20230915;0;1;1;1;15/09/2023
Mato Grosso;20230916;0;1;2;1;16/09/2023
Mato Grosso;20230918;0;0;1;0;18/09/2023
Mato Grosso do Sul;20230806;0;1;1;1;06/08/2023
Mato Grosso do Sul;20230809;0;0;1;0;09/08/2023
Mato Grosso do Sul;20230817;0;1;1;1;17/08/2023
Mato Grosso do Sul;20230819;0;1;1;1;19/08/2023
Mato Grosso do Sul;20230820;0;1;1;1;20/08/2023
Mato Grosso do Sul;20230822;0;1;1;1;22/08/2023
Mato Grosso do Sul;20230903;0;1;2;1;03/09/2023
Mato Grosso do Sul;20230905;0;1;1;1;05/09/2023
Mato Grosso do Sul;20230909;0;1;1;1;09/09/2023
Mato Grosso do Sul;20230912;0;1;1;1;12/09/2023
Minas Gerais;20230803;0;2;2;2;03/08/2023
Minas Gerais;20230806;0;3;3;3;06/08/2023
Minas Gerais;20230810;0;5;6;6;10/08/2023
Minas Gerais;20230812;0;3;3;3;12/08/2023
Minas Gerais;20230813;0;4;4;4;13/08/2023
Minas Gerais;20230907;0;2;4;2;07/09/2023
Minas Gerais;20230910;0;3;3;3;10/09/2023
Minas Gerais;20230918;0;1;2;1;18/09/2023
Para;20230803;0;2;2;2;03/08/2023
Para;20230808;0;1;1;1;08/08/2023
Para;20230812;0;1;2;1;12/08/2023
Para;20230814;0;1;1;1;14/08/2023
Para;20230818;0;1;1;1;18/08/2023
Para;20230827;0;1;1;1;27/08/2023
Para;20230831;0;0;1;0;31/08/2023
Para;20230909;0;1;1;1;09/09/2023
Para;20230911;0;1;1;1;11/09/2023
Para;20230912;0;2;2;2;12/09/2023
Para;20230914;0;2;2;2;14/09/2023
Para;20230917;0;1;1;1;17/09/2023
Paraiba;20230803;0;1;1;1;03/08/2023
Paraiba;20230811;0;1;1;1;11/08/2023
Paraiba;20230813;0;1;1;1;13/08/2023
Paraiba;20230815;0;2;2;2;15/08/2023
Paraiba;20230816;0;2;2;2;16/08/2023
Paraiba;20230822;0;1;1;1;22/08/2023
Paraiba;20230826;0;1;1;1;26/08/2023
Paraiba;20230831;0;2;2;2;31/08/2023
Parana;20230803;0;2;3;3;03/08/2023
Parana;20230805;0;3;3;3;05/08/2023
Parana;20230808;0;1;1;1;08/08/2023
Parana;20230809;0;1;2;2;09/08/2023
Parana;20230811;0;2;3;3;11/08/2023
Parana;20230812;0;3;4;4;12/08/2023
Parana;20230813;0;1;2;2;13/08/2023
Parana;20230815;0;2;2;2;15/08/2023
Parana;20230816;0;2;2;2;16/08/2023
Parana;20230819;0;1;1;1;19/08/2023
Parana;20230820;0;1;1;1;20/08/2023
Parana;20230822;0;2;2;2;22/08/2023
Parana;20230823;0;3;3;3;23/08/2023
Parana;20230901;0;1;1;1;01/09/2023
Parana;20230906;0;1;2;1;06/09/2023
Parana;20230912;0;3;3;3;12/09/2023
Parana;20230916;0;1;1;1;16/09/2023
Parana;20230918;0;1;1;1;18/09/2023
Pernambuco;20230805;0;1;1;1;05/08/2023
Pernambuco;20230806;0;1;1;1;06/08/2023
Pernambuco;20230807;0;1;1;1;07/08/2023
Pernambuco;20230808;0;2;2;2;08/08/2023
Pernambuco;20230809;0;1;1;1;09/08/2023
Pernambuco;20230818;0;1;1;1;18/08/2023
Pernambuco;20230821;0;0;1;1;21/08/2023
Pernambuco;20230823;0;1;1;1;23/08/2023
Pernambuco;20230901;0;1;1;1;01/09/2023
Pernambuco;20230902;0;2;2;2;02/09/2023
Pernambuco;20230903;0;1;1;1;03/09/2023
Pernambuco;20230906;0;1;1;1;06/09/2023
Pernambuco;20230909;0;2;2;2;09/09/2023
Pernambuco;20230913;0;1;1;1;13/09/2023
Pernambuco;20230914;0;2;2;2;14/09/2023
Pernambuco;20230916;0;2;2;2;16/09/2023
Pernambuco;20230917;0;1;1;1;17/09/2023
Pernambuco;20230918;0;2;3;3;18/09/2023
Piaui;20230803;0;2;2;2;03/08/2023
Piaui;20230810;0;1;1;1;10/08/2023
Piaui;20230818;0;1;1;1;18/08/2023
Piaui;20230821;0;1;1;1;21/08/2023
Piaui;20230828;0;1;1;1;28/08/2023
Piaui;20230903;0;0;1;1;03/09/2023
Piaui;20230916;0;2;2;2;16/09/2023
Piaui;20230917;0;1;1;1;17/09/2023
Piaui;20230918;0;1;1;1;18/09/2023
Rio Grande do Norte;20230805;0;1;1;1;05/08/2023
Rio Grande do Norte;20230807;0;1;2;1;07/08/2023
Rio Grande do Norte;20230808;0;1;1;1;08/08/2023
Rio Grande do Norte;20230810;0;1;1;1;10/08/2023
Rio Grande do Norte;20230819;0;1;1;1;19/08/2023
Rio Grande do Norte;20230823;0;1;1;1;23/08/2023
Rio Grande do Norte;20230824;0;2;2;2;24/08/2023
Rio Grande do Norte;20230831;0;2;2;2;31/08/2023
Rio Grande do Norte;20230905;0;1;1;1;05/09/2023
Rio Grande do Norte;20230907;0;3;4;4;07/09/2023
Rio Grande do Norte;20230911;0;1;1;1;11/09/2023
Rio Grande do Norte;20230914;0;1;1;1;14/09/2023
Rio Grande do Sul;20230803;0;0;1;1;03/08/2023
Rio Grande do Sul;20230805;0;1;1;1;05/08/2023
Rio Grande do Sul;20230806;0;1;2;2;06/08/2023
Rio Grande do Sul;20230815;0;2;2;2;15/08/2023
Rio Grande do Sul;20230818;0;1;1;1;18/08/2023
Rio Grande do Sul;20230820;0;1;1;1;20/08/2023
Rio Grande do Sul;20230821;0;1;1;1;21/08/2023
Rio Grande do Sul;20230822;0;1;1;1;22/08/2023
Rio Grande do Sul;20230828;0;1;1;1;28/08/2023
Rio Grande do Sul;20230901;0;3;4;3;01/09/2023
Rio Grande do Sul;20230907;0;1;1;1;07/09/2023
Rio Grande do Sul;20230908;0;4;4;4;08/09/2023
Rio Grande do Sul;20230909;0;2;2;2;09/09/2023
Rio Grande do Sul;20230910;0;2;2;2;10/09/2023
Rio Grande do Sul;20230914;0;2;3;3;14/09/2023
Rio Grande do Sul;20230915;0;1;1;1;15/09/2023
Rio Grande do Sul;20230916;0;2;4;4;16/09/2023
Rio Grande do Sul;20230917;0;1;2;2;17/09/2023
Rio Grande do Sul;20230918;0;1;1;1;18/09/2023
Rondonia;20230813;0;1;1;1;13/08/2023
Roraima;20230809;0;1;1;1;09/08/2023
Roraima;20230909;0;1;1;1;09/09/2023
Santa Catarina;20230804;0;3;3;3;04/08/2023
Santa Catarina;20230806;0;1;1;1;06/08/2023
Santa Catarina;20230807;0;3;3;3;07/08/2023
Santa Catarina;20230808;0;0;1;0;08/08/2023
Santa Catarina;20230809;0;1;1;1;09/08/2023
Santa Catarina;20230810;0;3;3;3;10/08/2023
Santa Catarina;20230814;0;1;1;1;14/08/2023
Santa Catarina;20230821;0;2;2;2;21/08/2023
Santa Catarina;20230826;0;1;1;1;26/08/2023
Santa Catarina;20230827;0;2;2;2;27/08/2023
Santa Catarina;20230831;0;2;2;2;31/08/2023
Santa Catarina;20230902;0;1;2;2;02/09/2023
Santa Catarina;20230903;0;2;2;2;03/09/2023
Santa Catarina;20230905;0;1;1;1;05/09/2023
Santa Catarina;20230913;0;3;3;3;13/09/2023
Santa Catarina;20230914;0;2;2;2;14/09/2023
Santa Catarina;20230915;0;2;2;2;15/09/2023
Santa Catarina;20230917;0;2;2;2;17/09/2023
Sao Paulo;20230812;0;7;9;7;12/08/2023
Sao Paulo;20230814;0;1;3;2;14/08/2023
Sao Paulo;20230829;0;5;6;6;29/08/2023
Sergipe;20230805;0;1;1;1;05/08/2023
Sergipe;20230810;0;1;1;1;10/08/2023
Sergipe;20230827;0;0;1;1;27/08/2023
Sergipe;20230828;0;1;1;1;28/08/2023
Sergipe;20230829;0;1;1;1;29/08/2023
Sergipe;20230830;0;1;1;1;30/08/2023
Sergipe;20230903;0;1;1;1;03/09/2023
Sergipe;20230907;0;0;1;0;07/09/2023
Sergipe;20230915;0;0;1;1;15/09/2023
Sergipe;20230916;0;1;1;1;16/09/2023
Tocantins;20230808;0;1;1;1;08/08/2023
Tocantins;20230825;0;1;1;1;25/08/2023
Tocantins;20230831;0;1;1;1;31/08/2023
Tocantins;20230915;0;1;1;1;15/09/2023
Tocantins;20230916;0;1;1;1;16/09/2023
Styria;20230914;0;1;1;1;14/09/2023
Vienna;20230901;0;1;1;1;01/09/2023
Viken;20230909;0;1;1;1;09/09/2023
Virginia;20230909;0;6;6;6;09/09/2023
Washington;20230809;0;1;1;1;09/08/2023
Washington;20230810;0;1;1;1;10/08/2023
Washington;20230915;0;1;1;1;15/09/2023
Zurich;20230803;0;1;1;1;03/08/2023
Rio de Janeiro;20230921;43;20;63;62;21/09/2023
Rio de Janeiro;20230919;38;27;66;63;19/09/2023
Rio de Janeiro;20230920;29;25;56;52;20/09/2023
Rio de Janeiro;20230918;27;23;51;49;18/09/2023
Rio de Janeiro;20230922;23;20;42;41;22/09/2023
Rio de Janeiro;20230923;18;15;33;31;23/09/2023
Rio de Janeiro;20230924;13;11;23;23;24/09/2023
Sao Paulo;20230921;7;9;14;14;21/09/2023
Federal District;20230922;6;0;6;6;22/09/2023
Minas Gerais;20230921;5;4;9;9;21/09/2023
Sao Paulo;20230919;5;6;11;11;19/09/2023
Sao Paulo;20230924;5;10;14;14;24/09/2023
Federal District;20230920;4;2;7;6;20/09/2023
Federal District;20230923;4;1;4;4;23/09/2023
Sao Paulo;20230918;4;7;12;12;18/09/2023
Federal District;20230919;3;1;3;3;19/09/2023
Federal District;20230921;3;1;3;3;21/09/2023
Espirito Santo;20230922;3;2;5;5;22/09/2023
Sao Paulo;20230920;3;4;8;8;20/09/2023
Sao Paulo;20230922;3;4;8;8;22/09/2023
Sao Paulo;20230923;3;9;11;10;23/09/2023
Federal District;20230918;2;4;6;6;18/09/2023
Federal District;20230924;2;3;5;4;24/09/2023
Ceara;20230922;2;0;2;2;22/09/2023
Espirito Santo;20230918;2;1;2;2;18/09/2023
Espirito Santo;20230920;2;1;3;3;20/09/2023
Espirito Santo;20230921;2;0;2;2;21/09/2023
Espirito Santo;20230923;2;1;2;2;23/09/2023
Minas Gerais;20230920;2;4;7;6;20/09/2023
Minas Gerais;20230922;2;5;7;7;22/09/2023
Minas Gerais;20230923;2;4;7;7;23/09/2023
Santa Catarina;20230918;2;0;2;2;18/09/2023
Santa Catarina;20230919;2;5;8;7;19/09/2023
England;20230918;1;1;1;1;18/09/2023
England;20230921;1;1;1;1;21/09/2023
Ile-de-France;20230919;1;0;1;1;19/09/2023
Ile-de-France;20230922;1;0;1;1;22/09/2023
Ile-de-France;20230923;1;0;1;1;23/09/2023
Kyiv Oblast;20230922;1;0;1;1;22/09/2023
Kyiv Oblast;20230923;1;0;1;1;23/09/2023
Lombardy;20230921;1;0;1;1;21/09/2023
Massachusetts;20230919;1;0;1;1;19/09/2023
Massachusetts;20230923;1;0;1;1;23/09/2023
Mexico City;20230921;1;1;1;1;21/09/2023
Sardinia;20230921;1;0;1;1;21/09/2023
Alagoas;20230919;1;0;1;1;19/09/2023
Alagoas;20230920;1;1;2;2;20/09/2023
Alagoas;20230923;1;1;2;2;23/09/2023
Amazonas;20230921;1;1;2;2;21/09/2023
Bahia;20230919;1;3;4;4;19/09/2023
Bahia;20230920;1;0;1;1;20/09/2023
Bahia;20230922;1;2;3;3;22/09/2023
Espirito Santo;20230919;1;0;1;1;19/09/2023
Goias;20230919;1;3;4;4;19/09/2023
Goias;20230922;1;1;2;2;22/09/2023
Goias;20230923;1;1;1;1;23/09/2023
Maranhao;20230921;1;0;1;1;21/09/2023
Minas Gerais;20230919;1;2;3;3;19/09/2023
Minas Gerais;20230924;1;2;3;3;24/09/2023
Para;20230918;1;2;3;3;18/09/2023
Paraiba;20230918;1;1;1;1;18/09/2023
Paraiba;20230919;1;0;1;1;19/09/2023
Paraiba;20230920;1;1;2;2;20/09/2023
Paraiba;20230922;1;0;1;1;22/09/2023
Parana;20230919;1;1;2;2;19/09/2023
Parana;20230922;1;1;2;2;22/09/2023
Pernambuco;20230924;1;1;2;2;24/09/2023
Piaui;20230920;1;0;1;1;20/09/2023
Piaui;20230922;1;0;1;1;22/09/2023
Rio Grande do Norte;20230920;1;1;1;1;20/09/2023
Rio Grande do Norte;20230921;1;1;1;1;21/09/2023
Rio Grande do Sul;20230919;1;0;1;1;19/09/2023
Rio Grande do Sul;20230922;1;3;4;4;22/09/2023
(not set);20230918;0;1;1;1;18/09/2023
(not set);20230919;0;2;2;2;19/09/2023
(not set);20230923;0;1;1;1;23/09/2023
(not set);20230924;0;2;2;2;24/09/2023
Beja District;20230922;0;1;1;1;22/09/2023
Buenos Aires Province;20230919;0;1;1;1;19/09/2023
California;20230918;0;1;1;1;18/09/2023
Florida;20230918;0;1;1;1;18/09/2023
Florida;20230923;0;1;1;1;23/09/2023
Ile-de-France;20230918;0;1;1;1;18/09/2023
Lisbon;20230923;0;1;1;1;23/09/2023
Massachusetts;20230922;0;1;1;1;22/09/2023
Nouvelle-Aquitaine;20230924;0;1;1;1;24/09/2023
Acre;20230921;0;1;1;1;21/09/2023
Alagoas;20230921;0;0;1;0;21/09/2023
Amapa;20230922;0;1;1;1;22/09/2023
Amazonas;20230918;0;1;2;2;18/09/2023
Amazonas;20230919;0;0;1;1;19/09/2023
Amazonas;20230920;0;0;1;1;20/09/2023
Amazonas;20230922;0;0;1;1;22/09/2023
Amazonas;20230923;0;2;2;2;23/09/2023
Amazonas;20230924;0;1;1;1;24/09/2023
Bahia;20230918;0;3;3;3;18/09/2023
Bahia;20230921;0;1;1;1;21/09/2023
Bahia;20230923;0;1;1;1;23/09/2023
Ceara;20230918;0;1;1;1;18/09/2023
Ceara;20230919;0;1;1;1;19/09/2023
Ceara;20230921;0;2;2;2;21/09/2023
Ceara;20230923;0;1;1;1;23/09/2023
Ceara;20230924;0;2;2;2;24/09/2023
Goias;20230918;0;2;2;2;18/09/2023
Goias;20230921;0;1;1;1;21/09/2023
Maranhao;20230919;0;1;1;1;19/09/2023
Mato Grosso;20230918;0;0;1;0;18/09/2023
Mato Grosso;20230919;0;0;1;0;19/09/2023
Mato Grosso;20230920;0;1;1;1;20/09/2023
Mato Grosso;20230921;0;0;1;0;21/09/2023
Mato Grosso;20230924;0;0;1;0;24/09/2023
Mato Grosso do Sul;20230920;0;1;1;1;20/09/2023
Minas Gerais;20230918;0;1;2;1;18/09/2023
Para;20230919;0;3;3;3;19/09/2023
Para;20230920;0;1;1;1;20/09/2023
Paraiba;20230921;0;1;1;1;21/09/2023
Paraiba;20230924;0;0;1;0;24/09/2023
Parana;20230918;0;1;1;1;18/09/2023
Parana;20230920;0;3;3;3;20/09/2023
Parana;20230921;0;1;1;1;21/09/2023
Parana;20230923;0;2;2;2;23/09/2023
Parana;20230924;0;3;3;3;24/09/2023
Pernambuco;20230918;0;2;3;3;18/09/2023
Pernambuco;20230919;0;1;1;1;19/09/2023
Pernambuco;20230922;0;1;1;1;22/09/2023
Piaui;20230918;0;1;1;1;18/09/2023
Rio Grande do Sul;20230918;0;1;1;1;18/09/2023
Rio Grande do Sul;20230920;0;1;3;2;20/09/2023
Rio Grande do Sul;20230924;0;2;2;2;24/09/2023
Santa Catarina;20230920;0;3;3;3;20/09/2023
Santa Catarina;20230921;0;2;2;2;21/09/2023
Santa Catarina;20230922;0;2;3;2;22/09/2023
Santa Catarina;20230923;0;2;2;2;23/09/2023
Santa Catarina;20230924;0;2;2;2;24/09/2023
Sergipe;20230919;0;2;2;2;19/09/2023
Sergipe;20230920;0;0;1;0;20/09/2023
Texas;20230919;0;1;1;1;19/09/2023
Texas;20230921;0;1;1;1;21/09/2023
Tokyo;20230919;0;2;2;2;19/09/2023
Tokyo;20230920;0;1;1;1;20/09/2023
Vestland;20230919;0;1;1;1;19/09/2023
Rio de Janeiro;20230928;51;30;77;75;28/09/2023
Rio de Janeiro;20230929;33;18;54;51;29/09/2023
Rio de Janeiro;20230926;32;20;53;52;26/09/2023
Rio de Janeiro;20230927;31;28;61;58;27/09/2023
Rio de Janeiro;20230925;29;24;50;48;25/09/2023
Rio de Janeiro;20230930;27;19;47;44;30/09/2023
Rio de Janeiro;20231001;20;16;37;33;01/10/2023
Federal District;20230927;6;2;8;8;27/09/2023
Federal District;20230928;6;1;7;7;28/09/2023
Rio de Janeiro;20231002;5;2;7;7;02/10/2023
Sao Paulo;20230926;5;7;12;12;26/09/2023
Sao Paulo;20230927;5;20;25;25;27/09/2023
Sao Paulo;20230928;5;9;15;14;28/09/2023
Sao Paulo;20230930;5;10;14;14;30/09/2023
Federal District;20230926;4;5;9;9;26/09/2023
