Regiao;Data;Usuario;Primeira Visita;Total;Usuarios;DT
Rio Grande do Sul;20230810;3;2;5;5;10/08/2023
Santa Catarina;20230828;3;0;3;3;28/08/2023
Sao Paulo;20230806;3;10;13;13;06/08/2023
Sao Paulo;20230808;3;15;17;17;08/08/2023
Sao Paulo;20230816;3;6;9;9;16/08/2023
Sao Paulo;20230823;3;9;12;12;23/08/2023
Sao Paulo;20230824;3;21;25;24;24/08/2023
Sao Paulo;20230906;3;8;11;11;06/09/2023
Sao Paulo;20230909;3;4;8;8;09/09/2023
Sao Paulo;20230910;3;8;10;10;10/09/2023
Sao Paulo;20230911;3;7;10;10;11/09/2023
(not set);20230808;2;1;3;3;08/08/2023
Federal District;20230806;2;6;7;7;06/08/2023
Federal District;20230811;2;3;5;5;11/08/2023
Federal District;20230812;2;0;2;2;12/08/2023
Federal District;20230815;2;2;4;4;15/08/2023
Federal District;20230823;2;4;7;6;23/08/2023
Federal District;20230824;2;4;6;6;24/08/2023
Federal District;20230830;2;2;5;4;30/08/2023
Federal District;20230907;2;1;3;3;07/09/2023
Federal District;20230910;2;0;2;2;10/09/2023
Federal District;20230918;2;4;6;6;18/09/2023
Lisbon;20230809;2;0;2;2;09/08/2023
Lisbon;20230825;2;0;2;2;25/08/2023
Lisbon;20230828;2;0;2;2;28/08/2023
Ontario;20230915;2;1;3;3;15/09/2023
Alagoas;20230821;2;2;3;3;21/08/2023
Alagoas;20230829;2;0;2;2;29/08/2023
Alagoas;20230831;2;1;2;2;31/08/2023
Alagoas;20230902;2;0;2;2;02/09/2023
Alagoas;20230905;2;0;2;2;05/09/2023
Bahia;20230813;2;3;4;4;13/08/2023
Bahia;20230814;2;2;3;3;14/08/2023
Bahia;20230829;2;4;6;6;29/08/2023
Bahia;20230907;2;2;4;4;07/09/2023
Ceara;20230806;2;0;2;2;06/08/2023
Ceara;20230810;2;3;4;4;10/08/2023
Ceara;20230811;2;1;3;3;11/08/2023
Ceara;20230812;2;2;4;3;12/08/2023
Ceara;20230903;2;1;3;3;03/09/2023
Espirito Santo;20230809;2;2;4;4;09/08/2023
Espirito Santo;20230810;2;4;6;6;10/08/2023
Espirito Santo;20230815;2;0;2;2;15/08/2023
Espirito Santo;20230819;2;4;5;5;19/08/2023
Espirito Santo;20230820;2;2;4;4;20/08/2023
Espirito Santo;20230822;2;1;3;3;22/08/2023
Espirito Santo;20230825;2;2;4;4;25/08/2023
Espirito Santo;20230828;2;0;2;2;28/08/2023
Espirito Santo;20230906;2;0;2;2;06/09/2023
Espirito Santo;20230918;2;1;2;2;18/09/2023
Mato Grosso do Sul;20230908;2;0;2;2;08/09/2023
Minas Gerais;20230805;2;8;11;11;05/08/2023
Minas Gerais;20230811;2;2;6;4;11/08/2023
Minas Gerais;20230817;2;1;4;3;17/08/2023
Minas Gerais;20230819;2;5;6;6;19/08/2023
Minas Gerais;20230822;2;4;6;6;22/08/2023
Minas Gerais;20230827;2;5;7;7;27/08/2023
Minas Gerais;20230903;2;2;4;4;03/09/2023
Minas Gerais;20230905;2;3;5;5;05/09/2023
Minas Gerais;20230908;2;2;5;5;08/09/2023
Minas Gerais;20230912;2;1;3;3;12/09/2023
Minas Gerais;20230914;2;4;6;6;14/09/2023
Minas Gerais;20230915;2;7;7;7;15/09/2023
Minas Gerais;20230916;2;3;5;4;16/09/2023
Para;20230809;2;0;2;2;09/08/2023
Para;20230825;2;1;3;3;25/08/2023
Paraiba;20230804;2;2;3;3;04/08/2023
Paraiba;20230825;2;0;2;2;25/08/2023
Parana;20230829;2;4;5;5;29/08/2023
Parana;20230830;2;5;6;6;30/08/2023
Parana;20230831;2;4;6;5;31/08/2023
Parana;20230903;2;1;3;3;03/09/2023
Parana;20230905;2;1;3;3;05/09/2023
Parana;20230913;2;1;3;3;13/09/2023
Parana;20230917;2;1;3;3;17/09/2023
Piaui;20230827;2;0;2;2;27/08/2023
Rio Grande do Sul;20230807;2;4;7;7;07/08/2023
Rio Grande do Sul;20230824;2;1;4;4;24/08/2023
Rio Grande do Sul;20230826;2;3;5;5;26/08/2023
Rio Grande do Sul;20230827;2;0;2;2;27/08/2023
Rio Grande do Sul;20230904;2;2;4;4;04/09/2023
Rio Grande do Sul;20230905;2;2;4;4;05/09/2023
Rio Grande do Sul;20230912;2;0;2;2;12/09/2023
Santa Catarina;20230805;2;2;3;3;05/08/2023
Santa Catarina;20230811;2;1;3;3;11/08/2023
Santa Catarina;20230813;2;1;3;3;13/08/2023
Santa Catarina;20230825;2;3;4;4;25/08/2023
Santa Catarina;20230918;2;0;2;2;18/09/2023
Sao Paulo;20230803;2;8;8;8;03/08/2023
Sao Paulo;20230804;2;7;9;8;04/08/2023
Sao Paulo;20230805;2;14;17;16;05/08/2023
Sao Paulo;20230807;2;6;8;8;07/08/2023
Sao Paulo;20230815;2;5;7;7;15/08/2023
Sao Paulo;20230817;2;6;7;7;17/08/2023
Sao Paulo;20230819;2;6;9;8;19/08/2023
Sao Paulo;20230820;2;11;12;12;20/08/2023
Sao Paulo;20230821;2;6;7;7;21/08/2023
Sao Paulo;20230822;2;15;18;16;22/08/2023
Sao Paulo;20230904;2;4;6;6;04/09/2023
Sao Paulo;20230913;2;6;9;8;13/09/2023
Sao Paulo;20230915;2;18;20;20;15/09/2023
Ulyanovsk Oblast;20230807;2;0;2;2;07/08/2023
(not set);20230807;1;1;3;3;07/08/2023
(not set);20230809;1;2;3;3;09/08/2023
(not set);20230810;1;0;2;2;10/08/2023
(not set);20230819;1;1;1;1;19/08/2023
(not set);20230824;1;0;1;1;24/08/2023
(not set);20230828;1;1;2;2;28/08/2023
(not set);20230830;1;2;2;2;30/08/2023
(not set);20230901;1;0;1;1;01/09/2023
(not set);20230904;1;0;1;1;04/09/2023
(not set);20230909;1;0;1;1;09/09/2023
(not set);20230911;1;2;3;3;11/09/2023
Alberta;20230831;1;0;1;1;31/08/2023
Bavaria;20230828;1;0;1;1;28/08/2023
Buenos Aires;20230915;1;1;1;1;15/09/2023
Central Department;20230831;1;0;1;1;31/08/2023
Cordoba;20230822;1;0;1;1;22/08/2023
Emilia-Romagna;20230805;1;0;1;1;05/08/2023
Emilia-Romagna;20230819;1;0;1;1;19/08/2023
Emilia-Romagna;20230826;1;0;1;1;26/08/2023
England;20230914;1;1;1;1;14/09/2023
England;20230915;1;2;2;2;15/09/2023
England;20230918;1;1;1;1;18/09/2023
Federal District;20230803;1;2;2;2;03/08/2023
Federal District;20230804;1;3;3;3;04/08/2023
Federal District;20230807;1;5;7;6;07/08/2023
Federal District;20230808;1;6;7;7;08/08/2023
Federal District;20230810;1;7;8;8;10/08/2023
Federal District;20230814;1;2;3;3;14/08/2023
Federal District;20230818;1;3;3;3;18/08/2023
Federal District;20230819;1;5;6;5;19/08/2023
Federal District;20230829;1;3;4;4;29/08/2023
Federal District;20230909;1;1;2;2;09/09/2023
Federal District;20230913;1;1;2;2;13/09/2023
Federal District;20230917;1;0;2;1;17/09/2023
Georgia;20230827;1;0;1;1;27/08/2023
Ile-de-France;20230917;1;0;1;1;17/09/2023
