Perguntas;Consulta;Grupo;Subgrupo;Codigo;Pagina;Pagina2;Visualizacao;Usuario
525;Ranking Técnico Adversário Século XXI;Especiais;Tecadv;124000000;ranking_tecadv;N/A;0;0
526;Ranking Técnico Adversário Século XX;Especiais;Tecadv;134000000;ranking_tecadv;N/A;0;0
527;Ranking Técnico Adversário em jogos oficiais Sec XXI;Especiais;Tecadv;127000000;ranking_tecadv;N/A;0;0
528;Ranking Técnico Adversário em jogos oficiais Sec XX;Especiais;Tecadv;137000000;ranking_tecadv;N/A;0;0
529;Ranking Técnico Adversário - Aproveitamento - Sec XXI;Especiais;Tecadv;125000000;ranking_aprtecadv;N/A;0;0
530;Ranking Técnico Adversário - Aproveitamento - Sec XX;Especiais;Tecadv;135000000;ranking_aprtecadv;N/A;0;0
532;Números mais utilizados;Especiais;Numeracao;NAO;mostra_numeracao;N/A;0;0
533;Números com mais jogos;Especiais;Numeracao;NAO;mostra_numeracao_jogos;N/A;0;0
534;Números com mais gols;Especiais;Numeracao;NAO;mostra_numeracao_gols;N/A;0;0
536;Minutagem no ano;Especiais;Jogador;296306000000;consulta_ranking;mostra_minutagem;0;0
537;Minutagem por passagem de técnico;Especiais;Jogador;296875000000;generico_tecnico;mostra_minutagem;0;0
538;Minutagem em campeonato;Especiais;Jogador;296103000000;consulta_ranking;mostra_minutagem;0;0
539;Mais Substituídos;Especiais;Jogador;NAO;mostra_substituidos;N/A;0;0
540;Mais Substituídos por ano;Especiais;Jogador;298106000000;consulta_ranking;mostra_substituicao;0;0
541;Mais substituídos por passagem de técnico;Especiais;Jogador;298875000000;generico_tecnico;mostra_substituicao;0;0
542;Mais substituídos em campeonato;Especiais;Jogador;298103000000;consulta_ranking;mostra_substituicao;0;0
543;12º Jogador;Especiais;Jogador;NAO;mostra_jogador12;N/A;0;0
544;12º Jogador no ano;Especiais;Jogador;299106000000;consulta_ranking;mostra_substituicao;0;0
545;12º Jogador por passagem de técnico;Especiais;Jogador;299875000000;generico_tecnico;mostra_substituicao;0;0
546;12º Jogador em campeonato;Especiais;Jogador;299103000000;consulta_ranking;mostra_substituicao;0;0
580;Mais fez gols de falta;Especiais;Jogador;665000000000;generico_gols;detalhamento_gols;0;0
581;Mais fez gols de falta no século;Especiais;Jogador;665250000000;generico_gols;detalhamento_gols;0;0
582;Mais fez gols de falta no período;Especiais;Jogador;665260000000;generico_gols;detalhamento_gols;0;0
583;Artilheiros vindo do banco;Especiais;Jogador;900920000000;mostra_ranking;N/A;0;0
584;Artilheiros como titular;Especiais;Jogador;900930000000;mostra_ranking;N/A;0;0
585;Artilheiros em tempo determinado;Especiais;Jogador;900528000;consulta_tempodet;mostra_ranking_seculo;0;0
586;Frequencia de Placar de Técnico;Especiais;Tecnico;105000630;generico_tecnico;mostra_frequencia;0;0
587;Frequência de Placar de Técnico em Estádio;Especiais;Tecnico;105102630;consulta_especial;mostra_frequencia;0;0
588;Frequência de Placar de Técnico em campeonato;Especiais;Tecnico;105103630;consulta_especial;mostra_frequencia;0;0
589;Frequência de Placar de Técnico x Adversário;Especiais;Tecnico;105100630;consulta_especial;mostra_frequencia;0;0
590;Frequencia de Placar de Jogador;Especiais;Jogador;104000630;jogador_generico;mostra_frequencia;0;0
591;Frequencia de Placar de Jogador x Estádio;Especiais;Jogador;104100640;consulta_especial;mostra_frequencia;0;0
592;Frequencia de Placar de Jogador em campeonato;Especiais;Jogador;104102640;consulta_especial;mostra_frequencia;0;0
593;Frequência de Placar de Jogador x Adversário;Especiais;Jogador;104103640;consulta_especial;mostra_frequencia;0;0
594;Ranking de Anos;Especiais;Geral;NAO;ranking_anos;N/A;0;0
595;Comparação de Anos;Especiais;Geral;178000000;compara_ano;comparacao_anos;0;0
10000;Adversário - Link;Link;Adversario;NAO;link_adversario;N/A;0;0
10000;Arbitro - Link;Link;Arbitro;NAO;link_arbitro;N/A;0;0
10000;Assistencia - Link;Link;Assistencia;NAO;link_assist;N/A;0;0
10000;Batedor - Penalty - Link;Link;Jogador;NAO;link_batedor;N/A;0;0
10000;Camisa - Link;Link;Camisa;NAO;link_camisa;N/A;0;0
10000;Campeonato - Link;Link;Campeonato;NAO;link_campeonato;N/A;0;0
10000;Detalhamento de gols - Link;Link;Gols;NAO;link_detgol;N/A;0;0
10000;Estadio - Link;Link;Estádio;NAO;link_estadio;N/A;0;0
10000;Gols - Link;Link;Gols;NAO;link_gol;N/A;0;0
10000;Gols - Link;Link;Gols;NAO;link_gols;N/A;0;0
10000;Jogador - Link;Link;Jogador;NAO;link_jogador;N/A;0;0
10000;Jogador Cartão - Link;Link;Jogador;NAO;link_jogador_cartao;N/A;0;0
10000;Jogo - Link;Link;Jogo;NAO;link_jogo;N/A;0;0
10000;Mascote - Link;Link;Adversario;NAO;link_mascote;N/A;0;0
10000;Numeracao - Link;Link;Numeracao;NAO;link_numero_jogador;N/A;0;0
10000;Penalti Ano - Link;Link;Gols;NAO;link_penalti_ano;N/A;0;0
10000;Tecnico Adversario - Link;Link;Tecadv;NAO;link_tecadv;N/A;0;0
10000;Tecnico - Link;Link;Tecnico;NAO;link_tecnico;N/A;0;0
10000;Tecnico Adversario - Link;Link;Tecadv;NAO;link_tecnicoadv;N/A;0;0
10000;Geral - Link;Link;Geral;NAO;link_todos;N/A;0;0
10000;Brasileiro - Link;Link;Brasileiro;NAO;link_turno;N/A;0;0
10000;Jogo - Link;Link;Jogo;NAO;link_video;N/A;0;0
