Perguntas;Consulta;Grupo;Subgrupo;Codigo;Pagina;Pagina2;Visualizacao;Usuario
321;Jogadores com mais títulos;Especiais;Jogador;803000000000;mostra_ranking;N/A;0;0
322;Seleção;Especiais;Jogador;804000000000;mostra_ranking;N/A;0;0
323;Aniversariantes do dia;Especiais;Jogador;654106000;consulta_jogo;mostra_especial_jogo;0;0
324;Lista de jogador por nacionalidade;Especiais;Jogador;104395000;lista_pais;mostra_pais;0;0
325;Todos os jogos de jogador;Especiais;Jogador;104999000;consulta_jogador;mostra_todos_jogador;0;0
326;Quem levou mais cartões - Média de cartões;Especiais;Jogador;104750000;mostra_media_cartao;N/A;0;0
327;Jogadores em disputa de penalti;Especiais;Jogador;672240000000;jogador_batedor;mostra_batedores;0;0
328;Consulta jogador em determinado tempo;Especiais;Jogador;104528000;consulta_tempo;mostra_tempodet;0;0
329;Jogadores mais novos;Especiais;Jogador;651000000000;idades;N/A;0;0
330;Jogadores mais velhos;Especiais;Jogador;652000000000;idades;N/A;0;0
331;Jogos de jogador com amarelo;Especiais;Jogador;670240000000;jogador_cartao;mostra_cartao_jogador;0;0
332;Jogos de jogador com vermelho;Especiais;Jogador;671240000000;jogador_cartao;mostra_cartao_jogador;0;0
333;Jogadores mais novos do Século XX;Especiais;Jogador;651020000000;idades;N/A;0;0
334;Jogadores mais novos do Século XXI;Especiais;Jogador;651021000000;idades;N/A;0;0
335;Jogadores mais velhos do Século XX;Especiais;Jogador;652020000000;idades;N/A;0;0
336;Jogadores mais velhos do Século XXI;Especiais;Jogador;652021000000;idades;N/A;0;0
338;Jogadores com mais vitórias;Especiais;Jogador;812000000000;mostra_ranking;N/A;0;0
339;Jogadores com mais empates;Especiais;Jogador;813000000000;mostra_ranking;N/A;0;0
340;Jogadores com mais derrotas;Especiais;Jogador;814000000000;mostra_ranking;N/A;0;0
341;Jogadores com mais vitórias no século;Especiais;Jogador;812900000000;mostra_ranking;N/A;0;0
342;Jogadores com mais empates no século;Especiais;Jogador;813900000000;mostra_ranking;N/A;0;0
343;Jogadores com mais derrotas no século;Especiais;Jogador;814900000000;mostra_ranking;N/A;0;0
344;Jogadores com mais vitórias oficiais;Especiais;Jogador;812700000000;mostra_ranking;N/A;0;0
345;Jogadores com mais empates oficiais;Especiais;Jogador;813700000000;mostra_ranking;N/A;0;0
346;Jogadores com mais derrotas oficiais;Especiais;Jogador;814700000000;mostra_ranking;N/A;0;0
347;Estatística por posição;Especiais;Jogador;675000000000;estat_posicao;N/A;0;0
348;36 maiores ídolos;Especiais;Jogador;482000000000;melhores_jogadores;N/A;0;0
349;Maiores ídolos a partir de 1980;Especiais;Jogador;NAO;N/A;N/A;0;0
351;Técnico x Árbitro;Especiais;Tecnico;105101000;consulta_especial;mostra_especial;0;0
352;Técnico x Estádio;Especiais;Tecnico;105102000;consulta_especial;mostra_especial;0;0
353;Técnico em campeonato;Especiais;Tecnico;105103000;consulta_especial;mostra_especial;0;0
354;Técnico x Adversário;Especiais;Tecnico;105100000;consulta_especial;mostra_especial;0;0
355;Técnico x Jogador;Especiais;Tecnico;105104000;consulta_especial;mostra_especial;0;0
356;Todos os jogos de técnico;Especiais;Tecnico;105999000;generico_tecnico;mostra_todos_tecnico;0;0
357;Quem mais treinou;Especiais;Tecnico;867000000000;mostra_ranking;N/A;0;0
358;Quem mais treinou em campeonato;Especiais;Tecnico;867103000000;generico_campeonato;mostra_rkg;0;0
359;Técnicos com mais participações em campeonato;Especiais;Tecnico;867103103000;generico_campeonato;mostra_rkg;0;0
360;Técnicos com melhor aproveitamento em campeonato;Especiais;Tecnico;867103143000;generico_campeonato;mostra_rkg;0;0
361;Técnicos por ano;Especiais;Tecnico;105452000;consulta_especial;mostra_especial;0;0
362;Quem mais atuou com técnico;Especiais;Tecnico;105687000;generico_tecnico;mostra_tecnico_atuacao;0;0
363;Consulta técnicos por passagem;Especiais;Tecnico;105875000;generico_tecnico;mostra_passagem;0;0
364;Quem teve mais passagens como técnico;Especiais;Tecnico;868000000000;mostra_ranking;N/A;0;0
365;Melhor aproveitamento entre todos os técnicos;Especiais;Tecnico;NAO;mostra_aproveitamento;N/A;0;0
366;Artilharia com o técnico;Especiais;Tecnico;900834000;generico_tecnico;mostra_art_tecnico;0;0
367;Artilharia em passagem com o técnico;Especiais;Tecnico;900837000;generico_tecnico;mostra_art_tecnico;0;0
368;Consulta técnico em tempo determinado;Especiais;Tecnico;105528000;consulta_tempo;mostra_tempodet;0;0
369;Técnico x Técnicos adversários;Especiais;Tecnico;105390000;consulta_especial;mostra_especial;0;0
547;Trabalhos mais longevos;Especiais;Tecnico;105490000;trabalhos_longos;N/A;0;0
548;Trabalhos mais longevos do século XX;Especiais;Tecnico;105491000;trabalhos_longos;N/A;0;0
549;Trabalhos mais longevos do século XXI;Especiais;Tecnico;105492000;trabalhos_longos;N/A;0;0
559;Saldo de placar com técnico;Especiais;Tecnico;900840000;generico_tecnico;saldo_placar_tec;0;0
564;Timeline de Técnicos;Especiais;Tecnico;105630000;timeline_tec;N/A;0;0
371;Frequência de Placares;Especiais;Frequencia;600000000;mostra_frequencia;N/A;0;0
372;Frequência de Placares por ano;Especiais;Frequencia;600106000;generico_ano;frequencia_ano;0;0
373;Frequência de Placares contra adversário;Especiais;Frequencia;600100000;generico_adversario;frequencia_adversario;0;0
374;Frequência de Placares em estádio;Especiais;Frequencia;600102000;generico_estadio;frequencia_estadio;0;0
375;Frequência de Placares em campeonato;Especiais;Frequencia;600103000;generico_campeonato;frequencia_campeonato;0;0
376;Frequência de Placares contra adversário em campeonato;Especiais;Frequencia;600100103;generico_especial;frequencia_advcamp;0;0
377;Goleadas;Especiais;Gols;610000000;mostra_goleada;N/A;0;0
378;Goleadas em jogos oficiais;Especiais;Gols;611000000;mostra_goleada;N/A;0;0
379;Goleadas em adversários;Especiais;Gols;610100000;generico_adversario;mostra_goleada_adv;0;0
380;Goleadas em Brasileiros;Especiais;Gols;612000000;mostra_goleada;N/A;0;0
381;Goleadas por ano;Especiais;Gols;610106000;generico_ano;mostra_goleada2;0;0
382;Goleadas em clássico;Especiais;Gols;613000000;mostra_goleada;N/A;0;0
383;Frequência de Placares contra adversário mandante/visitante;Especiais;Frequencia;600438000;generico_especial;frequencia_adversario;0;0
384;Frequência de Placares em estádio em campeonato;Especiais;Frequencia;600102103;generico_especial;frequencia_estcamp;0;0
385;Frequência de Placares contra adversário em estádio;Especiais;Frequencia;600100102;generico_especial;frequencia_advest;0;0
386;Consulta Placar;Especiais;Resultado;620000000;consulta_placar;mostra_placar;0;0
387;Consulta Placar contra adversário;Especiais;Resultado;620100000;consulta_placar;mostra_placar;0;0
388;Consulta Placar em estádio;Especiais;Resultado;620102000;consulta_placar;mostra_placar;0;0
389;Consulta Placar em campeonato;Especiais;Resultado;620103000;consulta_placar;mostra_placar;0;0
390;Gols em jogos por ano;Especiais;Gols;639000000;jogos_gols;N/A;0;0
391;Detalhamento de gols;Especiais;Gols;652000000;detalhamento_gols;mostra_detalhe_gols;0;0
563;Saldo de placar por ano;Especiais;Resultado;915108000;generico_ano;saldo_placar;0;0
393;Estatísticas por tipo de gol;Especiais;Gols;653000000;detalhamento_gols;mostra_detalhe_gols;0;0
551;Tempo que faz/leva qtd gols;Especiais;Gols;654000000;mostra_goltempo;N/A;0;0
395;Marcas históricas atuais;Especiais;Geral;NAO;marcas_historicas;N/A;0;0
396;Maiores Públicos;Especiais;Publico;NAO;maiores_publicos;N/A;0;0
397;Maiores Públicos contra adversário;Especiais;Publico;680100000;generico_adversario;html;0;0
