res_flu;res_adv;cod_jogo;adversario;data;agrupado
4;3;5163;Madureira;08/03/1942;Fluminense 4 X 3 Madureira - 
1;2;5164;Corinthians;18/03/1942;Fluminense 1 X 2 Corinthians - 
2;5;5165;Palmeiras;21/03/1942;Fluminense 2 X 5 Palmeiras - 
1;1;5166;São Paulo;25/03/1942;Fluminense 1 X 1 São Paulo - 
6;2;5167;Bonsucesso;05/04/1942;Fluminense 6 X 2 Bonsucesso - 
4;3;5168;Bangu;12/04/1942;Fluminense 4 X 3 Bangu - 
4;0;5169;São Cristovão;26/04/1942;Fluminense 4 X 0 São Cristovão - 
1;0;5170;América;03/05/1942;Fluminense 1 X 0 América - 
4;0;5171;Canto do Rio;10/05/1942;Fluminense 4 X 0 Canto do Rio - 
1;1;5172;Botafogo;17/05/1942;Fluminense 1 X 1 Botafogo - 
4;1;5173;Vasco;24/05/1942;Fluminense 4 X 1 Vasco - 
4;1;5174;Madureira;31/05/1942;Fluminense 4 X 1 Madureira - 
7;3;5175;Bonsucesso;14/06/1942;Fluminense 7 X 3 Bonsucesso - 
3;1;5176;Bangu;20/06/1942;Fluminense 3 X 1 Bangu - 
1;6;5177;São Cristovão;28/06/1942;Fluminense 1 X 6 São Cristovão - 
5;1;5178;América;05/07/1942;Fluminense 5 X 1 América - 
4;3;5179;Canto do Rio;11/07/1942;Fluminense 4 X 3 Canto do Rio - 
1;2;5180;Botafogo;19/07/1942;Fluminense 1 X 2 Botafogo - 
1;0;5181;Vasco;29/07/1942;Fluminense 1 X 0 Vasco - 
1;4;5182;Madureira;02/08/1942;Fluminense 1 X 4 Madureira - 
2;0;5183;Bonsucesso;15/08/1942;Fluminense 2 X 0 Bonsucesso - 
2;1;5184;Bangu;23/08/1942;Fluminense 2 X 1 Bangu - 
2;1;5185;São Cristovão;30/08/1942;Fluminense 2 X 1 São Cristovão - 
2;2;5186;América;06/09/1942;Fluminense 2 X 2 América - 
5;4;5187;Canto do Rio;13/09/1942;Fluminense 5 X 4 Canto do Rio - 
1;1;5188;Botafogo;20/09/1942;Fluminense 1 X 1 Botafogo - 
2;1;5189;Vasco;27/09/1942;Fluminense 2 X 1 Vasco - 
2;1;5190;Madureira;11/10/1942;Fluminense 2 X 1 Madureira - 
5;1;5193;América MG;18/10/1942;Fluminense 5 X 1 América MG - 
3;1;5194;São Paulo;31/10/1942;Fluminense 3 X 1 São Paulo - 
3;1;5195;Ipiranga MG;08/11/1942;Fluminense 3 X 1 Ipiranga MG - 
1;2;5198;Taubaté;29/11/1942;Fluminense 1 X 2 Taubaté - 
2;3;5199;Rio Claro;01/12/1942;Fluminense 2 X 3 Rio Claro - 
0;2;5200;Uberaba;06/12/1942;Fluminense 0 X 2 Uberaba - 
3;1;5201;Uberaba;08/12/1942;Fluminense 3 X 1 Uberaba - 
1;1;5202;Barretos;10/12/1942;Fluminense 1 X 1 Barretos - 
4;4;5204;América;14/03/1943;Fluminense 4 X 4 América - 
4;4;5205;Vasco;21/03/1943;Fluminense 4 X 4 Vasco - 
0;0;5206;Vasco;11/04/1943;Fluminense 0 X 0 Vasco - 
6;1;5207;Bangu;18/04/1943;Fluminense 6 X 1 Bangu - 
3;1;5208;São Paulo;21/04/1943;Fluminense 3 X 1 São Paulo - 
3;0;5209;Madureira;25/04/1943;Fluminense 3 X 0 Madureira - 
3;2;5210;Botafogo;02/05/1943;Fluminense 3 X 2 Botafogo - 
3;3;5211;América;15/05/1943;Fluminense 3 X 3 América - 
0;3;5212;São Paulo;19/05/1943;Fluminense 0 X 3 São Paulo - 
0;0;5213;Canto do Rio;23/05/1943;Fluminense 0 X 0 Canto do Rio - 
2;4;5214;São Cristovão;30/05/1943;Fluminense 2 X 4 São Cristovão - 
1;0;5215;Bonsucesso;05/06/1943;Fluminense 1 X 0 Bonsucesso - 
6;2;5216;Bangu;17/06/1943;Fluminense 6 X 2 Bangu - 
3;1;5217;Corinthians;19/06/1943;Fluminense 3 X 1 Corinthians - 
