res_flu;res_adv;cod_jogo;adversario;data;agrupado
8;0;92;Rio Football Club;19/10/1902;Fluminense 8 X 0 Rio Football Club - 
0;3;93;Paysandu Cricket;26/10/1902;Fluminense 0 X 3 Paysandu Cricket - 
3;1;94;Rio Cricket;21/05/1903;Fluminense 3 X 1 Rio Cricket - 
1;3;95;Paysandu Cricket;24/06/1903;Fluminense 1 X 3 Paysandu Cricket - 
2;1;97;Paulistano;07/09/1903;Fluminense 2 X 1 Paulistano - 
3;0;98;São Paulo Athletic;08/09/1903;Fluminense 3 X 0 São Paulo Athletic - 
2;2;99;Paysandu Cricket;18/10/1903;Fluminense 2 X 2 Paysandu Cricket - 
2;1;100;Rio Cricket;03/05/1904;Fluminense 2 X 1 Rio Cricket - 
2;1;101;Paysandu Cricket;19/06/1904;Fluminense 2 X 1 Paysandu Cricket - 
3;2;102;Rio Cricket;24/06/1904;Fluminense 3 X 2 Rio Cricket - 
4;0;103;Rio Cricket;29/06/1904;Fluminense 4 X 0 Rio Cricket - 
0;3;104;Paulistano;14/08/1904;Fluminense 0 X 3 Paulistano - 
0;2;105;Paulistano;15/08/1904;Fluminense 0 X 2 Paulistano - 
2;1;106;Rio Cricket;28/08/1904;Fluminense 2 X 1 Rio Cricket - 
3;4;107;Germânia;04/09/1904;Fluminense 3 X 4 Germânia - 
0;2;109;Paulistano;06/09/1904;Fluminense 0 X 2 Paulistano - 
0;3;111;São Paulo Athletic;08/09/1904;Fluminense 0 X 3 São Paulo Athletic - 
7;1;112;Rio Cricket;07/05/1905;Fluminense 7 X 1 Rio Cricket - 
0;0;113;São Paulo Athletic;22/06/1905;Fluminense 0 X 0 São Paulo Athletic - 
3;1;114;S. C. Internacional;24/06/1905;Fluminense 3 X 1 S. C. Internacional - 
2;2;115;Paulistano;25/06/1905;Fluminense 2 X 2 Paulistano - 
2;0;116;Paulistano;14/07/1905;Fluminense 2 X 0 Paulistano - 
2;3;117;Paulistano;16/07/1905;Fluminense 2 X 3 Paulistano - 
10;0;118;Football & Athletic;23/07/1905;Fluminense 10 X 0 Football & Athletic - 
6;0;120;Botafogo;22/10/1905;Fluminense 6 X 0 Botafogo - 
7;1;122;Paysandu Cricket;03/05/1906;Fluminense 7 X 1 Paysandu Cricket - 
8;0;123;Botafogo;13/05/1906;Fluminense 8 X 0 Botafogo - 
4;0;124;Bangu;10/06/1906;Fluminense 4 X 0 Bangu - 
7;0;125;Football & Athletic;14/07/1906;Fluminense 7 X 0 Football & Athletic - 
1;3;126;Paysandu Cricket;05/08/1906;Fluminense 1 X 3 Paysandu Cricket - 
2;1;127;Rio Cricket;12/08/1906;Fluminense 2 X 1 Rio Cricket - 
11;0;129;Football & Athletic;09/09/1906;Fluminense 11 X 0 Football & Athletic - 
6;0;130;Botafogo;30/09/1906;Fluminense 6 X 0 Botafogo - 
4;1;131;Rio Cricket;14/10/1906;Fluminense 4 X 1 Rio Cricket - 
2;0;132;Bangu;21/10/1906;Fluminense 2 X 0 Bangu - 
5;0;134;A. A. Internacional;05/05/1907;Fluminense 5 X 0 A. A. Internacional - 
3;0;135;Botafogo;02/06/1907;Fluminense 3 X 0 Botafogo - 
3;1;136;Paysandu Cricket;23/06/1907;Fluminense 3 X 1 Paysandu Cricket - 
3;0;137;Paulistano;30/06/1907;Fluminense 3 X 0 Paulistano - 
1;0;139;A. A. Internacional;06/10/1907;Fluminense 1 X 0 A. A. Internacional - 
2;4;140;Botafogo;22/09/1907;Fluminense 2 X 4 Botafogo - 
2;0;141;Paysandu Cricket;27/10/1907;Fluminense 2 X 0 Paysandu Cricket - 
10;1;142;Paysandu Cricket;03/05/1908;Fluminense 10 X 1 Paysandu Cricket - 
3;0;143;Rio Cricket;24/05/1908;Fluminense 3 X 0 Rio Cricket - 
4;4;144;Botafogo;14/06/1908;Fluminense 4 X 4 Botafogo - 
11;0;145;Riachuelo;05/07/1908;Fluminense 11 X 0 Riachuelo - 
2;1;146;América;19/07/1908;Fluminense 2 X 1 América - 
3;0;147;Rio Cricket;02/08/1908;Fluminense 3 X 0 Rio Cricket - 
2;1;148;Germânia;07/09/1908;Fluminense 2 X 1 Germânia - 
3;2;150;América;06/09/1908;Fluminense 3 X 2 América - 
3;0;152;A. A. Palmeiras;11/10/1908;Fluminense 3 X 0 A. A. Palmeiras - 
2;2;153;Botafogo;01/11/1908;Fluminense 2 X 2 Botafogo - 
3;1;154;Cruzador Pelosus;23/11/1908;Fluminense 3 X 1 Cruzador Pelosus - 
2;2;156;Botafogo;09/05/1909;Fluminense 2 X 2 Botafogo - 
9;0;157;Bangu;23/05/1909;Fluminense 9 X 0 Bangu - 
4;1;158;América;30/05/1909;Fluminense 4 X 1 América - 
10;0;159;Haddock Lobo;13/06/1909;Fluminense 10 X 0 Haddock Lobo - 
4;0;160;Riachuelo;04/07/1909;Fluminense 4 X 0 Riachuelo - 
6;0;161;Mangueira;11/07/1909;Fluminense 6 X 0 Mangueira - 
2;2;162;Germânia;08/08/1909;Fluminense 2 X 2 Germânia - 
3;1;163;Paulistano;15/08/1909;Fluminense 3 X 1 Paulistano - 
2;1;164;Botafogo;22/08/1909;Fluminense 2 X 1 Botafogo - 
0;0;165;S. C. Americano;29/08/1909;Fluminense 0 X 0 S. C. Americano - 
1;1;166;América;05/09/1909;Fluminense 1 X 1 América - 
1;0;167;Germânia;07/09/1909;Fluminense 1 X 0 Germânia - 
1;5;168;A. A. Palmeiras;08/09/1909;Fluminense 1 X 5 A. A. Palmeiras - 
8;1;169;Haddock Lobo;19/09/1909;Fluminense 8 X 1 Haddock Lobo - 
7;2;170;Riachuelo;26/09/1909;Fluminense 7 X 2 Riachuelo - 
5;2;171;América;01/05/1910;Fluminense 5 X 2 América - 
5;0;172;Haddock Lobo;05/06/1910;Fluminense 5 X 0 Haddock Lobo - 
4;1;173;Rio Cricket;19/06/1910;Fluminense 4 X 1 Rio Cricket - 
1;3;174;Botafogo;26/06/1910;Fluminense 1 X 3 Botafogo - 
7;1;175;Riachuelo;10/07/1910;Fluminense 7 X 1 Riachuelo - 
4;2;176;América;31/07/1910;Fluminense 4 X 2 América - 
1;1;177;Rio Cricket;21/08/1910;Fluminense 1 X 1 Rio Cricket - 
5;1;178;Paulistano;18/09/1910;Fluminense 5 X 1 Paulistano - 
1;6;179;Botafogo;25/09/1910;Fluminense 1 X 6 Botafogo - 
1;0;180;Riachuelo;09/10/1910;Fluminense 1 X 0 Riachuelo - 
1;0;181;Haddock Lobo;20/10/1910;Fluminense 1 X 0 Haddock Lobo - 
1;10;183;Corinthians Casuals;24/08/1910;Fluminense 1 X 10 Corinthians Casuals - 
2;2;184;Paulistano;23/04/1911;Fluminense 2 X 2 Paulistano - 
2;0;185;Paysandu Cricket;07/05/1911;Fluminense 2 X 0 Paysandu Cricket - 
5;0;186;Rio Cricket;11/06/1911;Fluminense 5 X 0 Rio Cricket - 
2;8;187;A. A. Palmeiras;24/06/1911;Fluminense 2 X 8 A. A. Palmeiras - 
4;0;188;América;09/07/1911;Fluminense 4 X 0 América - 
3;1;190;Paysandu Cricket;03/09/1911;Fluminense 3 X 1 Paysandu Cricket - 
5;0;191;Rio Cricket;10/09/1911;Fluminense 5 X 0 Rio Cricket - 
2;0;192;América;01/10/1911;Fluminense 2 X 0 América - 
1;2;193;Rio Cricket;03/05/1912;Fluminense 1 X 2 Rio Cricket - 
0;5;194;Paysandu Cricket;26/05/1912;Fluminense 0 X 5 Paysandu Cricket - 
1;0;195;São Cristovão;02/06/1912;Fluminense 1 X 0 São Cristovão - 
0;0;196;América;09/06/1912;Fluminense 0 X 0 América - 
1;4;197;Paulistano;16/06/1912;Fluminense 1 X 4 Paulistano - 
3;2;198;Flamengo;07/07/1912;Fluminense 3 X 2 Flamengo - 
3;2;199;Bangu;14/07/1912;Fluminense 3 X 2 Bangu - 
3;0;200;Mangueira;21/07/1912;Fluminense 3 X 0 Mangueira - 
6;1;201;São Cristovão;04/08/1912;Fluminense 6 X 1 São Cristovão - 
4;1;202;Bangu;18/08/1912;Fluminense 4 X 1 Bangu - 
2;2;203;Rio Cricket;01/09/1912;Fluminense 2 X 2 Rio Cricket - 
1;2;204;América;29/09/1912;Fluminense 1 X 2 América - 
1;0;205;Mangueira;06/10/1912;Fluminense 1 X 0 Mangueira - 
2;4;206;Paysandu Cricket;20/10/1912;Fluminense 2 X 4 Paysandu Cricket - 
0;4;207;Flamengo;27/10/1912;Fluminense 0 X 4 Flamengo - 
4;5;208;Paysandu Cricket;03/05/1913;Fluminense 4 X 5 Paysandu Cricket - 
1;3;209;América;01/06/1913;Fluminense 1 X 3 América - 
4;1;210;Bangu;08/06/1913;Fluminense 4 X 1 Bangu - 
5;1;211;Americano RJ;22/06/1913;Fluminense 5 X 1 Americano RJ - 
5;2;212;Rio Cricket;06/07/1913;Fluminense 5 X 2 Rio Cricket - 
2;2;213;São Cristovão;27/07/1913;Fluminense 2 X 2 São Cristovão - 
3;6;214;Flamengo;03/08/1913;Fluminense 3 X 6 Flamengo - 
10;2;215;Mangueira;17/08/1913;Fluminense 10 X 2 Mangueira - 
0;3;216;Botafogo;31/08/1913;Fluminense 0 X 3 Botafogo - 
2;2;217;Paysandu Cricket;28/09/1913;Fluminense 2 X 2 Paysandu Cricket - 
4;5;218;América;12/10/1913;Fluminense 4 X 5 América - 
1;3;219;Rio Cricket;19/10/1913;Fluminense 1 X 3 Rio Cricket - 
3;0;220;Botafogo;01/11/1913;Fluminense 3 X 0 Botafogo - 
0;3;221;Flamengo;09/11/1913;Fluminense 0 X 3 Flamengo - 
0;0;222;São Cristovão;15/11/1913;Fluminense 0 X 0 São Cristovão - 
3;0;223;São Cristovão;29/03/1914;Fluminense 3 X 0 São Cristovão - 
8;1;224;Botafogo;21/04/1914;Fluminense 8 X 1 Botafogo - 
2;0;226;Paysandu Cricket;03/05/1914;Fluminense 2 X 0 Paysandu Cricket - 
1;1;227;América;13/05/1914;Fluminense 1 X 1 América - 
2;1;228;Paulistano;17/05/1914;Fluminense 2 X 1 Paulistano - 
5;2;229;Rio Cricket;31/05/1914;Fluminense 5 X 2 Rio Cricket - 
0;2;230;Flamengo;11/06/1914;Fluminense 0 X 2 Flamengo - 
1;0;231;Paulistano;14/06/1914;Fluminense 1 X 0 Paulistano - 
0;1;232;Botafogo;21/06/1914;Fluminense 0 X 1 Botafogo - 
2;3;234;Flamengo;26/07/1914;Fluminense 2 X 3 Flamengo - 
8;2;239;São Cristovão;01/11/1914;Fluminense 8 X 2 São Cristovão - 
2;2;240;Botafogo;08/11/1914;Fluminense 2 X 2 Botafogo - 
1;2;241;Flamengo;15/11/1914;Fluminense 1 X 2 Flamengo - 
3;1;242;São Cristovão;03/05/1915;Fluminense 3 X 1 São Cristovão - 
0;5;243;Flamengo;09/05/1915;Fluminense 0 X 5 Flamengo - 
3;1;244;Rio Cricket;16/05/1915;Fluminense 3 X 1 Rio Cricket - 
5;3;245;Bangu;23/05/1915;Fluminense 5 X 3 Bangu - 
1;3;248;A. A. Palmeiras;11/07/1915;Fluminense 1 X 3 A. A. Palmeiras - 
9;1;249;São Cristovão;01/08/1915;Fluminense 9 X 1 São Cristovão - 
1;1;250;Flamengo;22/08/1915;Fluminense 1 X 1 Flamengo - 
4;1;253;Botafogo;12/10/1915;Fluminense 4 X 1 Botafogo - 
3;5;255;América;01/11/1915;Fluminense 3 X 5 América - 
1;4;258;Flamengo;13/05/1916;Fluminense 1 X 4 Flamengo - 
7;2;260;Botafogo;25/06/1916;Fluminense 7 X 2 Botafogo - 
2;2;261;Flamengo;30/07/1916;Fluminense 2 X 2 Flamengo - 
0;0;263;Flamengo;15/08/1916;Fluminense 0 X 0 Flamengo - 
0;2;264;América;20/08/1916;Fluminense 0 X 2 América - 
2;1;265;Bangu;03/09/1916;Fluminense 2 X 1 Bangu - 
1;2;267;América;01/11/1916;Fluminense 1 X 2 América - 
1;4;268;Bangu;19/11/1916;Fluminense 1 X 4 Bangu - 
3;1;271;Flamengo;08/12/1916;Fluminense 3 X 1 Flamengo - 
4;1;272;Botafogo;03/01/1917;Fluminense 4 X 1 Botafogo - 
2;0;273;América;22/04/1917;Fluminense 2 X 0 América - 
1;2;274;Botafogo;29/04/1917;Fluminense 1 X 2 Botafogo - 
2;2;275;Botafogo;03/05/1917;Fluminense 2 X 2 Botafogo - 
2;0;276;Flamengo;27/05/1917;Fluminense 2 X 0 Flamengo - 
2;1;277;Bangu;10/06/1917;Fluminense 2 X 1 Bangu - 
4;1;278;São Cristovão;01/07/1917;Fluminense 4 X 1 São Cristovão - 
4;2;279;Carioca;08/07/1917;Fluminense 4 X 2 Carioca - 
3;1;280;América;14/07/1917;Fluminense 3 X 1 América - 
3;2;281;Andaraí;05/08/1917;Fluminense 3 X 2 Andaraí - 
4;2;282;Botafogo;15/08/1917;Fluminense 4 X 2 Botafogo - 
4;0;283;Vila Isabel;26/08/1917;Fluminense 4 X 0 Vila Isabel - 
0;0;284;Mangueira;02/09/1917;Fluminense 0 X 0 Mangueira - 
1;0;285;América;09/09/1917;Fluminense 1 X 0 América - 
4;0;286;Mangueira;16/09/1917;Fluminense 4 X 0 Mangueira - 
1;0;287;Carioca;04/11/1917;Fluminense 1 X 0 Carioca - 
1;4;288;São Cristovão;11/11/1917;Fluminense 1 X 4 São Cristovão - 
3;3;289;Flamengo;15/11/1917;Fluminense 3 X 3 Flamengo - 
1;2;290;Botafogo;18/11/1917;Fluminense 1 X 2 Botafogo - 
4;1;291;Vila Isabel;25/11/1917;Fluminense 4 X 1 Vila Isabel - 
11;1;292;Bangu;09/12/1917;Fluminense 11 X 1 Bangu - 
2;2;295;Flamengo;23/12/1917;Fluminense 2 X 2 Flamengo - 
7;2;297;Andaraí;30/12/1917;Fluminense 7 X 2 Andaraí - 
4;3;300;Andaraí;14/04/1918;Fluminense 4 X 3 Andaraí - 
9;3;301;Bangu;21/04/1918;Fluminense 9 X 3 Bangu - 
2;0;302;Mangueira;03/05/1918;Fluminense 2 X 0 Mangueira - 
3;2;303;São Cristovão;12/05/1918;Fluminense 3 X 2 São Cristovão - 
2;0;304;América;19/05/1918;Fluminense 2 X 0 América - 
6;1;305;Vila Isabel;26/05/1918;Fluminense 6 X 1 Vila Isabel - 
3;0;308;Flamengo;23/06/1918;Fluminense 3 X 0 Flamengo - 
6;0;309;Carioca;30/06/1918;Fluminense 6 X 0 Carioca - 
0;0;310;Botafogo;14/07/1918;Fluminense 0 X 0 Botafogo - 
4;2;311;Bangu;21/07/1918;Fluminense 4 X 2 Bangu - 
1;0;312;Andaraí;28/07/1918;Fluminense 1 X 0 Andaraí - 
0;1;313;Vila Isabel;15/08/1918;Fluminense 0 X 1 Vila Isabel - 
4;0;314;América;15/09/1918;Fluminense 4 X 0 América - 
2;2;315;São Cristovão;20/09/1918;Fluminense 2 X 2 São Cristovão - 
2;1;316;Botafogo;29/09/1918;Fluminense 2 X 1 Botafogo - 
2;0;317;Mangueira;08/12/1918;Fluminense 2 X 0 Mangueira - 
4;0;318;Carioca;08/06/1919;Fluminense 4 X 0 Carioca - 
8;0;319;Mangueira;22/06/1919;Fluminense 8 X 0 Mangueira - 
4;1;320;Vila Isabel;13/07/1919;Fluminense 4 X 1 Vila Isabel - 
2;1;321;Botafogo;20/07/1919;Fluminense 2 X 1 Botafogo - 
0;2;322;São Cristovão;27/07/1919;Fluminense 0 X 2 São Cristovão - 
4;0;323;Bangu;17/08/1919;Fluminense 4 X 0 Bangu - 
3;1;324;Flamengo;24/08/1919;Fluminense 3 X 1 Flamengo - 
6;0;325;Andaraí;31/08/1919;Fluminense 6 X 0 Andaraí - 
3;2;326;América;07/09/1919;Fluminense 3 X 2 América - 
5;1;327;Carioca;05/10/1919;Fluminense 5 X 1 Carioca - 
3;1;328;Mangueira;26/10/1919;Fluminense 3 X 1 Mangueira - 
3;2;329;Bangu;09/11/1919;Fluminense 3 X 2 Bangu - 
2;1;330;Vila Isabel;16/11/1919;Fluminense 2 X 1 Vila Isabel - 
5;2;331;Botafogo;23/11/1919;Fluminense 5 X 2 Botafogo - 
4;3;332;São Cristovão;30/11/1919;Fluminense 4 X 3 São Cristovão - 
4;2;333;Andaraí;14/12/1919;Fluminense 4 X 2 Andaraí - 
4;0;334;Flamengo;21/12/1919;Fluminense 4 X 0 Flamengo - 
4;1;335;América;28/12/1919;Fluminense 4 X 1 América - 
1;4;336;Paulistano;28/03/1920;Fluminense 1 X 4 Paulistano - 
1;2;341;Flamengo;23/05/1920;Fluminense 1 X 2 Flamengo - 
2;2;354;Flamengo;19/12/1920;Fluminense 2 X 2 Flamengo - 
2;2;356;Flamengo;06/10/1918;Fluminense 2 X 2 Flamengo - 
3;4;361;Flamengo;29/05/1921;Fluminense 3 X 4 Flamengo - 
1;1;368;Flamengo;07/08/1921;Fluminense 1 X 1 Flamengo - 
3;1;372;Vila Isabel;07/09/1921;Fluminense 3 X 1 Vila Isabel - 
0;1;375;América;23/04/1922;Fluminense 0 X 1 América - 
1;0;377;Flamengo;13/05/1922;Fluminense 1 X 0 Flamengo - 
1;0;379;América;04/06/1922;Fluminense 1 X 0 América - 
1;1;381;Flamengo;25/06/1922;Fluminense 1 X 1 Flamengo - 
2;3;386;Vasco;11/03/1923;Fluminense 2 X 3 Vasco - 
3;5;394;Botafogo;06/05/1923;Fluminense 3 X 5 Botafogo - 
1;1;395;Flamengo;13/05/1923;Fluminense 1 X 1 Flamengo - 
0;1;396;Vasco;20/05/1923;Fluminense 0 X 1 Vasco - 
2;2;403;Flamengo;14/07/1923;Fluminense 2 X 2 Flamengo - 
1;2;405;Vasco;29/07/1923;Fluminense 1 X 2 Vasco - 
6;5;409;Bangu;04/05/1924;Fluminense 6 X 5 Bangu - 
3;1;410;São Cristovão;11/05/1924;Fluminense 3 X 1 São Cristovão - 
1;0;411;Botafogo;18/05/1924;Fluminense 1 X 0 Botafogo - 
7;1;412;Brasil RJ;01/06/1924;Fluminense 7 X 1 Brasil RJ - 
1;1;413;Flamengo;15/06/1924;Fluminense 1 X 1 Flamengo - 
5;0;414;Helênico;22/06/1924;Fluminense 5 X 0 Helênico - 
5;2;415;América;06/07/1924;Fluminense 5 X 2 América - 
5;3;416;Bangu;03/08/1924;Fluminense 5 X 3 Bangu - 
2;0;417;São Cristovão;10/08/1924;Fluminense 2 X 0 São Cristovão - 
2;0;418;Botafogo;17/08/1924;Fluminense 2 X 0 Botafogo - 
2;4;421;Flamengo;20/09/1924;Fluminense 2 X 4 Flamengo - 
5;2;422;Helênico;28/09/1924;Fluminense 5 X 2 Helênico - 
7;0;423;Brasil RJ;12/10/1924;Fluminense 7 X 0 Brasil RJ - 
3;0;424;América;19/10/1924;Fluminense 3 X 0 América - 
3;1;432;Flamengo;14/06/1925;Fluminense 3 X 1 Flamengo - 
1;0;440;América;01/11/1925;Fluminense 1 X 0 América - 
1;1;441;Flamengo;08/11/1925;Fluminense 1 X 1 Flamengo - 
6;2;446;São Cristovão;18/04/1926;Fluminense 6 X 2 São Cristovão - 
1;1;454;Flamengo;20/06/1926;Fluminense 1 X 1 Flamengo - 
2;4;456;São Cristovão;04/07/1926;Fluminense 2 X 4 São Cristovão - 
4;3;459;Botafogo;18/07/1926;Fluminense 4 X 3 Botafogo - 
0;2;464;Flamengo;19/09/1926;Fluminense 0 X 2 Flamengo - 
0;1;471;Flamengo;12/06/1927;Fluminense 0 X 1 Flamengo - 
1;1;481;Flamengo;21/08/1927;Fluminense 1 X 1 Flamengo - 
4;1;492;Flamengo;27/05/1928;Fluminense 4 X 1 Flamengo - 
0;2;494;América;17/06/1928;Fluminense 0 X 2 América - 
2;3;503;Flamengo;23/09/1928;Fluminense 2 X 3 Flamengo - 
1;3;506;América;21/10/1928;Fluminense 1 X 3 América - 
2;1;513;Vasco;26/05/1929;Fluminense 2 X 1 Vasco - 
1;0;515;Flamengo;09/06/1929;Fluminense 1 X 0 Flamengo - 
1;2;528;Vasco;22/09/1929;Fluminense 1 X 2 Vasco - 
1;0;530;Flamengo;06/10/1929;Fluminense 1 X 0 Flamengo - 
1;0;544;Flamengo;01/06/1930;Fluminense 1 X 0 Flamengo - 
2;4;547;Flamengo;01/08/1930;Fluminense 2 X 4 Flamengo - 
2;3;551;Botafogo;14/09/1930;Fluminense 2 X 3 Botafogo - 
2;0;560;Flamengo;23/11/1930;Fluminense 2 X 0 Flamengo - 
2;2;561;Botafogo;07/12/1930;Fluminense 2 X 2 Botafogo - 
2;3;578;América;14/06/1931;Fluminense 2 X 3 América - 
2;1;582;Flamengo;27/09/1931;Fluminense 2 X 1 Flamengo - 
3;2;590;América;06/12/1931;Fluminense 3 X 2 América - 
0;1;593;Flamengo;20/12/1931;Fluminense 0 X 1 Flamengo - 
1;1;600;Botafogo;29/05/1932;Fluminense 1 X 1 Botafogo - 
0;4;605;Flamengo;03/07/1932;Fluminense 0 X 4 Flamengo - 
0;2;611;Botafogo;28/08/1932;Fluminense 0 X 2 Botafogo - 
1;1;616;Flamengo;02/10/1932;Fluminense 1 X 1 Flamengo - 
4;4;619;Corinthians;16/04/1933;Fluminense 4 X 4 Corinthians - 
1;4;620;América;26/04/1933;Fluminense 1 X 4 América - 
3;1;621;Vasco;07/05/1933;Fluminense 3 X 1 Vasco - 
0;2;622;Bangu;14/05/1933;Fluminense 0 X 2 Bangu - 
0;3;623;América;21/05/1933;Fluminense 0 X 3 América - 
5;2;624;Bonsucesso;28/05/1933;Fluminense 5 X 2 Bonsucesso - 
1;2;625;Flamengo;01/06/1933;Fluminense 1 X 2 Flamengo - 
0;0;626;Corinthians;04/06/1933;Fluminense 0 X 0 Corinthians - 
1;3;627;Flamengo;10/06/1933;Fluminense 1 X 3 Flamengo - 
2;1;628;A.A. São Bento;17/06/1933;Fluminense 2 X 1 A.A. São Bento - 
1;1;629;Portuguesa SP;09/07/1933;Fluminense 1 X 1 Portuguesa SP - 
3;4;630;Santos;16/07/1933;Fluminense 3 X 4 Santos - 
3;3;631;Atlético MG;27/07/1933;Fluminense 3 X 3 Atlético MG - 
4;2;632;Santos;02/08/1933;Fluminense 4 X 2 Santos - 
1;4;633;Palmeiras;06/08/1933;Fluminense 1 X 4 Palmeiras - 
2;0;634;Ypiranga;13/08/1933;Fluminense 2 X 0 Ypiranga - 
0;3;635;São Paulo;20/08/1933;Fluminense 0 X 3 São Paulo - 
1;0;636;Bonsucesso;27/08/1933;Fluminense 1 X 0 Bonsucesso - 
1;2;637;Corinthians;03/09/1933;Fluminense 1 X 2 Corinthians - 
1;1;638;A.A. São Bento;10/09/1933;Fluminense 1 X 1 A.A. São Bento - 
2;0;639;Flamengo;17/09/1933;Fluminense 2 X 0 Flamengo - 
4;2;640;América;24/09/1933;Fluminense 4 X 2 América - 
1;2;641;Santos;08/10/1933;Fluminense 1 X 2 Santos - 
1;0;642;Vasco;22/10/1933;Fluminense 1 X 0 Vasco - 
2;2;643;Portuguesa SP;29/10/1933;Fluminense 2 X 2 Portuguesa SP - 
0;4;644;Bangu;12/11/1933;Fluminense 0 X 4 Bangu - 
3;1;648;Atlético MG;14/01/1934;Fluminense 3 X 1 Atlético MG - 
5;4;649;Siderúrgica;18/01/1934;Fluminense 5 X 4 Siderúrgica - 
2;0;650;Atlético MG;20/01/1934;Fluminense 2 X 0 Atlético MG - 
3;4;651;Villa Nova MG;22/03/1934;Fluminense 3 X 4 Villa Nova MG - 
6;2;652;Bangu;05/04/1934;Fluminense 6 X 2 Bangu - 
1;3;653;Flamengo;08/04/1934;Fluminense 1 X 3 Flamengo - 
3;1;654;São Cristovão;15/04/1934;Fluminense 3 X 1 São Cristovão - 
1;2;655;América;26/04/1934;Fluminense 1 X 2 América - 
1;2;656;Vasco;06/05/1934;Fluminense 1 X 2 Vasco - 
3;1;657;Bonsucesso;12/05/1934;Fluminense 3 X 1 Bonsucesso - 
1;3;658;Bangu;03/06/1934;Fluminense 1 X 3 Bangu - 
2;2;659;Flamengo;10/06/1934;Fluminense 2 X 2 Flamengo - 
3;2;660;Flamengo;13/06/1934;Fluminense 3 X 2 Flamengo - 
1;0;661;São Cristovão;17/06/1934;Fluminense 1 X 0 São Cristovão - 
3;3;662;América;08/07/1934;Fluminense 3 X 3 América - 
3;4;664;Palmeiras;19/07/1934;Fluminense 3 X 4 Palmeiras - 
0;1;665;Vasco;29/07/1934;Fluminense 0 X 1 Vasco - 
2;2;666;Bonsucesso;04/08/1934;Fluminense 2 X 2 Bonsucesso - 
7;2;667;Juiz de Fora;16/08/1934;Fluminense 7 X 2 Juiz de Fora - 
2;0;668;Flamengo;26/08/1934;Fluminense 2 X 0 Flamengo - 
5;1;669;Fluminense Niterói;07/09/1934;Fluminense 5 X 1 Fluminense Niterói - 
4;2;670;Bonsucesso;16/09/1934;Fluminense 4 X 2 Bonsucesso - 
3;1;671;São Cristovão;20/09/1934;Fluminense 3 X 1 São Cristovão - 
0;2;672;Flamengo;23/09/1934;Fluminense 0 X 2 Flamengo - 
1;1;673;Vasco;30/09/1934;Fluminense 1 X 1 Vasco - 
0;1;674;América;03/10/1934;Fluminense 0 X 1 América - 
1;1;677;São Cristovão;18/10/1934;Fluminense 1 X 1 São Cristovão - 
1;2;678;Flamengo;21/10/1934;Fluminense 1 X 2 Flamengo - 
1;2;688;Flamengo;10/02/1935;Fluminense 1 X 2 Flamengo - 
1;1;691;Seleção Niterói;11/04/1935;Fluminense 1 X 1 Seleção Niterói - 
8;2;692;Fluminense Niterói;14/04/1935;Fluminense 8 X 2 Fluminense Niterói - 
7;0;695;Encouraçado M Gerais;26/05/1935;Fluminense 7 X 0 Encouraçado M Gerais - 
1;3;696;Fuzileiros Navais;09/06/1935;Fluminense 1 X 3 Fuzileiros Navais - 
0;0;699;Flamengo;23/06/1935;Fluminense 0 X 0 Flamengo - 
4;0;700;Fuzileiros Navais;07/07/1935;Fluminense 4 X 0 Fuzileiros Navais - 
3;1;701;América;14/07/1935;Fluminense 3 X 1 América - 
2;2;702;Flamengo;21/07/1935;Fluminense 2 X 2 Flamengo - 
2;3;704;América;11/08/1935;Fluminense 2 X 3 América - 
3;1;708;Flamengo;01/09/1935;Fluminense 3 X 1 Flamengo - 
1;4;711;América;22/09/1935;Fluminense 1 X 4 América - 
2;1;714;Flamengo;13/10/1935;Fluminense 2 X 1 Flamengo - 
5;6;716;América;27/10/1935;Fluminense 5 X 6 América - 
2;2;727;Flamengo;21/05/1936;Fluminense 2 X 2 Flamengo - 
6;1;728;Atlético MG;27/05/1936;Fluminense 6 X 1 Atlético MG - 
4;1;733;Atlético MG;12/07/1936;Fluminense 4 X 1 Atlético MG - 
2;2;735;Flamengo;16/08/1936;Fluminense 2 X 2 Flamengo - 
1;1;739;Flamengo;13/09/1936;Fluminense 1 X 1 Flamengo - 
0;1;740;Flamengo;20/09/1936;Fluminense 0 X 1 Flamengo - 
10;0;741;Portuguesa;27/09/1936;Fluminense 10 X 0 Portuguesa - 
5;0;742;Bonsucesso;30/09/1936;Fluminense 5 X 0 Bonsucesso - 
1;1;743;América;04/10/1936;Fluminense 1 X 1 América - 
5;1;744;Jequiá;08/10/1936;Fluminense 5 X 1 Jequiá - 
0;2;745;Flamengo;11/10/1936;Fluminense 0 X 2 Flamengo - 
5;2;746;Bonsucesso;18/10/1936;Fluminense 5 X 2 Bonsucesso - 
6;1;747;Jequiá;25/10/1936;Fluminense 6 X 1 Jequiá - 
2;1;748;Flamengo;28/10/1936;Fluminense 2 X 1 Flamengo - 
4;0;749;Portuguesa;01/11/1936;Fluminense 4 X 0 Portuguesa - 
7;1;750;Bonsucesso;08/11/1936;Fluminense 7 X 1 Bonsucesso - 
0;0;751;Portuguesa;12/11/1936;Fluminense 0 X 0 Portuguesa - 
1;2;752;América;15/11/1936;Fluminense 1 X 2 América - 
