Indice;Data;Assunto;Consulta;Curtidas;Repost;Comentario;Impressoes;Engajamentos;Link_click;Expansao;Visita_perfil;Novos_seguidores;Grupo1;Grupo2
79;08/jul;Pesquisa Site;Pesquisa;6;2;0;266;41;16;8;9;0;Pesquisa;
80;10/jul;Camisa Branca;Camisa;4;1;1;294;28;0;2;2;0;Camisa;
81;12/jul;Sequencias;Sequencias;1;0;0;143;0;0;0;0;0;Sequências;
82;15/jul;Sequencias;Sequencias;8;1;0;291;11;0;1;1;0;Sequências;
83;18/jul;Fluminense x Cuiaba;Adversário;4;1;0;208;5;1;0;0;0;Adversário;
84;18/jul;Fluminense x Juventude;Adversário;0;0;1;139;2;0;0;1;0;Adversário;
85;19/jul;Fluminense - Anderson Daronco;Arbitro;2;0;0;160;5;0;2;1;0;Arbitro;
86;22/jul;Fluminense x Palmeiras;Adversário;5;0;0;242;11;4;2;0;0;Adversário;
87;23/jul;Fluminense em 24/07;Datas;11;1;2;534;37;3;18;1;0;Datas;
88;25/jul;Fluminense x Bragantino;Adversário;3;0;0;171;7;2;1;1;0;Adversário;
89;29/jul;Desempenho em agosto;Ano;6;1;1;243;16;0;5;3;0;Ano;
90;31/jul;Fluminense na Copa do Brasil;Campeonato;4;2;2;175;14;0;5;1;0;Campeonato;
91;02/ago;Thiago Santos e Antonio Carlos;Jogador;10;2;0;216;14;0;1;1;0;Jogador;
