# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240701
# Data de termino: 20240707
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Estatisticas Fluminense - Principal;2024070414;9;8;2;41.333333333333336;0;0;0
Estatisticas Fluminense - Principal;2024070422;9;9;4;20.77777777777778;0;0;0
Estatisticas Fluminense - Principal;2024070510;9;8;1;26.22222222222222;0;0;0
Estatisticas Fluminense - Principal;2024070115;8;8;2;33.875;0;0;0
Estatisticas Fluminense - Principal;2024070310;8;7;2;22;0;0;0
Estatisticas Fluminense - Principal;2024070313;8;8;4;19.75;0;0;0
Estatisticas Fluminense - Principal;2024070116;7;7;1;14.428571428571429;0;0;0
Estatisticas Fluminense - Principal;2024070117;7;7;1;16;0;0;0
Estatisticas Fluminense - Principal;2024070415;7;7;1;5.571428571428571;0;0;0
Estatisticas Fluminense - Principal;2024070416;7;7;0;10.571428571428571;0;0;0
Estatisticas Fluminense - Principal;2024070515;7;6;0;19.285714285714285;0;0;0
Estatisticas Fluminense - Principal;2024070114;6;6;2;8.333333333333334;0;0;0
Estatisticas Fluminense - Principal;2024070215;6;6;2;20.5;0;0;0
Estatisticas Fluminense - Principal;2024070411;6;6;3;22.833333333333332;0;0;0
Estatisticas Fluminense - Principal;2024070412;6;6;3;5.666666666666667;0;0;0
Estatisticas Fluminense - Principal;2024070413;6;6;3;9.833333333333334;0;0;0
Estatisticas Fluminense - Principal;2024070420;6;5;4;9.166666666666666;0;0;0
Estatisticas Fluminense - Principal;2024070511;6;6;1;7.833333333333333;0;0;0
Estatisticas Fluminense - Principal;2024070715;6;5;2;4.833333333333333;0;0;0
Estatisticas Fluminense - Principal;2024070218;5;5;1;20.6;0;0;0
Estatisticas Fluminense - Principal;2024070409;5;4;0;3;0;0;0
Estatisticas Fluminense - Principal;2024070418;5;5;4;7;0;0;0
Estatisticas Fluminense - Principal;2024070421;5;3;3;4;0;0;0
Estatisticas Fluminense - Principal;2024070513;5;5;2;15;0;0;0
Estatisticas Fluminense - Principal;2024070711;5;5;1;19.6;0;0;0
Estatisticas Fluminense - Principal;2024070712;5;5;0;23.6;0;0;0
Estatisticas Fluminense - Principal;2024070111;4;3;0;8.5;0;0;0
Estatisticas Fluminense - Principal;2024070112;4;4;1;6.75;0;0;0
Estatisticas Fluminense - Principal;2024070113;4;4;0;8.5;0;0;0
Estatisticas Fluminense - Principal;2024070120;4;3;0;12;0;0;0
Estatisticas Fluminense - Principal;2024070213;4;4;2;6;0;0;0
Estatisticas Fluminense - Principal;2024070214;4;4;1;8.25;0;0;0
Estatisticas Fluminense - Principal;2024070311;4;4;2;4.75;0;0;0
Estatisticas Fluminense - Principal;2024070322;4;4;0;13.25;0;0;0
Estatisticas Fluminense - Principal;2024070417;4;3;0;13.75;0;0;0
Estatisticas Fluminense - Principal;2024070419;4;4;1;1.25;0;0;0
Estatisticas Fluminense - Principal;2024070423;4;4;3;22.75;0;0;0
Estatisticas Fluminense - Principal;2024070502;4;4;1;8.75;0;0;0
Estatisticas Fluminense - Principal;2024070509;4;4;0;22.5;0;0;0
Estatisticas Fluminense - Principal;2024070514;4;4;0;9.25;0;0;0
Estatisticas Fluminense - Principal;2024070601;4;4;0;14.75;0;0;0
Estatisticas Fluminense - Principal;2024070608;4;3;0;8.25;0;0;0
Estatisticas Fluminense - Principal;2024070622;4;3;1;7.5;0;0;0
Estatisticas Fluminense - Principal;2024070710;4;4;1;4.75;0;0;0
Fluminense x ABC-RN;2024070409;4;4;3;63;0;0;0
Fluminense x Fortaleza-CE;2024070712;4;4;0;6.25;0;0;0
Jogador;2024070117;4;4;0;19;0;0;0
Jogo;2024070116;4;4;0;38;0;0;0
Jogo;2024070315;4;4;0;479.25;0;0;0
Sidnei 1998;2024070117;4;4;0;24.75;0;0;0
Adversarios;2024070215;3;3;0;18.333333333333332;0;0;0
Campeonatos;2024070322;3;2;0;10.666666666666666;0;0;0
Estatisticas Fluminense - Principal;2024070123;3;3;0;5.666666666666667;0;0;0
Estatisticas Fluminense - Principal;2024070212;3;3;1;26;0;0;0
Estatisticas Fluminense - Principal;2024070220;3;3;2;31;0;0;0
Estatisticas Fluminense - Principal;2024070222;3;3;0;8.333333333333334;0;0;0
Estatisticas Fluminense - Principal;2024070402;3;3;0;11;0;0;0
Estatisticas Fluminense - Principal;2024070403;3;3;0;5.333333333333333;0;0;0
Estatisticas Fluminense - Principal;2024070516;3;3;0;8;0;0;0
Estatisticas Fluminense - Principal;2024070519;3;3;0;7.333333333333333;0;0;0
Estatisticas Fluminense - Principal;2024070520;3;3;2;5;0;0;0
Estatisticas Fluminense - Principal;2024070609;3;3;0;21.333333333333332;0;0;0
Estatisticas Fluminense - Principal;2024070612;3;3;1;79;0;0;0
Estatisticas Fluminense - Principal;2024070615;3;3;1;7.666666666666667;0;0;0
Estatisticas Fluminense - Principal;2024070619;3;3;0;13;0;0;0
Estatisticas Fluminense - Principal;2024070709;3;3;1;44;0;0;0
Estatisticas Fluminense - Principal;2024070713;3;3;0;18.333333333333332;0;0;0
Estatisticas Fluminense - Principal;2024070714;3;2;0;4;0;0;0
Estatisticas Fluminense - Principal;2024070716;3;3;2;10.333333333333334;0;0;0
Estatisticas Fluminense - Principal;2024070718;3;3;0;79.66666666666667;0;0;0
Estatisticas Fluminense - Principal;2024070719;3;3;3;44;0;0;0
Estatisticas Fluminense - Principal;2024070721;3;3;0;10;0;0;0
Felipe Fernandes de Lima;2024070412;3;3;0;8.333333333333334;0;0;0
Fluminense 2 X 3 ABC;2024070719;3;3;3;7;0;0;0
Fluminense x Fortaleza-CE;2024070713;3;3;0;15.333333333333334;0;0;0
Fluminense x Internacional-RS;2024070313;3;3;0;12;0;0;0
Fluminense x Internacional-RS;2024070411;3;3;0;56.333333333333336;0;0;0
Fluminense x Internacional-RS;2024070414;3;2;0;73;0;0;0
Fluminense x Internacional-RS;2024070415;3;3;0;7;0;0;0
Fluminense x Internacional-RS;2024070422;3;3;0;21.333333333333332;0;0;0
Jogador;2024070206;3;2;0;4;0;0;0
Jogador;2024070410;3;3;0;40;0;0;0
Jogador;2024070510;3;3;0;15.666666666666666;0;0;0
Jogador;2024070511;3;3;0;14;0;0;0
Jogador;2024070514;3;3;0;22;0;0;0
Jogador;2024070715;3;3;0;9.666666666666666;0;0;0
Jogo;2024070322;3;3;0;22.333333333333332;0;0;0
Jogo;2024070422;3;3;0;18;0;0;0
Arbitros;2024070412;3;3;0;10.666666666666666;0;0;0
20 Maiores Artilheiros Anuais;2024070415;2;2;0;8;0;0;0
Adversarios;2024070112;2;2;0;86.5;0;0;0
Adversarios;2024070117;2;2;0;8.5;0;0;0
Adversarios;2024070213;2;2;0;8;0;0;0
Adversarios;2024070322;2;2;0;8.5;0;0;0
Adversarios;2024070415;2;2;0;9;0;0;0
Adversarios;2024070423;2;2;0;20;0;0;0
Adversarios;2024070511;2;2;0;5;0;0;0
Adversarios;2024070612;2;2;0;9;0;0;0
Adversarios;2024070614;2;2;0;15.5;0;0;0
Andre 2024;2024070422;2;2;2;0;0;0;0
Brasileiro Serie B 1998;2024070409;2;2;1;47.5;0;0;0
Campeonatos;2024070311;2;2;0;174;0;0;0
Consulta Tecnico Adversario;2024070416;2;2;0;13;0;0;0
Especiais Adversarios;2024070322;2;2;0;18.5;0;0;0
Especiais Jogadores;2024070215;2;2;0;37.5;0;0;0
Especiais Jogadores;2024070415;2;2;0;12.5;0;0;0
Especiais Jogadores;2024070520;2;2;0;19.5;0;0;0
Especiais Sequencias;2024070116;2;2;0;45;0;0;0
Especiais Tecnicos Adversarios;2024070416;2;2;0;7.5;0;0;0
Estatisticas Fluminense - Principal;2024070101;2;2;1;3;0;0;0
Estatisticas Fluminense - Principal;2024070108;2;2;0;6.5;0;0;0
Estatisticas Fluminense - Principal;2024070110;2;2;1;2.5;0;0;0
Estatisticas Fluminense - Principal;2024070118;2;2;0;4;0;0;0
Estatisticas Fluminense - Principal;2024070122;2;2;0;14;0;0;0
Estatisticas Fluminense - Principal;2024070208;2;1;1;2;0;0;0
Estatisticas Fluminense - Principal;2024070210;2;2;0;9;0;0;0
Estatisticas Fluminense - Principal;2024070211;2;2;1;6.5;0;0;0
Estatisticas Fluminense - Principal;2024070216;2;2;1;14;0;0;0
Estatisticas Fluminense - Principal;2024070217;2;2;0;43;0;0;0
Estatisticas Fluminense - Principal;2024070219;2;2;0;16.5;0;0;0
Estatisticas Fluminense - Principal;2024070302;2;2;0;8.5;0;0;0
Estatisticas Fluminense - Principal;2024070309;2;1;1;1.5;0;0;0
Estatisticas Fluminense - Principal;2024070312;2;2;1;6;0;0;0
Estatisticas Fluminense - Principal;2024070315;2;2;1;8;0;0;0
Estatisticas Fluminense - Principal;2024070317;2;2;1;13.5;0;0;0
Estatisticas Fluminense - Principal;2024070318;2;2;0;7.5;0;0;0
Estatisticas Fluminense - Principal;2024070319;2;2;0;4.5;0;0;0
Estatisticas Fluminense - Principal;2024070320;2;2;0;2;0;0;0
Estatisticas Fluminense - Principal;2024070323;2;2;1;22;0;0;0
Estatisticas Fluminense - Principal;2024070400;2;2;1;20.5;0;0;0
Estatisticas Fluminense - Principal;2024070401;2;2;0;34;0;0;0
Estatisticas Fluminense - Principal;2024070406;2;2;1;12.5;0;0;0
Estatisticas Fluminense - Principal;2024070407;2;2;1;1;0;0;0
Estatisticas Fluminense - Principal;2024070408;2;2;1;202;0;0;0
Estatisticas Fluminense - Principal;2024070410;2;2;0;15.5;0;0;0
Estatisticas Fluminense - Principal;2024070500;2;2;1;26;0;0;0
Estatisticas Fluminense - Principal;2024070505;2;2;0;7;0;0;0
Estatisticas Fluminense - Principal;2024070512;2;2;0;2;0;0;0
Estatisticas Fluminense - Principal;2024070517;2;2;1;0;0;0;0
Estatisticas Fluminense - Principal;2024070518;2;2;0;0;0;0;0
Estatisticas Fluminense - Principal;2024070521;2;2;1;2.5;0;0;0
Estatisticas Fluminense - Principal;2024070522;2;1;0;17;0;0;0
Estatisticas Fluminense - Principal;2024070600;2;2;2;9;0;0;0
Estatisticas Fluminense - Principal;2024070605;2;2;1;7;0;0;0
Estatisticas Fluminense - Principal;2024070606;2;2;0;5.5;0;0;0
Estatisticas Fluminense - Principal;2024070611;2;1;0;160;0;0;0
Estatisticas Fluminense - Principal;2024070613;2;2;1;8;0;0;0
Estatisticas Fluminense - Principal;2024070614;2;2;1;25.5;0;0;0
Estatisticas Fluminense - Principal;2024070616;2;2;0;18;0;0;0
Estatisticas Fluminense - Principal;2024070617;2;2;0;37;0;0;0
Estatisticas Fluminense - Principal;2024070618;2;2;0;5;0;0;0
Estatisticas Fluminense - Principal;2024070620;2;2;0;11.5;0;0;0
Estatisticas Fluminense - Principal;2024070621;2;2;0;7.5;0;0;0
Estatisticas Fluminense - Principal;2024070623;2;2;2;25;0;0;0
Estatisticas Fluminense - Principal;2024070700;2;2;1;58;0;0;0
Estatisticas Fluminense - Principal;2024070703;2;2;0;2;0;0;0
Estatisticas Fluminense - Principal;2024070708;2;2;1;17.5;0;0;0
Estatisticas Fluminense - Principal;2024070720;2;2;1;6.5;0;0;0
Estatisticas Fluminense - Principal;2024070722;2;2;2;6;0;0;0
Felipe Fernandes de Lima;2024070402;2;2;0;0.5;0;0;0
Felipe Fernandes de Lima;2024070409;2;2;0;17.5;0;0;0
Fluminense 1 X 0 Bayern de Munique;2024070317;2;2;1;11;0;0;0
Fluminense 1 X 1 Bonsucesso;2024070711;2;1;0;10.5;0;0;0
Fluminense 1 X 1 Internacional;2024070422;2;2;0;26.5;0;0;0
Fluminense 2 X 3 Gremio;2024070414;2;1;0;1.5;0;0;0
