# ----------------------------------------;;;;;;;
# Exportacao do CSV de relatorio;;;;;;;
# Conta: Rodrigo_fluzao;;;;;;;
# Propriedade: RodrigoFlu;;;;;;;
# ----------------------------------------;;;;;;;
# ;;;;;;;
# Todos os usuarios;;;;;;;
# Data de inicio: 20240429;;;;;;;
# Data de termino: 20240505;;;;;;;
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
Estadios;20240429;3;3;1;20.666.666.666.666.600;0;0
Felipe Fernandes de Lima;20240430;3;3;0;63.333.333.333.333.300;0;0
Felipe Fernandes de Lima;20240501;3;3;0;1;0;0
Fluminense 1 X 0 Anapolina;20240502;3;1;0;0;0;0
Fluminense 2 X 1 Flamengo;20240504;3;2;1;7.666.666.666.666.660;0;0
Fluminense 2 X 3 ABC;20240501;3;3;3;21.666.666.666.666.600;0;0
Fluminense 4 X 0 Rio Cricket;20240429;3;2;0;26.666.666.666.666.600;0;0
Fluminense 5 X 1 Sampaio Correa;20240501;3;3;0;6.466.666.666.666.660;0;0
Fluminense x America MG-MG;20240503;3;3;0;5.666.666.666.666.660;0;0
Fluminense x Fast-AM;20240429;3;3;3;7.666.666.666.666.660;0;0
Fluminense x Fortaleza-CE;20240501;3;2;0;7.333.333.333.333.330;0;0
Fluminense x Operario MT-MT;20240501;3;2;2;36.666.666.666.666.600;0;0
Fluminense x Paris Saint Germain-Franca;20240505;3;3;2;22.333.333.333.333.300;0;0
Fluminense x Paysandu-PA;20240429;3;1;0;11.333.333.333.333.300;0;0
Fluminense x Sao Paulo-SP;20240501;3;2;0;14;0;0
Fabio 2024;20240501;3;3;0;46.666.666.666.666.600;0;0
Fabio 2024;20240502;3;3;0;15.333.333.333.333.300;0;0
German Cano 2024;20240429;3;3;3;37.666.666.666.666.600;0;0
German Cano 2024;20240501;3;3;3;22.333.333.333.333.300;0;0
Goleiros com mais jogos;20240504;3;3;0;26;0;0
Gols do Leomir;20240501;3;1;0;4.666.666.666.666.660;0;0
Gols do Matheus Carvalho;20240502;3;1;0;1;0;0
Graficos;20240429;3;3;0;25.666.666.666.666.600;0;0
Graficos;20240501;3;3;0;24.333.333.333.333.300;0;0
Graficos;20240504;3;3;0;56.666.666.666.666.600;0;0
Informacoes Gerais;20240430;3;3;0;24.333.333.333.333.300;0;0
Lucumi 2024;20240501;3;2;0;42.333.333.333.333.300;0;0
Lucumi 2024;20240502;3;3;0;14;0;0
Maior Artilheiro em 1 campeonato;20240430;3;2;0;24.666.666.666.666.600;0;0
Maior Artilheiro em Temporada;20240501;3;3;0;7;0;0
Mais jogos em Campeonato;20240429;3;3;0;6;0;0
Mais jogos no elenco atual;20240501;3;3;0;8.233.333.333.333.330;0;0
Mais jogos no elenco atual;20240502;3;3;0;85;0;0
Mais jogos no elenco atual;20240504;3;3;1;36.666.666.666.666.600;0;0
Mais jogou em Campeonato;20240429;3;3;0;26.333.333.333.333.300;0;0
Marcelo 2024;20240504;3;2;0;16.333.333.333.333.300;0;0
Marco Brito 2003;20240429;3;3;0;20.666.666.666.666.600;0;0
Martinelli 2024;20240504;3;3;0;8.333.333.333.333.330;0;0
Mascotes;20240505;3;2;2;6.666.666.666.666.660;0;0
Media de Gols;20240430;3;2;0;19.333.333.333.333.300;0;0
Media de gols sofridos;20240502;3;2;0;19.666.666.666.666.600;0;0
Media de penalties;20240502;3;2;0;10.666.666.666.666.600;0;0
Presenca Estrangeiros;20240502;3;3;0;15.466.666.666.666.600;0;0
Presenca Estrangeiros;20240504;3;3;0;21.666.666.666.666.600;0;0
Rafael Traci;20240504;3;3;0;34.333.333.333.333.300;0;0
Ranking de Assistencias;20240430;3;3;0;30.333.333.333.333.300;0;0
Ranking de Assistencias;20240503;3;3;0;10.066.666.666.666.600;0;0
Ranking de Tecnicos Adversarios;20240504;3;2;0;130;0;0
Serra 0 X 1 Fluminense;20240502;3;1;0;13.333.333.333.333.300;0;0
Tec - Fernando Diniz;20240502;3;3;0;63.333.333.333.333.300;0;0
Tec - Fernando Diniz;20240504;3;1;0;13;0;0
Terceira 2021;20240429;3;3;3;0;0;0
Thiago Silva 2008;20240503;3;2;0;53;0;0
Todas as camisas;20240503;3;3;0;44.333.333.333.333.300;0;0
Todos os Jogos apitados por Raphael Claus;20240505;3;1;0;22.333.333.333.333.300;0;0
Todos os Jogos contra Atletico MG-MG;20240502;3;3;0;56;0;0
Todos os Jogos contra Caio Junior;20240504;3;2;0;5.333.333.333.333.330;0;0
Todos os jogos em campeonato;20240429;3;3;0;9.666.666.666.666.660;0;0
Tecnico;20240502;3;3;0;23.333.333.333.333.300;0;0
Tecnico;20240503;3;3;0;5.333.333.333.333.330;0;0
Wagner do Nascimento Magalhaes;20240504;3;3;0;8;0;0
Wilton Pereira Sampaio;20240504;3;3;0;6.666.666.666.666.660;0;0
Arbitros;20240505;3;3;0;15;0;0
(not set);20240429;2;2;0;34.5;0;0
12º Jogador;20240430;2;1;0;17;0;0
20 Maiores Artilheiros Anuais;20240430;2;2;0;10;0;0
30 Adversarios que mais jogamos;20240504;2;2;0;26.5;0;0
30 Estadios onde mais jogamos;20240504;2;2;0;11.5;0;0
Adversario;20240504;2;1;0;23.5;0;0
Adversario x Estadio;20240502;2;1;0;27.5;0;0
America 1 X 2 Fluminense;20240504;2;1;0;1;0;0
Anderson Daronco;20240501;2;1;0;5.5;0;0
Aproveitamento Arbitros;20240504;2;2;0;84.5;0;0
Arena Corinthians;20240429;2;2;0;43;0;0
Artilheiros Estrangeiros;20240502;2;2;0;19.5;0;0
Artilheiros Estrangeiros;20240504;2;2;0;14;0;0
Artilheiros em Campeonato;20240430;2;2;0;674.5;0;0
Artilheiros na temporada 2024;20240501;2;2;0;203;0;0
Artilheiros na temporada 2024;20240505;2;2;0;48.5;0;0
Artilheiros no(a) Brasileiro;20240429;2;2;0;13;0;0
Artilheiros no(a) Brasileiro;20240502;2;1;0;0;0;0
Artilheiros no(a) Carioca;20240429;2;1;0;4;0;0
Artilheiros no(a) Carioca;20240501;2;2;0;4.5;0;0
Artilheiros no(a) Kleber Andrade;20240501;2;1;0;0.5;0;0
Artilheiros no(a) Mundial;20240429;2;1;0;10;0;0
Assistencias - Libertadores da America;20240429;2;2;0;51;0;0
Assistencias do German Cano;20240504;2;2;0;6.5;0;0
Assistencias em Ano;20240430;2;2;0;8.5;0;0
Assistencias em Campeonato;20240429;2;2;0;16.5;0;0
Atletico MG 2 X 0 Fluminense;20240503;2;2;0;18;0;0
Bahia 2 X 1 Fluminense;20240501;2;2;0;27.5;0;0
Bangu 0 X 4 Fluminense;20240503;2;1;0;16.5;0;0
Bangu 2 X 0 Fluminense;20240502;2;2;0;214.5;0;0
Bonsucesso 0 X 1 Fluminense;20240502;2;1;0;87.5;0;0
Botafogo 1 X 0 Fluminense;20240502;2;2;0;32.5;0;0
Botafogo SP 1 X 1 Fluminense;20240502;2;2;1;71.5;0;0
Branca 2024;20240503;2;2;0;6.5;0;0
Brasileiro;20240503;2;2;0;8;0;0
Brasileiro 2012;20240429;2;1;0;10.5;0;0
Brasileiro 2024;20240504;2;2;0;15.5;0;0
Brasileiro Serie B 1998;20240503;2;2;2;15.5;0;0
Braulio da Silva Machado;20240504;2;2;0;10;0;0
Bruno Reis 2000;20240430;2;1;0;9.5;0;0
Caio 2002;20240429;2;2;0;55.5;0;0
Caio Martins;20240503;2;1;1;0.5;0;0
Camisa;20240502;2;2;0;2.5;0;0
Camisa;20240504;2;2;0;2;0;0
Camisa ano a ano;20240429;2;2;0;14;0;0
Camisa ano a ano;20240501;2;2;0;9.5;0;0
Campeonato x Jogador;20240429;2;2;0;18.5;0;0
Campeonatos;20240505;2;2;0;38.5;0;0
Carioca 1979;20240502;2;2;1;11.5;0;0
Carlos Alberto Dias 1998;20240505;2;2;1;86;0;0
Coelho 1927;20240430;2;1;0;0;0;0
Compara Jogadores;20240503;2;1;0;4.5;0;0
Conca 2015;20240502;2;2;0;5.5;0;0
Consolidados de turnos;20240504;2;2;0;28.5;0;0
Consulta Jogo Numero contra adversario;20240502;2;2;0;35;0;0
Copa do Brasil;20240503;2;1;0;0;0;0
Corinthians 3 X 0 Fluminense;20240504;2;2;0;5;0;0
Costa Santos 1911;20240504;2;2;0;5;0;0
Cruzeiro 1 X 0 Fluminense;20240502;2;2;0;4;0;0
Creditos;20240429;2;2;0;17.5;0;0
Curiosidades e Titulos;20240430;2;2;0;8;0;0
Curiosidades e Titulos;20240503;2;2;0;10;0;0
Danielzinho 2024;20240504;2;1;0;0;0;0
Disputa de penalti;20240504;2;1;0;5.5;0;0
Distancias Percorridas;20240429;2;1;0;3;0;0
Douglas Costa 2024;20240501;2;2;0;10;0;0
Eduardo 1994;20240503;2;1;0;0;0;0
Engenheiro Araripe;20240501;2;2;0;26.5;0;0
Engenheiro Araripe;20240503;2;1;0;1.5;0;0
Especiais Adversarios;20240429;2;2;0;27.5;0;0
Especiais Adversarios;20240505;2;2;0;35.5;0;0
Especiais Brasileirao;20240504;2;2;0;13;0;0
Especiais Campeonatos;20240501;2;2;0;3.5;0;0
Especiais Campeonatos;20240503;2;2;0;19;0;0
Especiais Estadios;20240501;2;2;0;4;0;0
Especiais Gols e Penalties;20240501;2;2;0;5;0;0
Especiais Historicos;20240429;2;2;0;59;0;0
Especiais Historicos;20240501;2;2;0;12.5;0;0
Especiais Historicos;20240503;2;2;0;11;0;0
Especiais Jogos;20240429;2;2;0;31;0;0
Especiais Jogos;20240502;2;2;0;21.5;0;0
Especiais Placares;20240429;2;1;0;6;0;0
Especiais Tecnico;20240429;2;2;0;2.5;0;0
Especiais Tecnico;20240430;2;2;0;13.5;0;0
Especiais Arbitros;20240504;2;2;0;34;0;0
Estreia em campeonato;20240429;2;2;0;32;0;0
Estreias Copa do Brasil;20240429;2;2;0;56;0;0
Estreias Copa do Brasil;20240501;2;1;0;0;0;0
Estadio x Adversario;20240502;2;2;0;27;0;0
Estadio x Campeonato;20240501;2;2;0;0.5;0;0
Estadio x Campeonato;20240502;2;1;0;15;0;0
Estadio x Campeonato;20240503;2;1;0;5.5;0;0
Evolucao Atletico MG;20240503;2;2;0;143;0;0
Felipe Andrade 2024;20240504;2;2;0;34.5;0;0
Felipe Fernandes de Lima;20240429;2;2;0;37;0;0
Felipe Melo 2024;20240429;2;1;0;0.5;0;0
Felipe Melo 2024;20240504;2;2;0;22;0;0
Fernando Diniz 2003;20240430;2;2;0;1;0;0
Finais;20240429;2;2;0;21;0;0
Flamengo 0 X 0 Fluminense;20240502;2;1;0;183;0;0
Flamengo 0 X 3 Fluminense;20240430;2;1;0;279.5;0;0
Flamengo 1 X 2 Fluminense;20240504;2;2;0;14;0;0
Flamengo 4 X 1 Fluminense;20240503;2;1;1;33;0;0
Fluminense 0 X 1 Palmeiras;20240502;2;1;0;352.5;0;0
Fluminense 0 X 1 Vasco;20240502;2;2;0;6.5;0;0
Fluminense 1 X 0 Dom Pedro II;20240501;2;1;0;0.5;0;0
Fluminense 1 X 0 Moto Club;20240503;2;1;0;1;0;0
Fluminense 1 X 0 Serra;20240501;2;1;0;1;0;0
Fluminense 1 X 1 America;20240502;2;1;0;62.5;0;0
Fluminense 1 X 1 Atletico MG;20240503;2;2;0;12.5;0;0
Fluminense 1 X 2 Flamengo;20240504;2;2;0;5;0;0
Fluminense 2 X 2 Bragantino;20240501;2;2;0;22.5;0;0
Fluminense 2 X 2 Flamengo;20240505;2;1;0;0;0;0
Fluminense 2 X 3 ABC;20240502;2;2;2;71.5;0;0
Fluminense 2 X 3 ABC;20240503;2;2;2;0;0;0
Fluminense 2 X 3 Gremio;20240504;2;2;0;4.5;0;0
Fluminense 3 X 0 Goias;20240505;2;2;0;26.5;0;0
Fluminense 3 X 1 Avai;20240504;2;2;0;17.5;0;0
Fluminense 3 X 1 Villa Nova MG;20240502;2;1;0;3;0;0
Fluminense 4 X 0 Sao Paulo;20240501;2;1;0;14.5;0;0
Fluminense 4 X 1 Botafogo;20240502;2;2;1;15;0;0
Fluminense 4 X 1 Flamengo;20240430;2;2;1;1;0;0
Fluminense 4 X 1 Vila Isabel;20240430;2;1;0;60.5;0;0
Fluminense 4 X 3 Flamengo;20240501;2;1;0;0;0;0
Fluminense 5 X 1 River Plate;20240430;2;2;0;17;0;0
Fluminense 5 X 1 Sampaio Correa;20240429;2;1;0;4.5;0;0
Fluminense 6 X 0 Adesg;20240503;2;1;1;0;0;0
Fluminense 6 X 0 Maranhao;20240501;2;2;2;38.5;0;0
Fluminense 8 X 0 Botafogo;20240502;2;2;0;33;0;0
Fluminense X Sampaio Correa - Video;20240502;2;2;0;22;0;0
Fluminense x America MG-MG;20240502;2;2;0;1.5;0;0
Fluminense x Atletico MG-MG;20240501;2;2;0;76.5;0;0
Fluminense x Bayer Leverkusen-Alemanha;20240430;2;2;0;4.5;0;0
Fluminense x Boca Juniors-Argentina;20240430;2;2;0;15.5;0;0
Fluminense x Botafogo-RJ;20240430;2;2;0;15;0;0
Fluminense x Botafogo-RJ;20240503;2;2;0;29.5;0;0
Fluminense x Confianca-SE;20240501;2;2;2;11.5;0;0
Fluminense x Corinthians-SP;20240501;2;2;0;26.5;0;0
Fluminense x Corinthians-SP;20240504;2;2;0;51.5;0;0
Fluminense x Cruzeiro-MG;20240502;2;2;0;3;0;0
Fluminense x Fast-AM;20240501;2;2;2;99.5;0;0
Fluminense x Flamengo-RJ;20240429;2;2;0;36.5;0;0
Fluminense x Flamengo-RJ;20240430;2;2;0;19;0;0
Fluminense x Flamengo-RJ;20240503;2;1;0;17;0;0
Fluminense x Goias-GO;20240501;2;2;0;10.5;0;0
Fluminense x Goias-GO;20240502;2;2;0;6;0;0
Fluminense x Juiz de Fora-MG;20240429;2;1;0;10.5;0;0
Fluminense x Moto Club-MA;20240430;2;2;0;56;0;0
Fluminense x Paris Saint Germain-Franca;20240501;2;2;2;50.5;0;0
Fluminense x Paris Saint Germain-Franca;20240504;2;1;1;1.5;0;0
Fluminense x Paysandu-PA;20240430;2;2;0;21;0;0
Fluminense x Real Madrid-Espanha;20240505;2;2;0;20.5;0;0
Fluminense x Remo-PA;20240429;2;1;0;7;0;0
Fluminense x River Plate-Argentina;20240430;2;2;0;14.5;0;0
Fluminense x Serra-ES;20240430;2;2;0;30.5;0;0
Fluminense x Sao Paulo-SP;20240502;2;2;0;9;0;0
Fluminense x Sao Raimundo-AM;20240429;2;2;1;24;0;0
Fluminense x Sao Raimundo-AM;20240502;2;2;2;27.5;0;0
Fluminense x Vasco-RJ;20240430;2;2;0;47;0;0
Fluminense x Vitoria BA-BA;20240502;2;2;0;53.5;0;0
Fluminense x West Ham United-Inglaterra;20240429;2;2;0;6.5;0;0
Fred 2022;20240504;2;2;0;32.5;0;0
Frequencia de Placares;20240429;2;1;0;33;0;0
Gabriel Teixeira 2022;20240430;2;1;0;0;0;0
German Cano 2024 - Gols por Adversario;20240504;2;1;0;13;0;0
Gols do Lima;20240501;2;2;0;16;0;0
Gols do Rafael;20240429;2;1;0;10.5;0;0
Gols do Rodrigo Tiui;20240502;2;1;0;0;0;0
Gols do Rogerinho;20240501;2;1;0;24.5;0;0
Gols do Vampeta;20240503;2;1;0;1.5;0;0
Graficos;20240430;2;1;0;13;0;0
Graficos;20240502;2;2;0;16.5;0;0
Guilherme Gomes;20240504;2;2;0;4;0;0
Heber Roberto Lopes;20240504;2;2;0;2;0;0
