# ----------------------------------------;;;;;;;;
# Exportacao do CSV de relatorio;;;;;;;;
# Conta: Rodrigo_fluzao;;;;;;;;
# Propriedade: RodrigoFlu;;;;;;;;
# ----------------------------------------;;;;;;;;
# ;;;;;;;;
# Todos os usuarios;;;;;;;;
# Data de inicio: 20240708;;;;;;;;
# Data de termino: 20240714;;;;;;;;
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Jogador;2024070821;3;3;0;39.333.333.333.333.300;0;0;0
Jogador;2024070913;3;3;0;23.666.666.666.666.600;0;0;0
Jogador;2024070914;3;3;0;3;0;0;0
Jogador;2024070923;3;3;0;5.666.666.666.666.660;0;0;0
Jogador;2024071019;3;3;1;13;0;0;0
Jogador;2024071110;3;3;0;68;0;0;0
Jogador;2024071209;3;3;1;6.333.333.333.333.330;0;0;0
Jogador;2024071218;3;3;0;25.666.666.666.666.600;0;0;0
Jogador;2024071219;3;3;0;28.666.666.666.666.600;0;0;0
Jogo;2024071018;3;2;0;36;0;0;0
Jogo;2024071116;3;3;0;30.333.333.333.333.300;0;0;0
Jogo;2024071212;3;3;0;10;0;0;0
Jogo;2024071314;3;3;0;37.666.666.666.666.600;0;0;0
Jogo;2024071417;3;3;0;15.333.333.333.333.300;0;0;0
Jogo;2024071418;3;3;0;34.333.333.333.333.300;0;0;0
Arbitros;2024070910;3;3;0;7.666.666.666.666.660;0;0;0
Adriano Pereira Machado;2024071304;2;2;2;0;0;0;0
Adversarios;2024070801;2;2;0;16;0;0;0
Adversarios;2024070820;2;2;0;14;0;0;0
Adversarios;2024071014;2;2;0;12.5;0;0;0
Alan 2023;2024071404;2;2;2;0;0;0;0
Alexandre Lopes 2000;2024071303;2;2;2;0;0;0;0
Alfredo Jaconi;2024071311;2;2;2;0;0;0;0
Altair 1970;2024071306;2;2;2;0;0;0;0
Amistoso Internacional 1953;2024071313;2;2;2;0;0;0;0
Amistoso Internacional 1996;2024071311;2;2;2;0;0;0;0
Andre Luiz de Freitas Castro;2024071304;2;2;2;0;0;0;0
Arena Corinthians;2024071310;2;2;2;0;0;0;0
Arena Palmeiras;2024071310;2;2;2;0;0;0;0
Arena Pantanal;2024071310;2;2;2;0;0;0;0
Arruda;2024071311;2;2;2;0;0;0;0
Artilheiros por Adversario;2024071100;2;2;0;127;0;0;0
Atilio Marotti;2024071405;2;2;2;0;0;0;0
Branca 2009;2024070816;2;2;0;16.5;0;0;0
Branca 2024;2024071012;2;2;0;26;0;0;0
Branco 1998;2024071313;2;2;2;0;0;0;0
Brasileiro;2024070817;2;1;0;1.5;0;0;0
Brasileiro 2014;2024071308;2;2;2;0;0;0;0
Brasileiro 2024;2024070811;2;2;0;21.5;0;0;0
Braulio da Silva Machado;2024071307;2;2;2;0;0;0;0
Cafe;2024071313;2;2;2;0;0;0;0
Camisa;2024070816;2;2;0;7;0;0;0
Camisa;2024071119;2;2;0;4.5;0;0;0
Camisa;2024071120;2;2;0;6;0;0;0
Campeonatos;2024070811;2;2;0;6.5;0;0;0
Campeonatos;2024070910;2;2;0;18;0;0;0
Campeonatos;2024071017;2;2;0;9.5;0;0;0
Campeonatos;2024071118;2;2;0;3;0;0;0
Caninde;2024071310;2;2;2;0;0;0;0
Carioca 1957;2024071307;2;2;2;0;0;0;0
Carlos Alberto 1993;2024071307;2;2;2;0;0;0;0
Castilho 1965;2024071304;2;2;2;0;0;0;0
Copa do Brasil 2009;2024071403;2;2;2;0;0;0;0
Criciuma 1 X 1 Fluminense;2024071205;2;2;0;22;0;0;0
Criciuma 1 X 1 Fluminense;2024071209;2;2;0;37;0;0;0
Diego 2008;2024071308;2;2;2;0;0;0;0
Duilio 1985;2024071311;2;2;2;0;0;0;0
Edinho 1966;2024071306;2;2;2;0;0;0;0
Egidio 2021;2024071305;2;2;2;0;0;0;0
Engenhao;2024071309;2;2;2;0;0;0;0
Especiais Adversarios;2024071014;2;2;0;28;0;0;0
Especiais Adversarios;2024071122;2;2;0;9;0;0;0
Especiais Jogadores;2024070914;2;2;0;19.5;0;0;0
Especiais Jogadores;2024071014;2;2;0;25;0;0;0
Especiais Jogadores;2024071200;2;2;0;11;0;0;0
Especiais Jogadores;2024071420;2;2;0;10.5;0;0;0
Especiais Sequencias;2024070810;2;2;0;3;0;0;0
Especiais Sequencias;2024070911;2;2;0;18.5;0;0;0
Especiais Sequencias;2024071116;2;2;0;21;0;0;0
Especiais Sequencias;2024071211;2;2;0;11;0;0;0
