# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240506
# Data de termino: 20240512
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
Organic Search;20240509;78;85;0.8018867924528302;0.9444444444444444;215.84444444444443;1868;0;0
Organic Search;20240512;47;49;0.7903225806451613;0.8909090909090909;66.81818181818181;614;0;0
Organic Search;20240506;34;44;0.7457627118644068;1;104.20454545454545;1050;0;0
Organic Search;20240508;34;37;0.8604651162790697;0.8604651162790697;74.30232558139535;425;0;0
Organic Search;20240511;34;33;0.6226415094339622;0.8048780487804879;245.6341463414634;985;0;0
Organic Search;20240507;30;37;0.8043478260869565;0.925;87.775;521;0;0
Organic Search;20240510;30;58;0.8529411764705882;1.16;283.4;1243;0;0
Direct;20240510;18;71;0.797752808988764;1.2678571428571428;299.6607142857143;2390;0;0
Direct;20240506;15;36;0.72;1.0588235294117647;221.35294117647058;1028;0;0
Direct;20240512;15;45;0.7894736842105263;1.2162162162162162;576.081081081081;1983;0;0
Direct;20240509;12;50;0.7246376811594203;1.25;645.975;2206;0;0
Direct;20240511;11;48;0.7741935483870968;1.2972972972972974;594.2162162162163;1750;0;0
Direct;20240507;10;38;0.7450980392156863;1.1176470588235294;153.58823529411765;1266;0;0
Direct;20240508;10;51;0.75;1.2439024390243902;505.2926829268293;1440;0;0
Organic Social;20240512;1;0;0;0;7;4;0;0
Referral;20240510;1;3;1;1;115;95;0;0
Referral;20240508;0;1;1;1;60;6;0;0
Referral;20240509;0;1;1;1;18;8;0;0
