# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231211
# Data de termino: 20231217
Grupo de canais padrao do primeiro usuario;Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20231211;82;72;0.6728971962616822;0.75;70.76041666666667;1065;0;0
Organic Search;20231212;54;58;0.7631578947368421;0.90625;43.859375;604;0;0
Organic Search;20231216;44;46;0.696969696969697;0.8846153846153846;64.96153846153847;728;0;0
Organic Search;20231217;42;48;0.7619047619047619;0.9230769230769231;94.75;852;0;0
Organic Search;20231214;37;40;0.7017543859649122;0.851063829787234;70.29787234042553;683;0;0
Organic Search;20231215;37;46;0.7301587301587301;0.92;150.08;1066;0;0
Organic Search;20231213;34;42;0.7924528301886793;0.9130434782608695;111.45652173913044;946;0;0
Direct;20231215;31;60;0.625;0.9523809523809523;112.34920634920636;1568;0;0
Direct;20231211;15;48;0.6956521739130435;1.2;188.225;1457;0;0
Direct;20231212;14;39;0.7358490566037735;1.1470588235294117;195.47058823529412;886;0;0
Direct;20231214;13;43;0.7678571428571429;1.2285714285714286;274.8;1538;0;0
Direct;20231216;12;20;0.6451612903225806;0.7142857142857143;98.67857142857143;999;0;0
Direct;20231217;11;39;0.7358490566037735;1.1470588235294117;177.6764705882353;1236;0;0
Direct;20231213;5;49;0.7777777777777778;1.3243243243243243;205.0810810810811;1940;0;0
Referral;20231213;5;5;1;1;201.4;224;0;0
Referral;20231214;1;0;0;0;7;5;0;0
Referral;20231215;1;1;0.5;0.5;36;22;0;0
Referral;20231216;1;1;0.5;0.5;23.5;18;0;0
Referral;20231217;1;5;0.8333333333333334;2.5;10355.5;448;0;0
Referral;20231212;0;1;0.3333333333333333;1;80;17;0;0
