# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240617
# Data de termino: 20240623
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
/;20240619;69;60;19;20.797101449275363;0;0;0
/;20240620;58;42;21;29.82758620689655;0;0;0
/;20240621;58;44;20;24.362068965517242;0;0;0
/;20240623;55;41;16;15.836363636363636;0;0;0
/;20240618;50;37;7;16.48;0;0;0
/;20240617;49;37;9;12.306122448979592;0;0;0
/;20240622;43;34;11;17.767441860465116;0;0;0
/jogador;20240619;25;23;0;37.92;0;0;0
/mostra_adversario;20240619;22;16;0;27.90909090909091;0;0;0
/jogo;20240619;19;12;0;80.26315789473684;0;0;0
/mostra_jogador;20240619;19;16;0;72.52631578947368;0;0;0
/jogador;20240620;18;12;1;17.444444444444443;0;0;0
/mostra_adversario;20240618;18;15;0;31.333333333333332;0;0;0
/mostra_jogador;20240622;18;11;0;38.5;0;0;0
/jogador;20240622;16;14;0;55.1875;0;0;0
/jogador;20240623;16;12;0;22.625;0;0;0
/jogador;20240621;15;12;0;19.133333333333333;0;0;0
/mostra_adversario;20240617;15;9;0;44.666666666666664;0;0;0
/mostra_jogador;20240621;14;9;0;13.357142857142858;0;0;0
/mostra_jogador;20240623;14;12;0;18.142857142857142;0;0;0
/mostra_jogo;20240619;14;10;0;139.28571428571428;0;0;0
/jogador;20240617;13;11;0;34.23076923076923;0;0;0
/jogo;20240617;13;10;0;66.61538461538461;0;0;0
/jogo;20240620;13;11;0;23.23076923076923;0;0;0
/mostra_jogador;20240620;13;10;0;44.84615384615385;0;0;0
/adversario;20240617;12;8;0;47.583333333333336;0;0;0
/adversario;20240619;12;10;1;39.833333333333336;0;0;0
/adversario;20240618;11;9;1;14;0;0;0
/consulta_especial_jogador;20240619;10;8;0;81;0;0;0
/jogador;20240618;10;8;2;19.8;0;0;0
/jogo;20240622;10;10;0;29.1;0;0;0
/mostra_adversario;20240623;10;10;0;12.8;0;0;0
/mostra_arbitro;20240619;10;6;0;34.5;0;0;0
/mostra_campeonato;20240620;10;7;0;42.7;0;0;0
/mostra_jogador;20240618;10;6;0;41.6;0;0;0
/campeonato;20240620;9;7;0;18.11111111111111;0;0;0
/mostra_jogador;20240617;9;8;0;49.55555555555556;0;0;0
/tecnico;20240621;9;8;0;18.666666666666668;0;0;0
/adversario;20240620;8;8;0;12.875;0;0;0
/adversario;20240621;8;7;0;8.5;0;0;0
/jogo;20240618;8;6;0;74.875;0;0;0
/mostra_adversario;20240621;8;7;0;9.75;0;0;0
/mostra_adversario;20240622;8;8;0;57;0;0;0
/mostra_jogo;20240617;8;7;0;35.75;0;0;0
/mostra_jogo;20240620;8;7;0;32.375;0;0;0
/arbitro;20240622;7;6;0;89;0;0;0
/consulta_especial_jogador;20240618;7;5;0;111.85714285714286;0;0;0
/estadio;20240618;7;7;0;12.428571428571429;0;0;0
/geral;20240620;7;5;0;13.142857142857142;0;0;0
/mostra_adversario;20240620;7;7;0;38.142857142857146;0;0;0
/mostra_estadio;20240618;7;7;0;27.142857142857142;0;0;0
/mostra_tecnico;20240620;7;5;0;4.571428571428571;0;0;0
/adversario;20240622;6;6;0;21.166666666666668;0;0;0
/arbitro;20240623;6;5;0;14;0;0;0
/campeonato;20240619;6;6;0;11.333333333333334;0;0;0
/consulta_especial_jogador;20240620;6;4;0;23.333333333333332;0;0;0
/consulta_especial_jogos;20240620;6;4;0;35.5;0;0;0
/estadio;20240621;6;5;0;7.666666666666667;0;0;0
/jogo;20240623;6;5;0;13;0;0;0
/link_adversario/141;20240618;6;4;0;15.333333333333334;0;0;0
/link_jogador/2421;20240623;6;3;6;12.833333333333334;0;0;0
/mostra_jogo;20240622;6;4;0;17;0;0;0
/mostra_jogo;20240623;6;5;0;101.33333333333333;0;0;0
/tecnico;20240620;6;6;0;4.666666666666667;0;0;0
/adversario;20240623;5;5;0;33.6;0;0;0
/arbitro;20240619;5;5;0;5.8;0;0;0
/campeonato;20240621;5;5;0;45.4;0;0;0
/consulta_especial_adversario;20240620;5;4;0;8.2;0;0;0
/consulta_especial_campeonato;20240620;5;4;0;6.4;0;0;0
/consulta_especial_tecnico;20240620;5;3;0;20.6;0;0;0
/consulta_jogador/104999000;20240619;5;4;0;12.8;0;0;0
/geral;20240619;5;3;0;12.8;0;0;0
/jogo;20240621;5;5;0;33.2;0;0;0
/link_jogo/4990;20240618;5;3;3;2.6;0;0;0
/link_jogo/8734;20240618;5;3;0;3;0;0;0
/mostra_arbitro;20240622;5;3;0;98.6;0;0;0
/mostra_campeonato;20240619;5;5;0;25.4;0;0;0
/mostra_campeonato;20240621;5;5;0;55.4;0;0;0
/mostra_estadio;20240621;5;4;0;11;0;0;0
/mostra_jogo;20240618;5;5;0;89;0;0;0
/mostra_tecnico;20240621;5;5;0;84.6;0;0;0
/tecnico;20240619;5;5;0;10.6;0;0;0
/tecnico;20240622;5;5;0;6.8;0;0;0
/arbitro;20240617;4;4;2;24.5;0;0;0
/arbitro;20240618;4;3;0;7.75;0;0;0
/arbitro;20240621;4;4;0;25;0;0;0
/camisa;20240620;4;4;0;8.75;0;0;0
/campeonato;20240617;4;4;0;10;0;0;0
/campeonato;20240622;4;4;0;13;0;0;0
/consulta_especial_adversario;20240617;4;4;0;10.75;0;0;0
/consulta_especial_jogador;20240623;4;4;0;18.5;0;0;0
/consulta_especial_jogos;20240621;4;3;0;17.25;0;0;0
/consulta_especial_sequencia;20240620;4;2;0;40;0;0;0
/geral;20240623;4;3;1;8;0;0;0
/link_adversario/141;20240619;4;4;0;35.5;0;0;0
/link_jogador/2421;20240619;4;4;4;18.5;0;0;0
/link_jogo/4990;20240621;4;4;4;25;0;0;0
/mostra_arbitro;20240621;4;2;0;9.25;0;0;0
/mostra_arbitro;20240623;4;2;0;5.25;0;0;0
/mostra_especial/;20240617;4;3;0;14.5;0;0;0
/mostra_ranking/800000000000;20240619;4;4;0;16;0;0;0
/mostra_rkg/;20240618;4;2;0;110.5;0;0;0
/mostra_rkg/;20240620;4;4;0;25.25;0;0;0
/mostra_tecnico;20240619;4;4;0;35.75;0;0;0
/mostra_tecnico;20240623;4;3;0;18;0;0;0
/proximos_jogos;20240621;4;2;0;15;0;0;0
/tecnico;20240623;4;4;0;8.25;0;0;0
/campeonato;20240623;3;3;0;14;0;0;0
/consulta_especial/105103000;20240620;3;2;0;9.666666666666666;0;0;0
/consulta_especial_adversario;20240619;3;2;0;17.333333333333332;0;0;0
/consulta_especial_adversario;20240623;3;3;0;15;0;0;0
/consulta_especial_brasileiro;20240617;3;2;0;6.666666666666667;0;0;0
/consulta_especial_brasileiro;20240622;3;2;0;8.333333333333334;0;0;0
/consulta_especial_campeonato;20240622;3;3;0;13.666666666666666;0;0;0
/consulta_especial_gols;20240618;3;2;0;74.66666666666667;0;0;0
/consulta_especial_jogos;20240623;3;3;0;11.666666666666666;0;0;0
/consulta_especial_tecnico;20240617;3;3;0;10.333333333333334;0;0;0
/consulta_especial_tecnico;20240618;3;2;0;3.3333333333333335;0;0;0
/consulta_especial_tecnico;20240622;3;3;0;7;0;0;0
/consulta_jogador/104999000;20240620;3;2;0;69.66666666666667;0;0;0
/consulta_jogador/268100000;20240619;3;2;0;10;0;0;0
/consulta_ranking/290206000000;20240618;3;2;0;2;0;0;0
/consulta_ranking/800103000000;20240620;3;3;0;12.333333333333334;0;0;0
/consulta_rodada/616000000;20240621;3;1;0;0.3333333333333333;0;0;0
/estadio;20240617;3;3;0;6.666666666666667;0;0;0
/geral;20240617;3;3;0;21.333333333333332;0;0;0
/grafico;20240621;3;2;0;11;0;0;0
/grafico_jogador/184;20240621;3;2;0;39;0;0;0
/link_adversario/49;20240623;3;3;0;8.666666666666666;0;0;0
/link_campeonato/145;20240620;3;2;0;2.3333333333333335;0;0;0
/link_jogador/118;20240620;3;3;0;7.333333333333333;0;0;0
/link_jogador/2421;20240621;3;2;2;12;0;0;0
/link_jogo/2934;20240619;3;3;3;18;0;0;0
/link_jogo/2974;20240618;3;3;2;21.333333333333332;0;0;0
/link_jogo/3639;20240622;3;1;1;1.3333333333333333;0;0;0
/link_jogo/4990;20240619;3;2;2;0.3333333333333333;0;0;0
/link_jogo/8706;20240620;3;3;0;1.6666666666666667;0;0;0
/link_jogo/8734;20240619;3;3;0;4;0;0;0
/link_jogo/8780;20240619;3;2;0;7.666666666666667;0;0;0
/link_jogo/8792;20240620;3;3;0;58.666666666666664;0;0;0
/link_todos/141/100;20240618;3;2;0;86.33333333333333;0;0;0
/link_todos/49/200;20240619;3;2;2;2;0;0;0
/maiores_publicos2;20240620;3;2;0;16.666666666666668;0;0;0
/maiores_publicos_classicos;20240623;3;2;2;18.666666666666668;0;0;0
/mostra_arbitro;20240617;3;2;0;34;0;0;0
/mostra_campeonato;20240617;3;3;0;66;0;0;0
/mostra_campeonato;20240618;3;3;0;11.333333333333334;0;0;0
/mostra_campeonato;20240622;3;3;0;193;0;0;0
/mostra_campeonato;20240623;3;3;0;13;0;0;0
/mostra_detalhe_gols;20240618;3;1;0;44.333333333333336;0;0;0
/mostra_especial/;20240618;3;3;0;9.666666666666666;0;0;0
/mostra_especial/;20240620;3;2;0;12.333333333333334;0;0;0
/mostra_especial_jogo;20240620;3;2;0;362.6666666666667;0;0;0
/mostra_jogador_gols;20240619;3;2;0;19.333333333333332;0;0;0
/mostra_ranking/803000000000;20240619;3;3;0;6;0;0;0
/mostra_rkg/;20240619;3;2;0;66.66666666666667;0;0;0
/mostra_tecnico;20240622;3;3;0;18.333333333333332;0;0;0
/mostra_todos_jogador;20240619;3;2;0;34;0;0;0
/mostra_todos_jogador;20240620;3;2;0;235.66666666666666;0;0;0
/penalti_ano/363000000;20240620;3;1;0;40.333333333333336;0;0;0
/posicao_ano;20240622;3;2;0;4.333333333333333;0;0;0
/todas_camisas/400000000;20240620;3;3;0;43;0;0;0
/camisa;20240621;2;2;0;13.5;0;0;0
/campeonato;20240618;2;2;0;9.5;0;0;0
/compara_campanha/492000000;20240617;2;2;0;7;0;0;0
/consulta_camisa/400001000;20240621;2;2;0;7.5;0;0;0
/consulta_especial/105100630;20240620;2;2;0;9.5;0;0;0
/consulta_especial_adversario;20240618;2;2;0;2.5;0;0;0
/consulta_especial_adversario;20240621;2;2;0;4;0;0;0
/consulta_especial_adversario;20240622;2;2;0;42.5;0;0;0
/consulta_especial_arbitro;20240619;2;1;0;5.5;0;0;0
/consulta_especial_campeonato;20240623;2;2;0;1;0;0;0
/consulta_especial_estadio;20240617;2;2;0;19;0;0;0
/consulta_especial_gerais;20240617;2;2;0;75;0;0;0
/consulta_especial_gerais;20240619;2;2;0;10;0;0;0
/consulta_especial_gerais;20240620;2;2;0;2.5;0;0;0
/consulta_especial_jogador;20240617;2;2;0;11.5;0;0;0
/consulta_especial_jogador;20240621;2;2;0;55;0;0;0
/consulta_especial_jogador;20240622;2;2;0;6;0;0;0
/consulta_especial_jogos;20240617;2;2;0;3.5;0;0;0
/consulta_especial_presidente;20240622;2;2;0;10;0;0;0
/consulta_especial_resultados;20240620;2;2;0;150.5;0;0;0
/consulta_especial_sequencia;20240623;2;2;0;16;0;0;0
/consulta_especial_tecnico;20240621;2;2;0;29.5;0;0;0
/consulta_goleiro/508534000;20240619;2;2;0;20.5;0;0;0
/consulta_hattrick/750000000000;20240618;2;1;0;2.5;0;0;0
/consulta_jogador/268100000;20240618;2;1;0;18.5;0;0;0
/consulta_jogador/268103000;20240618;2;1;0;9;0;0;0
/consulta_jogador/268106000;20240618;2;1;0;19;0;0;0
/consulta_jogador/571571000;20240618;2;1;0;9;0;0;0
/consulta_jogo/654106000;20240618;2;2;0;10;0;0;0
/consulta_jogo/658000000;20240620;2;1;0;12.5;0;0;0
/consulta_jogo/659000000;20240619;2;2;0;44.5;0;0;0
/consulta_placar/620000000;20240620;2;2;0;251;0;0;0
/consulta_placar/680103000;20240620;2;2;0;11.5;0;0;0
/consulta_presidente/130100000;20240622;2;2;0;22;0;0;0
/consulta_ranking/293100000000;20240618;2;1;0;11.5;0;0;0
/consulta_ranking/293206000000;20240618;2;2;0;9;0;0;0
/consulta_ranking/296306000000;20240619;2;1;0;5.5;0;0;0
/consulta_ranking/800103000000;20240619;2;2;0;4.5;0;0;0
/consulta_ranking/805106000000;20240619;2;2;0;1;0;0;0
/consulta_ranking/900100000000;20240618;2;1;0;14.5;0;0;0
/consulta_ranking/900100103000;20240618;2;1;0;36.5;0;0;0
/consulta_ranking/900100103102;20240618;2;1;0;72;0;0;0
/consulta_ranking/900102000000;20240618;2;1;0;6;0;0;0
/consulta_ranking/900103000000;20240618;2;1;0;24;0;0;0
/consulta_ranking/900106000000;20240618;2;1;0;2;0;0;0
/consulta_ranking/900107000000;20240618;2;1;0;4.5;0;0;0
/consulta_ranking/900126000000;20240618;2;1;0;2;0;0;0
/consulta_rodada/616000000;20240622;2;1;0;2;0;0;0
/consulta_tempo/102528000;20240617;2;2;0;19.5;0;0;0
/consulta_tempo/104528000;20240619;2;1;0;15.5;0;0;0
/consulta_tempo/900528000;20240618;2;1;0;10.5;0;0;0
/cronologia_gols;20240618;2;1;0;28;0;0;0
/curiosidade;20240617;2;2;1;80;0;0;0
/curiosidade;20240619;2;2;0;18;0;0;0
/curiosidade;20240622;2;2;0;9.5;0;0;0
/defesa_penalti/888000000;20240618;2;1;0;3.5;0;0;0
/defesa_penalti/889000000;20240618;2;1;0;2;0;0;0
/detalhamento_gols/652000000;20240618;2;1;0;7.5;0;0;0
/detalhamento_gols/653000000;20240618;2;1;0;4;0;0;0
/detalhamento_gols/665000000000;20240618;2;1;0;2.5;0;0;0
/estadio;20240623;2;2;0;31.5;0;0;0
/estadio_todos;20240621;2;1;0;11;0;0;0
/estrangeiro_temporada;20240618;2;1;0;1;0;0;0
/evolucao_gols;20240618;2;1;0;24.5;0;0;0
/generico_adversario/500100000;20240620;2;1;0;3.5;0;0;0
/generico_adversario/610100000;20240618;2;1;0;15;0;0;0
/generico_adversario/680100000;20240617;2;1;0;4;0;0;0
/generico_adversario/680100000;20240619;2;2;0;74;0;0;0
/generico_ano/610106000;20240618;2;1;0;1.5;0;0;0
/generico_ano/638000000;20240622;2;1;0;2.5;0;0;0
/generico_ano/663000000;20240618;2;1;0;4;0;0;0
/generico_ano/821000000;20240622;2;2;0;13;0;0;0
/generico_campeonato/493000000;20240620;2;2;0;4.5;0;0;0
/generico_campeonato/500103000;20240620;2;1;0;8.5;0;0;0
/generico_campeonato/500103300;20240620;2;1;0;29.5;0;0;0
/generico_campeonato/867103143000;20240620;2;1;0;3.5;0;0;0
/generico_especial/500100103;20240620;2;1;0;18;0;0;0
/generico_especial/500102103;20240620;2;1;0;17;0;0;0
/generico_estadio/500102000;20240620;2;1;0;4;0;0;0
/generico_estadio/535102000;20240619;2;2;0;28;0;0;0
/generico_jogador/500104000;20240620;2;1;0;5;0;0;0
/generico_jogador/501000000;20240618;2;1;0;5;0;0;0
/generico_tecnico/105999000;20240620;2;2;0;5.5;0;0;0
/generico_tecnico/296875000000;20240619;2;1;0;7;0;0;0
/generico_tecnico/500105000;20240620;2;1;0;6;0;0;0
/generico_tecnico/533105000;20240620;2;2;0;4;0;0;0
/gols_rapidos/273000000;20240618;2;1;0;44.5;0;0;0
/gols_rapidos/274000000;20240618;2;1;0;7.5;0;0;0
/gols_tempo/663000000000;20240619;2;1;0;3;0;0;0
/grafico_jogador/154;20240621;2;1;0;17;0;0;0
/historico_jogonum;20240617;2;2;0;15.5;0;0;0
/historico_jogonum;20240620;2;2;0;45;0;0;0
/idades/651000000000;20240619;2;1;0;46.5;0;0;0
/idades/652000000000;20240619;2;1;0;2;0;0;0
/idades/661000000000;20240619;2;1;0;5.5;0;0;0
/idades/662000000000;20240619;2;1;0;1.5;0;0;0
/jogador_batedor/672240000000;20240619;2;1;0;7.5;0;0;0
/link_adversario/125;20240619;2;2;2;0;0;0;0
/link_adversario/143;20240620;2;2;2;0;0;0;0
/link_adversario/461;20240617;2;2;1;26.5;0;0;0
/link_adversario/461;20240620;2;2;2;12;0;0;0
/link_adversario/49;20240620;2;2;0;21.5;0;0;0
/link_adversario/49;20240621;2;1;0;0;0;0;0
/link_adversario/511;20240620;2;2;2;3.5;0;0;0
/link_adversario/62;20240622;2;2;1;11.5;0;0;0
/link_camisa/43;20240620;2;2;2;0;0;0;0
/link_camisa/47;20240620;2;2;2;0;0;0;0
/link_campeonato/282;20240622;2;2;2;52;0;0;0
/link_campeonato/421;20240618;2;2;2;51.5;0;0;0
/link_campeonato/445;20240623;2;0;2;0;0;0;0
/link_campeonato/609;20240620;2;2;2;0;0;0;0
/link_campeonato/799;20240620;2;2;2;0;0;0;0
/link_estadio/245;20240620;2;2;2;0;0;0;0
/link_estadio/55;20240623;2;2;0;3.5;0;0;0
/link_jogador/1000;20240620;2;1;0;19.5;0;0;0
/link_jogador/1015;20240620;2;1;0;13.5;0;0;0
/link_jogador/1018;20240620;2;1;0;28.5;0;0;0
/link_jogador/1019;20240620;2;1;0;32.5;0;0;0
/link_jogador/1021;20240620;2;1;0;23.5;0;0;0
/link_jogador/1026;20240620;2;1;0;33;0;0;0
/link_jogador/1027;20240620;2;1;0;10;0;0;0
/link_jogador/1028;20240620;2;1;0;15;0;0;0
/link_jogador/1086;20240621;2;1;1;0;0;0;0
/link_jogador/1133;20240620;2;2;2;0;0;0;0
/link_jogador/1135;20240620;2;2;2;0;0;0;0
/link_jogador/1153;20240620;2;2;2;0;0;0;0
/link_jogador/1165;20240620;2;2;2;0;0;0;0
/link_jogador/144;20240620;2;2;2;0;0;0;0
/link_jogador/1878;20240618;2;1;1;17.5;0;0;0
/link_jogador/2071;20240617;2;1;1;0;0;0;0
/link_jogador/2421;20240620;2;2;1;26.5;0;0;0
/link_jogador/2476;20240620;2;2;0;26;0;0;0
/link_jogador/2477;20240620;2;2;0;8;0;0;0
/link_jogador/2499;20240620;2;2;1;31.5;0;0;0
/link_jogador/379;20240620;2;2;2;0;0;0;0
/link_jogador/667;20240617;2;1;1;20;0;0;0
/link_jogador/745;20240620;2;1;0;37.5;0;0;0
/link_jogador/885;20240620;2;2;2;0;0;0;0
/link_jogador/956;20240620;2;2;2;0;0;0;0
/link_jogador/989;20240620;2;1;0;21.5;0;0;0
/link_jogador/995;20240620;2;1;0;25;0;0;0
/link_jogo/1971;20240622;2;1;0;1;0;0;0
/link_jogo/1972;20240622;2;1;0;1.5;0;0;0
/link_jogo/1976;20240622;2;1;0;0;0;0;0
/link_jogo/1983;20240623;2;1;0;17;0;0;0
/link_jogo/2762;20240618;2;1;0;10.5;0;0;0
/link_jogo/3039;20240621;2;2;2;26;0;0;0
