# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231204
# Data de termino: 20231210
Grupo de canais padrao do primeiro usuario;Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20231210;116;103;0.673202614379085;0.7984496124031008;61.713178294573645;1761;0;0
Organic Search;20231209;84;72;0.6792452830188679;0.7741935483870968;60.204301075268816;863;0;0
Organic Search;20231207;48;46;0.6865671641791045;0.8363636363636363;89.81818181818181;1042;0;0
Organic Search;20231205;46;50;0.7352941176470589;0.8771929824561403;70.28070175438596;962;0;0
Organic Search;20231206;43;41;0.7192982456140351;0.8367346938775511;35.326530612244895;452;0;0
Direct;20231210;40;80;0.7017543859649122;1.0389610389610389;177.42857142857142;2414;0;0
Organic Search;20231204;40;39;0.7090909090909091;0.7959183673469388;81.93877551020408;656;0;0
Organic Search;20231208;39;41;0.6833333333333333;0.8367346938775511;99.28571428571429;942;0;0
Direct;20231209;19;37;0.8409090909090909;1.0571428571428572;250.5142857142857;1542;0;0
Direct;20231205;16;64;0.7710843373493976;1.103448275862069;173.05172413793105;2457;0;0
Direct;20231204;15;39;0.6964285714285714;1;160.97435897435898;1325;0;0
Direct;20231207;14;56;0.6829268292682927;1.12;210.96;2830;0;0
Direct;20231208;14;42;0.6461538461538462;0.9767441860465116;284.5813953488372;2344;0;0
Direct;20231206;13;57;0.6404494382022472;1.14;237.2;2426;0;0
Referral;20231205;3;3;1;1;37.333333333333336;33;0;0
Organic Social;20231210;2;2;1;1;39;19;0;0
Referral;20231208;2;3;1;1;71;52;0;0
Referral;20231207;1;1;1;1;0;4;0;0
