# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231127
# Data de termino: 20231203
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
Estatisticas Fluminense - Principal;2023112920;17;17;7;4.529411764705882;0;0
Estatisticas Fluminense - Principal;2023112921;14;13;2;2.5;0;0
Estatisticas Fluminense - Principal;2023120117;12;11;7;11;0;0
Estatisticas Fluminense - Principal;2023120318;11;10;3;2.3636363636363638;0;0
Estatisticas Fluminense - Principal;2023112918;10;10;3;5.3;0;0
Fluminense x Santos-SP;2023112921;10;10;0;31.2;0;0
Adversarios;2023112921;9;9;0;14.333333333333334;0;0
Estatisticas Fluminense - Principal;2023112713;9;8;3;4.777777777777778;0;0
Estatisticas Fluminense - Principal;2023112714;9;9;4;12;0;0
Estatisticas Fluminense - Principal;2023112923;9;9;2;16.555555555555557;0;0
Estatisticas Fluminense - Principal;2023120316;9;9;2;4.777777777777778;0;0
Adversarios;2023112914;8;8;0;59.75;0;0
Estatisticas Fluminense - Principal;2023112914;8;8;4;11.5;0;0
Estatisticas Fluminense - Principal;2023112919;8;8;3;8.625;0;0
Estatisticas Fluminense - Principal;2023112922;8;8;2;7;0;0
Estatisticas Fluminense - Principal;2023113014;8;7;2;2.375;0;0
Estatisticas Fluminense - Principal;2023120315;8;8;3;5.125;0;0
Estatisticas Fluminense - Principal;2023120317;8;8;1;2.75;0;0
Fluminense x Santos-SP;2023112920;8;7;0;22.875;0;0
Adversarios;2023112918;7;7;0;19.142857142857142;0;0
Adversarios;2023112920;7;7;0;15.857142857142858;0;0
Estatisticas Fluminense - Principal;2023112710;7;7;0;12.285714285714286;0;0
Estatisticas Fluminense - Principal;2023112813;7;7;3;12.285714285714286;0;0
Estatisticas Fluminense - Principal;2023112816;7;7;2;3.5714285714285716;0;0
Estatisticas Fluminense - Principal;2023112916;7;7;2;2.7142857142857144;0;0
Estatisticas Fluminense - Principal;2023120115;7;7;1;3.857142857142857;0;0
Estatisticas Fluminense - Principal;2023120215;7;7;1;5.714285714285714;0;0
Estatisticas Fluminense - Principal;2023120314;7;7;2;3.4285714285714284;0;0
