# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240304
# Data de termino: 20240310
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240309;60;52;0.6933333333333334;0.7878787878787878;74.28787878787878;718;0;0
Organic Search;20240307;41;40;0.6896551724137931;0.8;139.76;652;0;0
Organic Search;20240304;40;55;0.7638888888888888;0.9821428571428571;197.875;3095;0;0
Organic Search;20240306;33;42;0.7924528301886793;0.9545454545454546;284.9318181818182;1081;0;0
Organic Search;20240305;29;33;0.7674418604651163;0.8918918918918919;205.56756756756758;693;0;0
Organic Search;20240310;28;32;0.7441860465116279;0.8205128205128205;105.1025641025641;374;0;0
Direct;20240309;25;55;0.6962025316455697;1.0377358490566038;201.24528301886792;1765;0;0
Organic Search;20240308;25;31;0.7380952380952381;0.9117647058823529;108.70588235294117;935;0;0
Direct;20240306;16;46;0.7931034482758621;1.1794871794871795;174.33333333333334;1240;0;0
Direct;20240305;13;30;0.6122448979591837;0.9375;217.40625;1109;0;0
Direct;20240304;12;59;0.8428571428571429;1.3111111111111111;221.2;2715;0;0
Direct;20240307;12;43;0.7413793103448276;1.1025641025641026;150.02564102564102;1426;0;0
Direct;20240308;12;37;0.7254901960784313;1.15625;228.375;1486;0;0
Direct;20240310;10;41;0.82;1.3666666666666667;193.7;1412;0;0
Organic Social;20240305;3;1;0.3333333333333333;0.3333333333333333;6;12;0;0
Organic Social;20240307;2;1;0.5;0.5;9;12;0;0
Organic Social;20240309;2;1;0.5;0.5;27.5;13;0;0
Referral;20240309;2;3;0.6;1;53;40;0;0
Organic Social;20240304;1;1;1;1;54;18;0;0
Organic Social;20240306;1;1;1;1;91;5;0;0
Referral;20240304;1;1;1;1;213;24;0;0
Referral;20240305;1;1;1;1;13;5;0;0
Referral;20240306;1;1;1;1;79;5;0;0
Referral;20240307;1;1;1;1;64;12;0;0
