# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240325
# Data de termino: 20240331
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240327;40;57;0.8507462686567164;1;162.10526315789474;1262;0;0
Organic Search;20240329;40;51;0.8225806451612904;1;218.80392156862746;1258;0;0
Organic Search;20240328;33;46;0.8518518518518519;0.9787234042553191;149.04255319148936;1287;0;0
Organic Search;20240331;31;39;0.8125;0.9069767441860465;158.34883720930233;902;0;0
Organic Search;20240330;30;38;0.6909090909090909;0.8837209302325582;264.16279069767444;1363;0;0
Organic Search;20240325;25;34;0.7906976744186046;0.9444444444444444;158.27777777777777;691;0;0
Organic Search;20240326;21;24;0.7272727272727273;0.8571428571428571;202.60714285714286;492;0;0
Direct;20240328;15;48;0.7868852459016393;1.3333333333333333;170.02777777777777;1291;0;0
Direct;20240330;12;26;0.6190476190476191;0.896551724137931;172.82758620689654;968;0;0
Direct;20240327;11;35;0.6862745098039216;1.1290322580645162;193.61290322580646;1313;0;0
Direct;20240331;10;37;0.74;1.2333333333333334;227.3;1554;0;0
Direct;20240329;9;35;0.660377358490566;1.25;429;1618;0;0
Direct;20240325;8;26;0.6190476190476191;1.1818181818181819;147.4090909090909;706;0;0
Direct;20240326;6;25;0.7142857142857143;0.9615384615384616;219.23076923076923;1100;0;0
Referral;20240331;5;3;0.6;0.6;49.4;28;0;0
Referral;20240329;2;1;0.5;0.5;11;9;0;0
Referral;20240330;2;2;0.6666666666666666;0.6666666666666666;38.666666666666664;25;0;0
Organic Social;20240329;1;0;0;0;1;4;0;0
Referral;20240328;1;1;1;1;616;31;0;0
Referral;20240325;0;1;0.5;1;9;8;0;0
