# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240624
# Data de termino: 20240630
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total;Taxa de eventos principais do usuario
Direct;20240624;85;99;0.6346153846153846;0.8839285714285714;88.54464285714286;1729;0;0;0
Organic Search;20240627;65;69;0.71875;0.8117647058823529;81.62352941176471;936;0;0;0
Organic Search;20240624;50;65;0.8227848101265823;1;195.26153846153846;2057;0;0;0
Organic Search;20240630;41;41;0.6833333333333333;0.8367346938775511;83.83673469387755;512;0;0;0
Organic Search;20240625;40;44;0.6567164179104478;0.7857142857142857;234.60714285714286;3313;0;0;0
Organic Search;20240629;37;40;0.6451612903225806;0.851063829787234;166.08510638297872;780;0;0;0
Organic Search;20240626;33;37;0.7708333333333334;0.9024390243902439;154.53658536585365;774;0;0;0
Organic Search;20240628;28;34;0.723404255319149;0.85;106.65;540;0;0;0
Direct;20240625;18;53;0.7066666666666667;1.1777777777777778;278.84444444444443;1992;0;0;0
Direct;20240626;14;35;0.660377358490566;0.9459459459459459;171.6216216216216;1565;0;0;0
Direct;20240627;11;45;0.6521739130434783;1;130.93333333333334;1037;0;0;0
Direct;20240628;11;32;0.6153846153846154;1.0666666666666667;119.03333333333333;736;0;0;0
Direct;20240629;11;41;0.6612903225806451;1.3225806451612903;201.29032258064515;891;0;0;0
Direct;20240630;11;41;0.7454545454545455;1.0789473684210527;168.44736842105263;1002;0;0;0
Referral;20240624;2;2;1;1;177.5;41;0;0;0
Referral;20240630;2;2;0.6666666666666666;0.6666666666666666;42.666666666666664;27;0;0;0
Referral;20240627;1;2;1;1;108.5;59;0;0;0
Organic Social;20240624;0;3;0.75;3;204;53;0;0;0
Organic Social;20240625;0;3;0.75;3;449;118;0;0;0
Organic Social;20240626;0;0;0;0;26;10;0;0;0
Organic Social;20240630;0;4;1;4;798;263;0;0;0
