# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240617
# Data de termino: 20240623
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total;Taxa de eventos principais do usuario
Direct;20240620;44;48;0.5454545454545454;0.7619047619047619;197.46031746031747;3470;0;0;0
Organic Search;20240623;42;6;0.1111111111111111;0.17647058823529413;108.55882352941177;614;0;0;0
Organic Search;20240619;35;38;0.6551724137931034;0.76;102.78;859;0;0;0
Organic Search;20240621;34;34;0.7555555555555555;0.8717948717948718;76.05128205128206;368;0;0;0
Organic Search;20240618;32;48;0.8135593220338984;1.0909090909090908;100.5;632;0;0;0
Organic Search;20240617;26;29;0.6444444444444445;0.7837837837837838;108;442;0;0;0
Organic Search;20240622;26;32;0.6808510638297872;0.8;97.475;535;0;0;0
Organic Search;20240620;25;27;0.6585365853658537;0.8709677419354839;125.83870967741936;744;0;0;0
Direct;20240623;13;6;0.10526315789473684;0.1875;78.21875;510;0;0;0
Direct;20240621;12;43;0.7166666666666667;1.131578947368421;158.02631578947367;1625;0;0;0
Direct;20240619;11;51;0.7083333333333334;1.1590909090909092;258.95454545454544;2815;0;0;0
Direct;20240617;9;36;0.7346938775510204;1.125;166.78125;1539;0;0;0
Direct;20240618;6;37;0.7708333333333334;1.3214285714285714;234.64285714285714;2346;0;0;0
Direct;20240622;6;30;0.6521739130434783;1.2;192.2;955;0;0;0
Organic Social;20240619;1;0;0;0;0;3;0;0;0
Referral;20240617;1;1;1;1;282;33;0;0;0
Referral;20240620;1;1;1;1;21;5;0;0;0
Referral;20240621;1;1;0.5;0.5;5.5;6;0;0;0
Referral;20240622;1;1;1;1;15;5;0;0;0
Organic Social;20240621;0;1;1;1;100;15;0;0;0
Organic Social;20240622;0;3;0.75;3;69;30;0;0;0
Organic Social;20240623;0;0;0;0;133;39;0;0;0
Unassigned;20240623;0;0;0;0;27.555555555555557;81;0;0;0
