# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240318
# Data de termino: 20240324
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
Estatisticas Fluminense - Principal;2024031821;25;25;10;16.12;0;0
Adversarios;2024031821;24;24;0;49.5;0;0
Fluminense x Cerro Portenho-Paraguai;2024031821;18;18;0;33.44444444444444;0;0
Fluminense x Colo Colo-Chile;2024031821;15;15;0;20.866666666666667;0;0
Adversarios;2024031822;13;13;0;36.23076923076923;0;0
Fluminense x Alianza de Lima-Peru;2024031821;12;12;0;46.416666666666664;0;0
Estatisticas Fluminense - Principal;2024031822;11;11;2;5.363636363636363;0;0
Estatisticas Fluminense - Principal;2024031823;11;11;3;9.727272727272727;0;0
Fluminense x Cerro Portenho-Paraguai;2024031822;11;11;0;14.181818181818182;0;0
Adversarios;2024031823;10;10;0;56;0;0
Estatisticas Fluminense - Principal;2024031910;9;9;3;66.44444444444444;0;0
Estatisticas Fluminense - Principal;2024031913;9;9;5;11.444444444444445;0;0
Estatisticas Fluminense - Principal;2024032015;9;9;3;22.11111111111111;0;0
Fluminense x Alianza de Lima-Peru;2024031822;9;9;0;17.555555555555557;0;0
Fluminense x Alianza de Lima-Peru;2024031823;9;9;0;41.666666666666664;0;0
Estatisticas Fluminense - Principal;2024031909;8;7;4;26.625;0;0
Estatisticas Fluminense - Principal;2024032016;7;7;1;117.42857142857143;0;0
Fluminense x Colo Colo-Chile;2024031822;7;7;0;37.57142857142857;0;0
Adversarios;2024031910;6;6;0;28.5;0;0
Adversarios;2024031913;6;6;0;45;0;0
Adversarios;2024031917;6;5;0;13.666666666666666;0;0
Estatisticas Fluminense - Principal;2024031912;6;6;1;16.666666666666668;0;0
Estatisticas Fluminense - Principal;2024031917;6;6;3;19.5;0;0
Estatisticas Fluminense - Principal;2024031921;6;6;1;23.666666666666668;0;0
Estatisticas Fluminense - Principal;2024032001;6;6;4;22.833333333333332;0;0
Estatisticas Fluminense - Principal;2024032009;6;6;1;26.666666666666668;0;0
Estatisticas Fluminense - Principal;2024032213;6;6;3;13.5;0;0
Fluminense x Alianza Atletico-Peru;2024031821;6;6;6;14.333333333333334;0;0
Fluminense x Cerro Portenho-Paraguai;2024031823;6;6;0;21.5;0;0
Fluminense x Colo Colo-Chile;2024031823;6;6;0;21.833333333333332;0;0
Adversarios;2024031911;5;5;0;304.6;0;0
Adversarios;2024032016;5;5;0;107.2;0;0
Especiais Adversarios;2024031821;5;5;0;36.4;0;0
Estatisticas Fluminense - Principal;2024031814;5;5;3;11.6;0;0
Estatisticas Fluminense - Principal;2024031815;5;5;1;9.6;0;0
Estatisticas Fluminense - Principal;2024031907;5;5;4;66.8;0;0
Estatisticas Fluminense - Principal;2024031911;5;4;0;35.4;0;0
Estatisticas Fluminense - Principal;2024031915;5;5;0;19.4;0;0
Estatisticas Fluminense - Principal;2024031919;5;4;1;7.6;0;0
Estatisticas Fluminense - Principal;2024031920;5;5;1;88.2;0;0
Estatisticas Fluminense - Principal;2024032014;5;5;1;17.8;0;0
Estatisticas Fluminense - Principal;2024032021;5;5;2;17.2;0;0
Estatisticas Fluminense - Principal;2024032116;5;5;1;160.2;0;0
Estatisticas Fluminense - Principal;2024032421;5;5;1;27;0;0
Fluminense x Alianza de Lima-Peru;2024031913;5;5;0;24.2;0;0
Adversarios;2024032011;4;4;0;27.75;0;0
Adversarios;2024032015;4;4;0;67;0;0
Adversarios Chile;2024031821;4;4;0;8.75;0;0
Adversarios Peru;2024031821;4;4;0;4.25;0;0
Campeonatos;2024032016;4;4;0;8.25;0;0
Estatisticas Fluminense - Principal;2024031816;4;4;0;5;0;0
Estatisticas Fluminense - Principal;2024031818;4;4;1;12.5;0;0
Estatisticas Fluminense - Principal;2024031820;4;4;3;63;0;0
Estatisticas Fluminense - Principal;2024031906;4;4;1;53.5;0;0
Estatisticas Fluminense - Principal;2024031914;4;4;3;9.75;0;0
Estatisticas Fluminense - Principal;2024031916;4;4;1;31.75;0;0
Estatisticas Fluminense - Principal;2024031918;4;4;1;23;0;0
Estatisticas Fluminense - Principal;2024032008;4;4;1;9.75;0;0
Estatisticas Fluminense - Principal;2024032011;4;4;1;25.75;0;0
Estatisticas Fluminense - Principal;2024032109;4;4;1;15.5;0;0
Estatisticas Fluminense - Principal;2024032112;4;4;1;17.75;0;0
Estatisticas Fluminense - Principal;2024032209;4;4;1;16;0;0
Estatisticas Fluminense - Principal;2024032211;4;4;0;4.75;0;0
Estatisticas Fluminense - Principal;2024032214;4;4;1;9.5;0;0
Estatisticas Fluminense - Principal;2024032215;4;4;1;17.5;0;0
Estatisticas Fluminense - Principal;2024032218;4;4;1;69.5;0;0
Estatisticas Fluminense - Principal;2024032311;4;4;1;26.25;0;0
Estatisticas Fluminense - Principal;2024032313;4;4;1;16.5;0;0
Estatisticas Fluminense - Principal;2024032315;4;3;2;35.75;0;0
Estatisticas Fluminense - Principal;2024032316;4;4;0;5;0;0
Fluminense x Alianza Atletico-Peru;2024031823;4;4;1;8.5;0;0
Fluminense x Alianza Lima-Peru;2024032016;4;4;0;25;0;0
Fluminense x Alianza de Lima-Peru;2024031900;4;4;0;58.25;0;0
Fluminense x Alianza de Lima-Peru;2024031910;4;3;0;28.25;0;0
Fluminense x Cerro Portenho-Paraguai;2024031904;4;4;0;34;0;0
Jogador;2024031913;4;4;0;39.5;0;0
Jogo;2024032009;4;4;0;43;0;0
Lista de Adversario do mesmo pais;2024031821;4;4;0;15.25;0;0
Adversarios;2024031812;3;3;0;46.333333333333336;0;0
Adversarios;2024031818;3;3;1;30.333333333333332;0;0
Adversarios;2024031900;3;3;0;71;0;0
Adversarios;2024031906;3;3;0;35.333333333333336;0;0
Adversarios;2024031909;3;3;0;41.666666666666664;0;0
Adversarios;2024031912;3;3;0;71;0;0
Adversarios;2024031914;3;3;1;14;0;0
Adversarios;2024031916;3;3;0;24.666666666666668;0;0
Adversarios;2024032009;3;3;0;10;0;0
Adversarios;2024032014;3;3;0;9;0;0
Camisa;2024031917;3;3;0;11.666666666666666;0;0
Camisa;2024032213;3;3;0;3.6666666666666665;0;0
Campeonatos;2024031907;3;3;0;23;0;0
Estatisticas Fluminense - Principal;2024031811;3;3;1;4;0;0
Estatisticas Fluminense - Principal;2024031817;3;3;2;11.333333333333334;0;0
Estatisticas Fluminense - Principal;2024031904;3;2;0;31.666666666666668;0;0
Estatisticas Fluminense - Principal;2024031922;3;2;1;22.333333333333332;0;0
Estatisticas Fluminense - Principal;2024032000;3;3;2;19.666666666666668;0;0
Estatisticas Fluminense - Principal;2024032007;3;3;2;32.333333333333336;0;0
Estatisticas Fluminense - Principal;2024032013;3;2;1;24.333333333333332;0;0
Estatisticas Fluminense - Principal;2024032017;3;3;0;26;0;0
Estatisticas Fluminense - Principal;2024032020;3;3;2;7;0;0
