# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240708
# Data de termino: 20240714
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
/jogador;20240714;11;10;0;136.9090909090909;0;0;0
/tecnico;20240712;5;2;0;108.6;0;0;0
/jogador;20240713;17;14;1;82.88235294117646;0;0;0
/adversario;20240714;5;5;0;58.2;0;0;0
/jogador;20240710;11;11;1;46.27272727272727;0;0;0
/adversario;20240709;3;3;0;40.333333333333336;0;0;0
/estadio;20240709;3;3;0;28.333333333333332;0;0;0
/jogador;20240711;26;19;0;24.73076923076923;0;0;0
/jogador;20240712;31;22;3;22.967741935483872;0;0;0
/estadio;20240714;1;1;0;22;0;0;0
/adversario;20240711;7;6;0;19.857142857142858;0;0;0
/jogador;20240709;27;22;0;18.85185185185185;0;0;0
/jogador;20240708;22;13;0;18.545454545454547;0;0;0
/campeonato;20240709;5;5;0;18.4;0;0;0
/tecnico;20240708;3;3;0;18.333333333333332;0;0;0
/arbitro;20240710;5;5;0;16.8;0;0;0
/tecnico;20240714;1;1;0;15;0;0;0
/campeonato;20240710;8;5;0;14.875;0;0;0
/campeonato;20240708;8;7;0;14.75;0;0;0
/campeonato;20240714;1;1;0;14;0;0;0
/campeonato;20240713;2;2;0;13;0;0;0
/adversario;20240708;9;9;0;12.333333333333334;0;0;0
/arbitro;20240709;7;7;0;11.714285714285714;0;0;0
/arbitro;20240714;2;2;0;11;0;0;0
/adversario;20240710;5;5;0;9.6;0;0;0
/arbitro;20240712;2;2;0;9.5;0;0;0
/adversario;20240713;3;3;0;8.333333333333334;0;0;0
/arbitro;20240708;2;2;0;7.5;0;0;0
/arbitro;20240713;1;1;0;7;0;0;0
/estadio;20240711;5;5;0;5.8;0;0;0
/campeonato;20240711;7;7;0;5.714285714285714;0;0;0
/estadio;20240708;2;2;0;5.5;0;0;0
/arbitro;20240711;3;3;0;5;0;0;0
/tecnico;20240710;1;1;0;5;0;0;0
/estadio;20240710;1;1;0;4;0;0;0
/tecnico;20240711;1;1;0;4;0;0;0
/adversario;20240712;6;3;0;3;0;0;0
/tecnico;20240709;3;3;0;2.3333333333333335;0;0;0
