# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240212
# Data de termino: 20240218
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240217;50;53;0.7162162162162162;0.8548387096774194;73.75806451612904;641;0;0
Organic Search;20240214;47;52;0.7027027027027027;0.8125;105.4375;854;0;0
Organic Search;20240215;33;38;0.7169811320754716;0.9047619047619048;125.9047619047619;716;0;0
Organic Search;20240216;29;35;0.7608695652173914;0.9722222222222222;329.8888888888889;660;0;0
Organic Search;20240218;28;40;0.8163265306122449;1.0256410256410255;243.92307692307693;1035;0;0
Organic Search;20240213;24;37;0.7872340425531915;1.0277777777777777;131.19444444444446;711;0;0
Direct;20240218;16;35;0.7;1;181.62857142857143;1257;0;0
Direct;20240214;15;39;0.7647058823529411;1;94.82051282051282;736;0;0
Direct;20240215;13;44;0.7457627118644068;1.0731707317073171;264.0487804878049;1565;0;0
Direct;20240217;12;44;0.7857142857142857;1.1891891891891893;241.48648648648648;1379;0;0
Organic Search;20240212;12;17;0.7391304347826086;0.9444444444444444;98.5;214;0;0
Direct;20240216;10;41;0.6949152542372882;1.2424242424242424;278.3333333333333;1406;0;0
Organic Social;20240216;9;6;0.6666666666666666;0.6666666666666666;42.44444444444444;62;0;0
Direct;20240212;7;29;0.6904761904761905;1.16;226.2;609;0;0
Direct;20240213;6;32;0.7111111111111111;1.28;285;724;0;0
Organic Social;20240217;1;1;1;1;25;7;0;0
Organic Social;20240218;1;2;0.6666666666666666;1;180.5;56;0;0
Referral;20240214;1;4;1;1.3333333333333333;137;61;0;0
Referral;20240215;1;4;0.6666666666666666;2;6509;280;0;0
Referral;20240216;1;2;1;1;126;164;0;0
Referral;20240213;0;1;1;1;27;10;0;0
