# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240205
# Data de termino: 20240211
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240208;31;38;0.8260869565217391;0.926829268292683;83.5609756097561;697;0;0
Organic Search;20240207;30;42;0.75;0.9333333333333333;143.06666666666666;968;0;0
Organic Search;20240209;28;41;0.803921568627451;0.9318181818181818;107.25;840;0;0
Organic Search;20240205;24;30;0.7142857142857143;0.9090909090909091;130.72727272727272;573;0;0
Organic Search;20240206;24;34;0.7391304347826086;0.8947368421052632;109.42105263157895;664;0;0
Direct;20240208;16;57;0.7808219178082192;1.2954545454545454;248.5681818181818;2503;0;0
Direct;20240207;15;51;0.7611940298507462;1.2439024390243902;192.29268292682926;1218;0;0
Organic Search;20240210;15;24;0.7058823529411765;1;124.125;480;0;0
Organic Search;20240211;15;18;0.6;0.8181818181818182;216.8181818181818;606;0;0
Direct;20240205;14;43;0.671875;1.1025641025641026;269.28205128205127;1369;0;0
Direct;20240210;12;47;0.6811594202898551;1.2702702702702702;137.0810810810811;898;0;0
Direct;20240206;10;52;0.7647058823529411;1.3;229.5;1658;0;0
Direct;20240209;10;64;0.7529411764705882;1.3333333333333333;263.1458333333333;2081;0;0
Direct;20240211;4;31;0.5849056603773585;1.24;117.72;597;0;0
Organic Social;20240205;3;3;1;1;229.66666666666666;77;0;0
Referral;20240210;3;3;1;1;70;31;0;0
Organic Social;20240207;2;2;1;1;74;17;0;0
Organic Social;20240208;1;1;1;1;95;7;0;0
Organic Social;20240211;1;1;1;1;37;8;0;0
Referral;20240206;1;1;0.5;1;40;8;0;0
Referral;20240207;1;0;0;0;0;3;0;0
Organic Social;20240209;0;1;1;1;57;12;0;0
Referral;20240208;0;2;0.6666666666666666;1;714;125;0;0
Referral;20240209;0;2;1;1;132;39;0;0
