# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240311
# Data de termino: 20240317
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240317;52;45;0.7258064516129032;0.8333333333333334;132.85185185185185;456;0;0
Organic Search;20240316;40;35;0.7142857142857143;0.7954545454545454;120.27272727272727;610;0;0
Organic Search;20240314;37;41;0.803921568627451;0.8541666666666666;111.08333333333333;1129;0;0
Organic Search;20240313;32;42;0.875;1;155.21428571428572;1362;0;0
Organic Search;20240311;31;31;0.6888888888888889;0.8157894736842105;136.97368421052633;759;0;0
Organic Search;20240315;30;30;0.6818181818181818;0.7894736842105263;67.55263157894737;530;0;0
Organic Search;20240312;22;29;0.8055555555555556;0.9354838709677419;152.2258064516129;1051;0;0
Direct;20240314;13;38;0.7916666666666666;1.1875;245.125;1693;0;0
Direct;20240312;12;34;0.68;1.096774193548387;160.1290322580645;955;0;0
Direct;20240316;11;27;0.6585365853658537;1;256.962962962963;1857;0;0
Direct;20240317;11;30;0.6818181818181818;1.0344827586206897;133.55172413793105;682;0;0
Direct;20240311;10;34;0.6538461538461539;1.2592592592592593;202.37037037037038;1077;0;0
Direct;20240313;8;26;0.6666666666666666;1.0833333333333333;95.70833333333333;704;0;0
Direct;20240315;8;34;0.7555555555555555;1.0625;179.15625;991;0;0
Organic Social;20240314;2;3;0.75;1.5;89.5;28;0;0
Organic Social;20240311;1;0;0;0;0;4;0;0
Organic Social;20240313;1;0;0;0;0;4;0;0
Referral;20240315;1;1;1;1;12;5;0;0
Referral;20240317;1;1;1;1;55;11;0;0
Referral;20240313;0;1;1;1;11;9;0;0
Referral;20240316;0;1;1;1;550;58;0;0
