# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240415
# Data de termino: 20240421
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240420;70;72;0.7346938775510204;0.8470588235294118;125.69411764705882;1170;0;0
Organic Search;20240416;62;73;0.8111111111111111;0.9605263157894737;127.22368421052632;1171;0;0
Organic Search;20240419;46;54;0.7397260273972602;0.9310344827586207;127.10344827586206;1009;0;0
Organic Search;20240421;43;57;0.7125;1.0363636363636364;211.87272727272727;2135;0;0
Organic Search;20240417;42;51;0.7727272727272727;0.9107142857142857;114.07142857142857;682;0;0
Organic Search;20240418;38;46;0.7796610169491526;1;103.15217391304348;517;0;0
Organic Search;20240415;33;38;0.7755102040816326;0.8444444444444444;190.77777777777777;1086;0;0
Direct;20240417;21;51;0.7183098591549296;0.9622641509433962;127.13207547169812;1103;0;0
Direct;20240416;19;41;0.5942028985507246;0.9761904761904762;186.57142857142858;1005;0;0
Direct;20240419;19;57;0.76;1.1176470588235294;212.31372549019608;1566;0;0
Direct;20240420;14;56;0.7777777777777778;1.12;151.52;1271;0;0
Direct;20240421;14;52;0.7027027027027027;1.2682926829268293;430.2439024390244;2190;0;0
Direct;20240415;12;43;0.6825396825396826;0.9772727272727273;188.38636363636363;1675;0;0
Direct;20240418;12;37;0.6851851851851852;1;201.40540540540542;1086;0;0
Referral;20240416;2;3;0.75;1.5;56;33;0;0
Organic Social;20240415;1;1;1;1;57;16;0;0
Organic Social;20240416;1;1;0.3333333333333333;0.5;84.5;34;0;0
Referral;20240421;1;0;0;0;2;4;0;0
Organic Social;20240418;0;2;0.6666666666666666;2;142;24;0;0
Organic Social;20240421;0;2;1;2;513;189;0;0
Referral;20240418;0;1;1;1;546;163;0;0
Referral;20240419;0;1;1;1;109;4;0;0
