# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240109
# Data de termino: 20240121
Grupo de canais padrao do primeiro usuario;Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240109;84;75;0.75;0.7894736842105263;63.28421052631579;763;0;0
Organic Search;20240121;58;64;0.8;0.9014084507042254;119.38028169014085;1294;0;0
Organic Search;20240111;52;57;0.8028169014084507;0.890625;61.453125;644;0;0
Organic Search;20240118;51;49;0.6805555555555556;0.7777777777777778;89.6984126984127;1222;0;0
Organic Search;20240110;46;55;0.7333333333333333;0.9482758620689655;134.89655172413794;871;0;0
Organic Search;20240113;40;41;0.7735849056603774;0.8723404255319149;41.46808510638298;343;0;0
Direct;20240121;39;81;0.7297297297297297;1.08;148.42666666666668;2274;0;0
Organic Search;20240112;39;37;0.6379310344827587;0.8604651162790697;104.53488372093024;580;0;0
Organic Search;20240116;39;45;0.75;0.9183673469387755;71.87755102040816;570;0;0
Organic Search;20240117;39;37;0.6727272727272727;0.8043478260869565;130.52173913043478;757;0;0
Organic Search;20240120;37;41;0.7454545454545455;0.803921568627451;49.411764705882355;477;0;0
Organic Social;20240121;35;16;0.4444444444444444;0.45714285714285713;107.8;892;0;0
Organic Search;20240119;34;34;0.7083333333333334;0.7727272727272727;109.1590909090909;735;0;0
Organic Search;20240114;32;31;0.6888888888888889;0.8157894736842105;107.92105263157895;661;0;0
Organic Search;20240115;32;34;0.7906976744186046;0.8717948717948718;68.33333333333333;452;0;0
Organic Social;20240120;21;12;0.5714285714285714;0.5714285714285714;166.04761904761904;626;0;0
Direct;20240118;20;61;0.7439024390243902;1.150943396226415;139.9811320754717;2491;0;0
Direct;20240113;16;53;0.7464788732394366;1.394736842105263;280.60526315789474;1642;0;0
Direct;20240117;15;46;0.7419354838709677;1.0952380952380953;256.35714285714283;2990;0;0
Direct;20240116;14;45;0.7142857142857143;1.0714285714285714;267.4761904761905;2047;0;0
Direct;20240111;13;52;0.7536231884057971;1.4054054054054055;195.24324324324326;1579;0;0
Direct;20240109;12;37;0.7254901960784313;1.0277777777777777;144.63888888888889;1063;0;0
Direct;20240110;12;39;0.6842105263157895;1.1818181818181819;208.9090909090909;1265;0;0
Direct;20240119;12;53;0.7162162162162162;1.2045454545454546;161.77272727272728;1957;0;0
Direct;20240120;12;52;0.7323943661971831;1.2682926829268293;197.6341463414634;1635;0;0
Direct;20240114;9;46;0.7796610169491526;1.4838709677419355;143.48387096774192;1075;0;0
Direct;20240115;9;30;0.6976744186046512;1.1111111111111112;183.59259259259258;1020;0;0
Direct;20240112;8;39;0.7358490566037735;1.1142857142857143;314.6857142857143;2555;0;0
Organic Social;20240118;4;0;0;0;0;16;0;0
Referral;20240110;2;6;0.8571428571428571;2;5567.333333333333;846;0;0
Referral;20240115;2;4;0.8;1.3333333333333333;6025.666666666667;731;0;0
Referral;20240117;2;4;0.8;1;1958;203;0;0
Referral;20240118;2;2;0.6666666666666666;0.6666666666666666;2322.6666666666665;209;0;0
Referral;20240120;2;3;0.75;1;1137.3333333333333;98;0;0
Organic Social;20240110;1;1;1;1;36;21;0;0
Organic Social;20240116;1;0;0;0;0;3;0;0
Referral;20240109;1;5;1;2.5;9373.5;1072;0;0
Referral;20240114;1;4;0.8;1.3333333333333333;8810.666666666666;1664;0;0
Referral;20240119;1;2;0.6666666666666666;0.6666666666666666;800.6666666666666;76;0;0
Referral;20240121;1;7;1;2.3333333333333335;11329;1464;0;0
Organic Social;20240111;0;0;0;0;0;2;0;0
Referral;20240111;0;5;1;5;33081;2258;0;0
Referral;20240112;0;2;1;2;94;17;0;0
Referral;20240113;0;3;1;1.5;8482;1727;0;0
Referral;20240116;0;4;1;2;13977;615;0;0
