# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231218
# Data de termino: 20231231
Grupo de canais padrao do primeiro usuario;Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20231222;210;128;0.5565217391304348;0.5898617511520737;39.71889400921659;1733;0;0
Organic Search;20231218;90;79;0.6991150442477876;0.79;121.97;2024;0;0
Organic Search;20231221;57;56;0.7671232876712328;0.8;52.871428571428574;862;0;0
Organic Search;20231223;51;41;0.5616438356164384;0.6612903225806451;60.08064516129032;728;0;0
Organic Search;20231219;45;43;0.6515151515151515;0.7413793103448276;102.41379310344827;850;0;0
Organic Search;20231224;42;38;0.6909090909090909;0.7755102040816326;62.53061224489796;841;0;0
Organic Search;20231228;42;43;0.6515151515151515;0.8113207547169812;62.9622641509434;492;0;0
Organic Search;20231225;41;44;0.7213114754098361;0.88;46.46;491;0;0
Direct;20231219;40;79;0.79;1.082191780821918;158.86301369863014;3320;0;0
Direct;20231222;40;50;0.6666666666666666;0.8620689655172413;110.84482758620689;1367;0;0
Organic Search;20231231;38;31;0.6078431372549019;0.7209302325581395;57.76744186046512;353;0;0
Organic Search;20231220;37;43;0.7288135593220338;0.8958333333333334;97.60416666666667;835;0;0
Organic Search;20231229;37;35;0.5645161290322581;0.8333333333333334;99.0952380952381;832;0;0
Organic Search;20231226;35;31;0.7045454545454546;0.775;88.225;605;0;0
Organic Search;20231227;33;43;0.7818181818181819;1.075;111.5;675;0;0
Organic Search;20231230;31;30;0.6976744186046512;0.7894736842105263;39.421052631578945;285;0;0
Direct;20231218;26;47;0.7704918032786885;0.9591836734693877;139.6734693877551;1528;0;0
Direct;20231220;18;47;0.6714285714285714;0.9591836734693877;81.22448979591837;958;0;0
Direct;20231226;18;40;0.7407407407407407;1.0526315789473684;96.26315789473684;1323;0;0
Direct;20231221;17;40;0.7017543859649122;0.975609756097561;148.7560975609756;1853;0;0
Direct;20231227;15;36;0.631578947368421;1;245;1239;0;0
Direct;20231228;14;31;0.6458333333333334;1.1071428571428572;113.35714285714286;720;0;0
Direct;20231225;13;23;0.6571428571428571;0.8518518518518519;152.77777777777777;777;0;0
Direct;20231223;12;34;0.7906976744186046;1.3076923076923077;366;2201;0;0
Direct;20231229;9;24;0.6666666666666666;1.0434782608695652;126.08695652173913;960;0;0
Direct;20231231;8;23;0.6571428571428571;1.0952380952380953;82.28571428571429;557;0;0
Direct;20231230;7;31;0.6458333333333334;1.4090909090909092;533.3181818181819;2414;0;0
Direct;20231224;5;24;0.6;1.2;71.45;693;0;0
Referral;20231219;2;2;0.6666666666666666;0.6666666666666666;589.3333333333334;129;0;0
Referral;20231222;1;2;1;1;3597.5;125;0;0
Referral;20231224;1;5;1;2.5;6821;237;0;0
Referral;20231230;1;1;1;1;275;23;0;0
Referral;20231231;1;1;1;1;54;14;0;0
Referral;20231218;0;5;1;5;34502;378;0;0
Referral;20231221;0;1;1;1;7811;180;0;0
Referral;20231225;0;3;0.75;1.5;3991;331;0;0
Referral;20231226;0;4;1;4;20319;284;0;0
