# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240513
# Data de termino: 20240519
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
Organic Search;20240516;73;75;0.6696428571428571;0.8241758241758241;104.47252747252747;1306;0;0
Organic Search;20240513;54;67;0.7701149425287356;0.9305555555555556;103.51388888888889;1026;0;0
Organic Search;20240514;43;45;0.7142857142857143;0.8035714285714286;100.125;975;0;0
Organic Search;20240517;43;55;0.7534246575342466;0.9821428571428571;117.08928571428571;822;0;0
Organic Search;20240519;39;43;0.7818181818181819;0.8775510204081632;134.10204081632654;1363;0;0
Organic Search;20240515;37;42;0.7636363636363637;0.9333333333333333;108.93333333333334;885;0;0
Organic Search;20240518;37;39;0.7090909090909091;0.8478260869565217;63.43478260869565;477;0;0
Direct;20240516;23;73;0.7019230769230769;1.1967213114754098;314.8360655737705;2445;0;0
Direct;20240514;14;55;0.8208955223880597;1.4102564102564104;339.87179487179486;1839;0;0
Direct;20240518;14;42;0.6885245901639344;1.2352941176470589;521;2110;0;0
Direct;20240513;12;60;0.759493670886076;1.3636363636363635;240.36363636363637;1297;0;0
Direct;20240515;11;53;0.6708860759493671;1.2325581395348837;317.93023255813955;1609;0;0
Direct;20240517;11;54;0.7714285714285715;1.3170731707317074;381.219512195122;2056;0;0
Direct;20240519;4;39;0.6724137931034483;1.625;1122.6666666666667;1711;0;0
Referral;20240514;2;5;1;1.25;290.5;116;0;0
Organic Social;20240513;1;2;0.5;1;125.5;67;0;0
Organic Social;20240515;1;0;0;0;0;3;0;0
Referral;20240513;1;2;1;1;133;37;0;0
Referral;20240515;1;5;1;1.6666666666666667;1750.6666666666667;1292;0;0
Referral;20240517;1;3;1;1.5;344;63;0;0
Organic Social;20240517;0;2;0.6666666666666666;2;177;66;0;0
Organic Social;20240518;0;0;0;0;3;3;0;0
Referral;20240516;0;1;0.5;0.5;1092;254;0;0
Referral;20240518;0;0;0;0;0;2;0;0
