# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240314
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/tecnico;20230803;7;7;1;12;857142857142858;0;0
/tecnico;20230804;1;1;0;17;0;0
/tecnico;20230805;2;1;0;4;5;0;0
/tecnico;20230807;3;3;0;47;666666666666664;0;0
/tecnico;20230808;3;2;0;5;0;0
/tecnico;20230809;4;4;0;8;5;0;0
/tecnico;20230810;4;4;0;23;5;0;0
/tecnico;20230811;4;4;0;8;0;0
/tecnico;20230812;4;4;0;6;5;0;0
/tecnico;20230813;7;6;0;16;285714285714285;0;0
/tecnico;20230814;8;7;0;5;25;0;0
/tecnico;20230815;9;8;0;30;88888888888889;0;0
/tecnico;20230817;4;4;0;7;75;0;0
/tecnico;20230819;6;6;0;6;666666666666667;0;0
/tecnico;20230820;3;3;0;5;666666666666667;0;0
/tecnico;20230821;4;4;0;19;75;0;0
/tecnico;20230822;3;3;0;10;333333333333334;0;0
/tecnico;20230823;4;4;0;7;0;0
/tecnico;20230824;4;4;0;8;25;0;0
/tecnico;20230825;5;5;0;11;8;0;0
/tecnico;20230826;2;2;0;6;0;0
/tecnico;20230827;3;3;0;6;333333333333333;0;0
/tecnico;20230828;5;5;0;7;6;0;0
/tecnico;20230829;1;1;0;3;0;0
/tecnico;20230830;4;4;0;15;25;0;0
/tecnico;20230831;12;12;0;12;583333333333334;0;0
/tecnico;20230901;9;9;0;5;666666666666667;0;0
/tecnico;20230902;4;3;0;135;5;0;0
/tecnico;20230903;3;3;0;2;6666666666666665;0;0
/tecnico;20230904;3;3;0;11;0;0
/tecnico;20230905;2;2;0;30;0;0
/tecnico;20230906;4;4;0;10;5;0;0
/tecnico;20230907;2;2;0;6;0;0
/tecnico;20230908;2;2;0;8;0;0
/tecnico;20230909;2;2;0;7;0;0
/tecnico;20230910;2;2;0;271;5;0;0
/tecnico;20230911;3;3;0;48;666666666666664;0;0
/tecnico;20230912;2;2;0;9;0;0
/tecnico;20230913;2;2;0;21;5;0;0
/tecnico;20230914;2;2;0;6;0;0
/tecnico;20230915;5;5;1;10;0;0
/tecnico;20230916;6;4;0;14;166666666666666;0;0
/tecnico;20230917;3;3;0;4;0;0
/tecnico;20230918;1;1;0;16;0;0
/tecnico;20230919;1;1;0;5;0;0
/tecnico;20230920;2;2;0;53;0;0
/tecnico;20230921;3;3;0;3;6666666666666665;0;0
/tecnico;20230922;2;2;0;4;5;0;0
/tecnico;20230923;1;1;0;4;0;0
/tecnico;20230925;6;6;0;4;333333333333333;0;0
/tecnico;20230926;5;5;0;51;4;0;0
/tecnico;20230928;4;4;0;4;25;0;0
/tecnico;20230929;3;3;0;7;333333333333333;0;0
/tecnico;20230930;2;2;0;9;0;0
/tecnico;20231002;3;3;0;6;333333333333333;0;0
/tecnico;20231003;9;9;0;26;0;0
/tecnico;20231004;3;3;0;3;6666666666666665;0;0
/tecnico;20231005;7;7;0;10;0;0
/tecnico;20231006;3;3;0;2;3333333333333335;0;0
/tecnico;20231007;4;4;0;42;75;0;0
/tecnico;20231008;2;2;0;48;5;0;0
/tecnico;20231009;4;3;0;15;75;0;0
/tecnico;20231010;2;2;0;37;5;0;0
/tecnico;20231011;1;1;0;1;0;0
/tecnico;20231012;1;1;0;20;0;0
/tecnico;20231013;2;2;0;5;0;0
/tecnico;20231014;1;1;0;9;0;0
/tecnico;20231016;1;1;0;4;0;0
/tecnico;20231017;2;2;0;16;5;0;0
/tecnico;20231018;2;2;0;4;5;0;0
/tecnico;20231019;3;3;0;4;333333333333333;0;0
/tecnico;20231020;2;2;0;4;0;0
/tecnico;20231021;1;1;0;7;0;0
/tecnico;20231022;1;1;0;6;0;0
/tecnico;20231023;1;1;0;39;0;0
/tecnico;20231025;2;2;0;19;5;0;0
/tecnico;20231026;3;2;0;1;6666666666666667;0;0
/tecnico;20231027;4;4;0;11;25;0;0
/tecnico;20231028;3;3;0;2;0;0
/tecnico;20231029;3;3;0;24;333333333333332;0;0
