# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240219
# Data de termino: 20240225
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240223;319;223;0.6389684813753582;0.6716867469879518;35.16265060240964;2131;0;0
Organic Search;20240222;69;66;0.6666666666666666;0.8461538461538461;100.14102564102564;1657;0;0
Organic Search;20240220;47;48;0.7741935483870968;0.8888888888888888;212.5185185185185;1025;0;0
Organic Search;20240221;45;50;0.8771929824561403;0.9259259259259259;154.14814814814815;899;0;0
Organic Search;20240224;41;44;0.6197183098591549;0.8461538461538461;152.09615384615384;764;0;0
Organic Search;20240225;39;34;0.6071428571428571;0.6938775510204082;94.20408163265306;786;0;0
Direct;20240223;38;57;0.6705882352941176;0.8507462686567164;178.02985074626866;2103;0;0
Organic Search;20240219;25;41;0.7592592592592593;1;221.29268292682926;1512;0;0
Direct;20240225;18;51;0.7285714285714285;1.0408163265306123;140.16326530612244;1579;0;0
Direct;20240220;17;45;0.7377049180327869;1.25;297.3888888888889;1957;0;0
Direct;20240222;17;53;0.803030303030303;1.1521739130434783;295.9347826086956;1827;0;0
Direct;20240221;16;46;0.696969696969697;1.1794871794871795;311.6923076923077;1868;0;0
Direct;20240219;12;40;0.6666666666666666;1.2121212121212122;146.45454545454547;1129;0;0
Direct;20240224;8;41;0.6507936507936508;1.1388888888888888;118.94444444444444;671;0;0
Organic Social;20240221;3;2;0.6666666666666666;0.6666666666666666;50;45;0;0
Referral;20240219;2;2;1;1;45.5;16;0;0
Referral;20240221;2;3;1;1;85;51;0;0
Referral;20240222;2;2;0.6666666666666666;0.6666666666666666;19;22;0;0
Organic Social;20240223;1;1;1;1;77;11;0;0
Referral;20240220;1;2;1;1;122.5;43;0;0
Organic Social;20240219;0;1;1;1;13;3;0;0
Organic Social;20240220;0;1;1;1;48;10;0;0
Organic Social;20240222;0;1;1;1;41;13;0;0
Referral;20240223;0;1;1;1;12;4;0;0
Referral;20240225;0;1;0.5;1;62;14;0;0
