# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240226
# Data de termino: 20240303
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20240229;106;88;80;0.6349206349206349;0.7547169811320755;36.735849056603776;805;0;0
web / mobile;20240303;102;71;88;0.676923076923077;0.8627450980392157;182.95098039215685;2439;0;0
web / desktop;20240302;90;68;48;0.4485981308411215;0.5333333333333333;85.94444444444444;1589;0;0
web / mobile;20240301;80;57;79;0.6991150442477876;0.9875;111.9625;1625;0;0
web / mobile;20240228;69;54;51;0.6219512195121951;0.7391304347826086;90.66666666666667;1071;0;0
web / mobile;20240302;67;40;58;0.6823529411764706;0.8656716417910447;190.47761194029852;1239;0;0
web / desktop;20240229;63;34;62;0.8611111111111112;0.9841269841269841;79.6984126984127;1274;0;0
web / desktop;20240301;52;17;62;0.8611111111111112;1.1923076923076923;188.44230769230768;1971;0;0
web / desktop;20240303;51;32;32;0.5079365079365079;0.6274509803921569;192.49019607843138;1439;0;0
web / mobile;20240227;47;34;40;0.5970149253731343;0.851063829787234;140.72340425531914;986;0;0
web / desktop;20240228;38;16;43;0.7166666666666667;1.131578947368421;253.94736842105263;2470;0;0
web / mobile;20240226;37;21;33;0.6470588235294118;0.8918918918918919;123.51351351351352;747;0;0
web / desktop;20240226;33;15;33;0.7857142857142857;1;194.72727272727272;932;0;0
web / desktop;20240227;31;10;38;0.7037037037037037;1.2258064516129032;242.6451612903226;1413;0;0
web / tablet;20240302;2;1;1;0.5;0.5;5;9;0;0
web / tablet;20240229;1;0;2;1;2;328;38;0;0
web / tablet;20240301;1;1;1;1;1;18;5;0;0
