# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240422
# Data de termino: 20240428
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240425;105;92;0.6814814814814815;0.7863247863247863;64.1880341880342;1313;0;0
Organic Search;20240428;62;52;0.6582278481012658;0.6933333333333334;68;906;0;0
Organic Search;20240426;48;62;0.7848101265822784;0.9538461538461539;116.53846153846153;1151;0;0
Organic Search;20240422;46;68;0.8095238095238095;1.0461538461538462;202.30769230769232;1825;0;0
Organic Search;20240424;46;60;0.8450704225352113;1.0344827586206897;238.24137931034483;1480;0;0
Direct;20240428;44;72;0.7741935483870968;1.0285714285714285;258.2857142857143;2054;0;0
Organic Search;20240423;39;47;0.7966101694915254;0.9215686274509803;123.68627450980392;803;0;0
Organic Search;20240427;35;57;0.8260869565217391;1.0961538461538463;174.5;1381;0;0
Direct;20240425;27;66;0.6666666666666666;1.0476190476190477;113.88888888888889;1773;0;0
Direct;20240427;18;40;0.625;0.9523809523809523;380.3095238095238;1225;0;0
Direct;20240422;16;50;0.6493506493506493;1.0638297872340425;222;1463;0;0
Direct;20240424;16;46;0.7540983606557377;1.0454545454545454;314.4318181818182;1303;0;0
Direct;20240426;15;55;0.7638888888888888;1.2222222222222223;253.0888888888889;1493;0;0
Direct;20240423;12;47;0.8392857142857143;1.236842105263158;410.42105263157896;1462;0;0
Organic Social;20240423;1;2;1;2;102;13;0;0
Referral;20240423;1;1;0.5;1;185;23;0;0
Referral;20240425;1;1;0.5;0.5;22;8;0;0
Organic Social;20240422;0;1;1;1;79;18;0;0
Organic Social;20240427;0;1;0.5;1;99;23;0;0
Referral;20240422;0;1;0.5;1;38;16;0;0
