# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240205
# Data de termino: 20240211
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
Estatisticas Fluminense - Principal;2024020915;11;11;2;35.18181818181818;0;0
Estatisticas Fluminense - Principal;2024020900;10;10;1;21.6;0;0
Estatisticas Fluminense - Principal;2024020913;10;10;3;5.6;0;0
Estatisticas Fluminense - Principal;2024020719;9;8;1;20.333333333333332;0;0
Estatisticas Fluminense - Principal;2024020823;9;9;2;37.333333333333336;0;0
Estatisticas Fluminense - Principal;2024021020;8;7;3;34.75;0;0
Estatisticas Fluminense - Principal;2024020516;7;7;1;20.714285714285715;0;0
Estatisticas Fluminense - Principal;2024020716;7;7;3;22.857142857142858;0;0
Estatisticas Fluminense - Principal;2024020811;7;7;2;20.142857142857142;0;0
Estatisticas Fluminense - Principal;2024020820;7;6;2;3.2857142857142856;0;0
Estatisticas Fluminense - Principal;2024020822;7;7;3;17.714285714285715;0;0
Estatisticas Fluminense - Principal;2024020910;7;7;2;19.571428571428573;0;0
Estatisticas Fluminense - Principal;2024021015;7;7;1;4.142857142857143;0;0
Estatisticas Fluminense - Principal;2024020511;6;6;1;149.16666666666666;0;0
Estatisticas Fluminense - Principal;2024020611;6;5;1;9.5;0;0
Estatisticas Fluminense - Principal;2024020613;6;3;0;4.166666666666667;0;0
Estatisticas Fluminense - Principal;2024020710;6;6;3;39.666666666666664;0;0
Estatisticas Fluminense - Principal;2024020712;6;4;1;66.16666666666667;0;0
Estatisticas Fluminense - Principal;2024020714;6;6;0;55;0;0
Estatisticas Fluminense - Principal;2024020812;6;6;1;37.5;0;0
Estatisticas Fluminense - Principal;2024020916;6;5;0;29.166666666666668;0;0
Estatisticas Fluminense - Principal;2024021014;6;5;2;28;0;0
Estatisticas Fluminense - Principal;2024021115;6;3;1;9.333333333333334;0;0
Adversarios;2024020820;5;4;0;15.2;0;0
Consultas Especiais;2024020915;5;5;0;4.2;0;0
Consultas Especiais;2024020916;5;4;0;25.8;0;0
Especiais Jogadores;2024020823;5;5;0;10.4;0;0
Especiais Jogadores;2024020900;5;5;0;14.8;0;0
Estatisticas Fluminense - Principal;2024020509;5;5;0;27.8;0;0
Estatisticas Fluminense - Principal;2024020616;5;5;1;26.2;0;0
Estatisticas Fluminense - Principal;2024020622;5;5;1;25.2;0;0
Estatisticas Fluminense - Principal;2024020708;5;5;4;37.8;0;0
Estatisticas Fluminense - Principal;2024020721;5;5;1;27.4;0;0
Estatisticas Fluminense - Principal;2024020908;5;5;1;14.4;0;0
German Cano 2024;2024020900;5;5;1;8.8;0;0
Jogador;2024020900;5;5;0;15.6;0;0
Jogador;2024020915;5;5;0;19;0;0
Jogador;2024021015;5;5;0;13.4;0;0
Adversarios;2024020900;4;4;0;20.25;0;0
Consultas Especiais;2024020714;4;4;0;3.25;0;0
Consultas Especiais;2024020823;4;4;0;2.5;0;0
Consultas Especiais;2024020900;4;4;0;5.25;0;0
Consultas Especiais;2024021020;4;4;0;5.75;0;0
Especiais Jogadores;2024020915;4;4;0;12.25;0;0
Estatisticas Fluminense - Principal;2024020510;4;3;0;127;0;0
Estatisticas Fluminense - Principal;2024020513;4;3;1;3.5;0;0
Estatisticas Fluminense - Principal;2024020519;4;4;2;31.5;0;0
Estatisticas Fluminense - Principal;2024020615;4;4;2;31.25;0;0
Estatisticas Fluminense - Principal;2024020618;4;4;2;85.25;0;0
Estatisticas Fluminense - Principal;2024020720;4;4;1;23.75;0;0
