# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
#  
# Data de inicio: 20240304
# Data de termino: 20240310
Nº dia;Novos usuarios
0000;54
0001;46
0002;51
0003;56
0004;37
0005;89
0006;38

# Data de inicio: 20240304
# Data de termino: 20240310
Nº dia;Usuarios recorrentes
0000;53
0001;29
0002;36
0003;41
0004;33
0005;41
0006;34

#  
# Data de inicio: 20240304
# Data de termino: 20240310
Coorte;Dia 1;Dia 7
0;0.018518518518518517;0
1;0;0
2;0.0392156862745098;0
3;0.017857142857142856;0
4;0;0
5;0.033707865168539325;0
6;0;0

#  
# Data de inicio: 20240304
# Data de termino: 20240310
Coorte;Dia 1;Dia 7
0;79;0
1;0;0
2;315.5;0
3;0;0
4;0;0
5;105;0
6;0;0

#  
# Data de inicio: 20240129
# Data de termino: 20240310
Coorte;Usuarios
0000;1
0001;0.025710946630307752
0002;0.010676156583629894
0003;0.010655737704918032
0004;0.0070744902205576365
0005;0.012356199403493822
0006;0.006533101045296167
0007;0.009333333333333334
0008;0.005919854280510018
0009;0.003822264691829909
0010;0.006048387096774193
0011;0.005235602094240838
0012;0.00727069351230425
0013;0.006984866123399301
0014;0.005376344086021506
0015;0.004884004884004884
0016;0.005060088551549652
0017;0.0032637075718015664
0018;0.0017035775127768314
0019;0.0027624309392265192
0020;0.004901960784313725
0021;0.005235602094240838
0022;0.0054585152838427945
0023;0.004592422502870264
0024;0.006188118811881188
0025;0.003952569169960474
0026;0.0028089887640449437
0027;0.003076923076923077
0028;0.0064516129032258064
0029;0.009983361064891847
0030;0.0068846815834767644
0031;0.0054446460980036296
0032;0.0038910505836575876
0033;0.002145922746781116
0034;0
0035;0.005221932114882507
0036;0.0029239766081871343
0037;0
0038;0
0039;0
0040;0
0041;0

#  
# Data de inicio: 20240129
# Data de termino: 20240310
Coorte;Tempo medio de engajamento
0000;85.80212484671694
0001;118.34920634920634
0002;74.6219512195122
0003;90.6375
0004;88.65384615384616
0005;88.32894736842105
0006;75.78378378378379
0007;59.30555555555556
0008;68.37142857142857
0009;72.52941176470588
0010;80.25757575757575
0011;20.921875
0012;42.064516129032256
0013;298.78333333333336
0014;61.91379310344828
0015;133.03571428571428
0016;73.18518518518519
0017;23.173076923076923
0018;9.96
0019;11.458333333333334
0020;159.43478260869566
0021;42
0022;62.76190476190476
0023;36.3
0024;94.10526315789474
0025;218.72222222222223
0026;35.64705882352941
0027;93.875
0028;421.2
0029;521.2142857142857
0030;166.69230769230768
0031;327.9166666666667
0032;676
0033;362.5
0034;0
0035;122
0036;227.57142857142858
0037;0
0038;0
0039;0
0040;0
0041;0

#  
# Data de inicio: 20231112
# Data de termino: 20240310
Coorte;LTV
0000;0
0001;0
0002;0
0003;0
0004;0
0005;0
0006;0
0007;0
0008;0
0009;0
0010;0
0011;0
0012;0
0013;0
0014;0
0015;0
0016;0
0017;0
0018;0
0019;0
0020;0
0021;0
0022;0
0023;0
0024;0
0025;0
0026;0
0027;0
0028;0
0029;0
0030;0
0031;0
0032;0
0033;0
0034;0
0035;0
0036;0
0037;0
0038;0
0039;0
0040;0
0041;0
0042;0
0043;0
0044;0
0045;0
0046;0
0047;0
0048;0
0049;0
0050;0
0051;0
0052;0
0053;0
0054;0
0055;0
0056;0
0057;0
0058;0
0059;0
0060;0
0061;0
0062;0
0063;0
0064;0
0065;0
0066;0
0067;0
0068;0
0069;0
0070;0
0071;0
0072;0
0073;0
0074;0
0075;0
0076;0
0077;0
0078;0
0079;0
0080;0
0081;0
0082;0
0083;0
0084;0
0085;0
0086;0
0087;0
0088;0
0089;0
0090;0
0091;0
0092;0
0093;0
0094;0
0095;0
0096;0
0097;0
0098;0
0099;0
0100;0
0101;0
0102;0
0103;0
0104;0
0105;0
0106;0
0107;0
0108;0
0109;0
0110;0
0111;0
0112;0
0113;0
0114;0
0115;0
0116;0
0117;0
0118;0
0119;0
