# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240415
# Data de termino: 20240421
Nome do evento;Data;Contagem de eventos;Total de usuarios;Contagem de eventos por usuario;Receita total
page_view;20240421;1499;103;15.295918367346939;0
user_engagement;20240421;1240;88;14.25287356321839;0
page_view;20240415;966;92;10.733333333333333;0
scroll;20240421;934;79;11.974358974358974;0
page_view;20240420;812;137;6.059701492537314;0
page_view;20240419;808;113;7.345454545454546;0
user_engagement;20240415;766;77;9.948051948051948;0
page_view;20240416;696;125;5.704918032786885;0
user_engagement;20240419;695;88;7.8977272727272725;0
user_engagement;20240420;641;112;5.723214285714286;0
page_view;20240418;581;91;6.8352941176470585;0
page_view;20240417;574;111;5.364485981308412;0
user_engagement;20240416;548;102;5.372549019607843;0
scroll;20240419;489;83;5.891566265060241;0
user_engagement;20240418;482;72;6.788732394366197;0
scroll;20240415;446;69;6.463768115942029;0
user_engagement;20240417;414;101;4.181818181818182;0
scroll;20240416;366;90;4.066666666666666;0
scroll;20240420;355;93;3.858695652173913;0
form_submit;20240421;354;46;7.695652173913044;0
scroll;20240417;283;90;3.1797752808988764;0
scroll;20240418;238;62;3.838709677419355;0
form_submit;20240415;216;42;5.142857142857143;0
form_submit;20240420;209;53;3.943396226415094;0
form_submit;20240416;197;48;4.104166666666667;0
form_submit;20240418;176;38;4.631578947368421;0
form_start;20240421;173;46;3.760869565217391;0
session_start;20240420;169;137;1.2611940298507462;0
session_start;20240416;166;125;1.360655737704918;0
form_submit;20240419;160;44;3.6363636363636362;0
form_submit;20240417;158;48;3.2916666666666665;0
session_start;20240421;152;103;1.5510204081632653;0
session_start;20240419;149;113;1.3545454545454545;0
session_start;20240417;136;113;1.2592592592592593;0
form_start;20240419;129;47;2.74468085106383;0
form_start;20240420;129;53;2.4339622641509435;0
form_start;20240416;124;48;2.5833333333333335;0
form_start;20240417;120;51;2.3529411764705883;0
click;20240415;118;10;11.8;0
session_start;20240418;117;92;1.3764705882352941;0
form_start;20240418;116;38;3.0526315789473686;0
session_start;20240415;112;91;1.2584269662921348;0
click;20240421;108;14;7.714285714285714;0
form_start;20240415;107;43;2.488372093023256;0
click;20240419;84;11;7.636363636363637;0
first_visit;20240416;84;84;1;0
first_visit;20240420;84;84;1;0
first_visit;20240419;65;65;1;0
first_visit;20240417;63;63;1;0
click;20240416;62;8;7.75;0
first_visit;20240421;58;57;1.0175438596491229;0
first_visit;20240418;50;50;1;0
first_visit;20240415;46;46;1;0
click;20240420;42;8;5.25;0
click;20240417;37;4;9.25;0
click;20240418;30;10;3;0
