# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231218
# Data de termino: 20231231
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/mostra_jogo;20231229;8;7;0;32.875;0;0
/consulta_especial_jogador;20231220;7;5;0;22.142857142857142;0;0
/consulta_especial_jogador;20231221;7;6;0;36;0;0
/consulta_especial_jogador;20231222;7;7;0;35.142857142857146;0;0
/consulta_especial_jogador;20231231;7;5;0;14.571428571428571;0;0
/consulta_especial_jogos;20231221;7;5;0;5.428571428571429;0;0
/especial;20231226;7;7;0;9.714285714285714;0;0
/especial;20231228;7;4;0;5.428571428571429;0;0
/grafico;20231222;7;7;0;4.428571428571429;0;0
/jogo;20231231;7;6;0;49.285714285714285;0;0
/link_adversario/461;20231223;7;7;6;21.285714285714285;0;0
/link_jogo/2934;20231220;7;7;6;4.714285714285714;0;0
/link_jogo/2934;20231221;7;7;7;14.142857142857142;0;0
/link_jogo/7114;20231222;7;7;7;5.428571428571429;0;0
/link_jogo/8752;20231218;7;6;0;11.142857142857142;0;0
/mostra_adversario;20231227;7;6;0;15.285714285714286;0;0
/mostra_adversario;20231228;7;5;0;42.714285714285715;0;0
/mostra_espadv2;20231219;7;5;0;55.857142857142854;0;0
/mostra_especial_jogo;20231229;7;3;0;24.428571428571427;0;0
/mostra_jogo;20231228;7;6;0;32.857142857142854;0;0
/tecnico;20231222;7;6;0;37;0;0
/adversario;20231231;6;2;0;1.3333333333333333;0;0
/campeonato;20231220;6;6;0;13.833333333333334;0;0
/consulta_especial_gerais;20231219;6;5;0;3.5;0;0
/consulta_especial_jogador;20231223;6;5;0;20.333333333333332;0;0
/geral;20231223;6;6;0;6.166666666666667;0;0
/jogo;20231223;6;6;0;34.833333333333336;0;0
/link_jogador/2404;20231222;6;5;4;153.66666666666666;0;0
/link_jogo/2934;20231218;6;6;5;8.666666666666666;0;0
/link_jogo/2934;20231225;6;6;6;37.666666666666664;0;0
/link_jogo/3342;20231224;6;6;6;25.333333333333332;0;0
/link_jogo/4990;20231219;6;6;5;11;0;0
/mostra_adversario;20231225;6;6;0;114.16666666666667;0;0
/mostra_campeonato;20231220;6;6;0;21.666666666666668;0;0
/mostra_campeonato;20231221;6;5;0;40.166666666666664;0;0
/mostra_jogo;20231224;6;6;0;25.833333333333332;0;0
/mostra_jogo;20231225;6;6;0;12.666666666666666;0;0
/mostra_rkg/;20231223;6;3;0;108;0;0
/adversario;20231225;5;5;0;53;0;0
/adversario;20231228;5;5;0;42.6;0;0
/camisa;20231221;5;5;0;11.8;0;0
/campeonato;20231221;5;4;0;17.6;0;0
/campeonato;20231225;5;5;0;17.4;0;0
/consulta_especial_jogador;20231224;5;4;0;21.6;0;0
/consulta_especial_jogos;20231219;5;5;0;5.6;0;0
/consulta_jogo/655000000;20231229;5;2;0;9.6;0;0
/curiosidade;20231222;5;5;0;56;0;0
/geral;20231221;5;5;0;3.4;0;0
/geral;20231226;5;5;0;30;0;0
/geral;20231227;5;5;0;17;0;0
/link_adversario/461;20231225;5;5;3;13.6;0;0
/link_jogador/576;20231220;5;4;3;15.8;0;0
/link_jogo/2934;20231219;5;5;5;6.6;0;0
/link_jogo/3342;20231226;5;5;4;28;0;0
/link_jogo/4990;20231220;5;4;3;10.4;0;0
/link_jogo/7159;20231222;5;2;1;9.4;0;0
/link_jogo/8752;20231219;5;5;0;61.6;0;0
/mostra_campeonato;20231224;5;3;0;35.4;0;0
/mostra_campeonato;20231225;5;5;0;18.8;0;0
/mostra_especial_jogo;20231221;5;4;0;47.8;0;0
/mostra_especial_jogo;20231227;5;3;0;4.2;0;0
/mostra_jogo;20231230;5;2;0;3.4;0;0
/mostra_jogo;20231231;5;3;0;28.2;0;0
/mostra_rkg/;20231219;5;3;0;46.6;0;0
/mostra_rkg/;20231220;5;3;0;13.2;0;0
/mostra_tecnico;20231226;5;5;0;88.4;0;0
/tecnico;20231221;5;3;0;11;0;0
/tecnico;20231226;5;5;0;47.8;0;0
/adversario;20231229;4;4;0;7.5;0;0
/adversario;20231230;4;3;0;21.25;0;0
/arbitro;20231221;4;4;0;34.5;0;0
/camisa;20231219;4;3;0;2.75;0;0
/campeonato;20231223;4;4;0;127;0;0
/campeonato;20231224;4;3;0;22.5;0;0
/campeonato;20231227;4;4;0;33.5;0;0
/consulta_especial_adversario;20231221;4;4;0;9.5;0;0
/consulta_especial_jogador;20231225;4;4;0;15.75;0;0
/consulta_especial_jogador;20231230;4;4;0;49.75;0;0
/consulta_especial_jogos;20231222;4;4;0;6.5;0;0
/consulta_especial_jogos;20231228;4;2;0;2.5;0;0
/consulta_especial_jogos;20231230;4;3;0;2;0;0
/consulta_jogador/268106000;20231230;4;3;0;7.5;0;0
/consulta_jogador/268106000;20231231;4;2;0;6.75;0;0
/consulta_jogo/655000000;20231223;4;1;0;31;0;0
/curiosidade;20231218;4;3;0;74;0;0
/curiosidade;20231226;4;3;0;51.75;0;0
/estadio;20231220;4;4;0;19.25;0;0
/geral;20231218;4;4;0;31.25;0;0
/geral;20231220;4;4;0;17.25;0;0
/geral;20231225;4;4;0;39;0;0
/grafico;20231218;4;4;0;33.25;0;0
/grafico;20231219;4;4;0;29.5;0;0
/grafico_assistencia/601;20231227;4;2;0;4.75;0;0
/link_adversario/461;20231218;4;3;3;3.75;0;0
/link_adversario/461;20231231;4;3;3;9;0;0
/link_adversario/511;20231222;4;4;4;19.75;0;0
/link_adversario/511;20231228;4;4;4;6.75;0;0
/link_campeonato/445;20231223;4;4;3;50.25;0;0
/link_campeonato/802;20231219;4;4;0;22.5;0;0
/link_estadio/792;20231218;4;4;0;21.5;0;0
/link_estadio/792;20231219;4;4;0;7.5;0;0
/link_jogo/2934;20231224;4;4;3;8.5;0;0
/link_jogo/3342;20231227;4;4;4;15;0;0
/link_jogo/4326;20231222;4;4;1;2.25;0;0
/link_jogo/4988;20231219;4;2;0;1.25;0;0
/link_jogo/4990;20231226;4;3;3;16;0;0
/link_jogo/4990;20231231;4;3;2;15;0;0
/link_jogo/7114;20231218;4;4;4;4;0;0
/link_jogo/8758;20231222;4;4;0;20.25;0;0
/link_jogo/97;20231227;4;1;0;1.5;0;0
/link_jogo/97;20231229;4;0;0;0;0;0
/mostra_adversario;20231226;4;4;0;19.5;0;0
/mostra_camisa;20231221;4;4;0;15;0;0
/mostra_campeonato;20231223;4;4;0;262.25;0;0
/mostra_especial_jogo;20231218;4;3;0;24.75;0;0
/mostra_especial_jogo;20231219;4;4;0;19.75;0;0
/mostra_estadio;20231220;4;4;0;33;0;0
/mostra_estadio;20231228;4;4;0;30.25;0;0
/mostra_jogo;20231221;4;4;0;29.25;0;0
/mostra_ranking/290000000;20231218;4;2;0;48.5;0;0
/mostra_rkg/;20231218;4;2;0;19;0;0
/mostra_rkg/;20231224;4;3;0;18.5;0;0
/mostra_tecnico;20231221;4;4;0;45.5;0;0
/mostra_tecnico;20231222;4;4;0;92.75;0;0
/mostra_todos_jogador;20231231;4;3;0;14;0;0
/adversario;20231226;3;3;0;17.666666666666668;0;0
/arbitro;20231218;3;3;0;2;0;0
/arbitro;20231226;3;3;0;31.333333333333332;0;0
