# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240325
# Data de termino: 20240331
Nome do evento;Data;Contagem de eventos;Total de usuarios;Contagem de eventos por usuario;Receita total
page_view;20240329;915;85;11.296296296296296;0
page_view;20240328;842;85;10.144578313253012;0
page_view;20240331;842;81;10.794871794871796;0
page_view;20240327;804;89;9.136363636363637;0
user_engagement;20240328;782;75;10.426666666666666;0
user_engagement;20240327;758;78;9.717948717948717;0
page_view;20240330;752;79;10.026666666666667;0
user_engagement;20240329;729;73;9.986301369863014;0
user_engagement;20240331;662;70;9.594202898550725;0
user_engagement;20240330;627;64;10.112903225806452;0
scroll;20240329;578;62;9.475409836065573;0
page_view;20240326;523;54;9.685185185185185;0
scroll;20240331;510;62;8.225806451612904;0
scroll;20240327;495;69;7.279411764705882;0
page_view;20240325;473;64;8.016949152542374;0
scroll;20240330;453;53;8.547169811320755;0
user_engagement;20240326;450;49;9.183673469387756;0
scroll;20240328;446;69;6.5588235294117645;0
user_engagement;20240325;376;53;7.09433962264151;0
scroll;20240326;293;41;7.146341463414634;0
form_submit;20240329;261;25;10.44;0
scroll;20240325;249;47;5.413043478260869;0
form_submit;20240328;223;36;6.194444444444445;0
form_submit;20240330;210;30;7;0
form_submit;20240331;186;26;7.153846153846154;0
form_submit;20240327;176;41;4.2926829268292686;0
click;20240329;141;6;23.5;0
session_start;20240329;119;87;1.451219512195122;0
session_start;20240327;116;88;1.3333333333333333;0
session_start;20240328;115;85;1.3855421686746987;0
form_submit;20240326;113;22;5.136363636363637;0
session_start;20240331;103;81;1.3205128205128205;0
session_start;20240330;100;81;1.3333333333333333;0
form_submit;20240325;99;26;3.8076923076923075;0
form_start;20240328;97;36;2.6944444444444446;0
form_start;20240329;94;26;3.6153846153846154;0
form_start;20240330;92;31;2.967741935483871;0
click;20240327;90;11;8.181818181818182;0
form_start;20240327;85;42;2.0238095238095237;0
session_start;20240325;85;64;1.4406779661016949;0
click;20240330;78;10;7.8;0
click;20240331;75;10;7.5;0
form_start;20240325;68;27;2.5185185185185186;0
session_start;20240326;68;54;1.2592592592592593;0
form_start;20240326;66;22;3;0
form_start;20240331;60;27;2.2222222222222223;0
click;20240328;55;9;6.111111111111111;0
click;20240326;52;6;8.666666666666666;0
first_visit;20240329;52;52;1;0
first_visit;20240327;51;51;1;0
first_visit;20240328;49;49;1;0
first_visit;20240331;46;46;1;0
first_visit;20240330;44;44;1;0
first_visit;20240325;33;33;1;0
first_visit;20240326;27;27;1;0
click;20240325;22;4;5.5;0
