# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
#  
# Data de inicio: 20240506
# Data de termino: 20240512
Nº dia;Novos usuarios
0000;49
0001;40
0002;44
0003;90
0004;49
0005;45
0006;63

# Data de inicio: 20240506
# Data de termino: 20240512
Nº dia;Usuarios recorrentes
0000;38
0001;36
0002;41
0003;46
0004;61
0005;38
0006;34

#  
# Data de inicio: 20240506
# Data de termino: 20240512
Coorte;Dia 1;Dia 7
0;0.08163265306122448;0
1;0;0
2;0.022727272727272728;0
3;0.033707865168539325;0
4;0.04081632653061224;0
5;0;0
6;0;0

#  
# Data de inicio: 20240506
# Data de termino: 20240512
Coorte;Dia 1;Dia 7
0;372.5;0
1;0;0
2;1958;0
3;1792;0
4;58;0
5;0;0
6;0;0

#  
# Data de inicio: 20240401
# Data de termino: 20240512
Coorte;Usuarios
0000;1
0001;0.026244693168660748
0002;0.014636075949367089
0003;0.008054772452678213
0004;0.012325390304026294
0005;0.008528784648187633
0006;0.009995654063450673
0007;0.008403361344537815
0008;0.009041591320072333
0009;0.006918819188191882
0010;0.0043583535108958835
0011;0.00495785820525533
0012;0.006097560975609756
0013;0.004856988667026443
0014;0.007250418293363078
0015;0.004039238315060588
0016;0.002458512599877074
0017;0.0031766200762388818
0018;0.0066181336863004635
0019;0.0050798258345428155
0020;0.0037965072133637054
0021;0.004746835443037975
0022;0.005823627287853577
0023;0.006108202443280977
0024;0.002824858757062147
0025;0.0020060180541624875
0026;0.0031678986272439284
0027;0.004524886877828055
0028;0.00125
0029;0.007957559681697613
0030;0.004267425320056899
0031;0.006472491909385114
0032;0
0033;0.0038461538461538464
0034;0.0022222222222222222
0035;0.002857142857142857
0036;0.00641025641025641
0037;0
0038;0.004098360655737705
0039;0
0040;0.005988023952095809
0041;0

#  
# Data de inicio: 20240401
# Data de termino: 20240512
Coorte;Tempo medio de engajamento
0000;85.8312221681766
0001;354.6170634920635
0002;203.33739837398372
0003;373.5875
0004;147.32051282051282
0005;88.65789473684211
0006;108.44144144144144
0007;71.10185185185186
0008;59.3904761904762
0009;60.11764705882353
0010;111.36363636363636
0011;48.828125
0012;40.064516129032256
0013;51.666666666666664
0014;29.5
0015;30.785714285714285
0016;26.85185185185185
0017;29.26923076923077
0018;96.03333333333335
0019;90.04166666666667
0020;36.95652173913044
0021;112.18181818181819
0022;54.88095238095238
0023;87.45
0024;16.81578947368421
0025;2.5
0026;23.176470588235293
0027;31.71875
0028;0.7333333333333333
0029;51.42857142857143
0030;40.61538461538461
0031;53.25
0032;0
0033;14.9
0034;1.2222222222222223
0035;5.5
0036;27
0037;0
0038;13.2
0039;0
0040;12.333333333333334
0041;0

#  
# Data de inicio: 20240114
# Data de termino: 20240512
Coorte;LTV
0000;0
0001;0
0002;0
0003;0
0004;0
0005;0
0006;0
0007;0
0008;0
0009;0
0010;0
0011;0
0012;0
0013;0
0014;0
0015;0
0016;0
0017;0
0018;0
0019;0
0020;0
0021;0
0022;0
0023;0
0024;0
0025;0
0026;0
0027;0
0028;0
0029;0
0030;0
0031;0
0032;0
0033;0
0034;0
0035;0
0036;0
0037;0
0038;0
0039;0
0040;0
0041;0
0042;0
0043;0
0044;0
0045;0
0046;0
0047;0
0048;0
0049;0
0050;0
0051;0
0052;0
0053;0
0054;0
0055;0
0056;0
0057;0
0058;0
0059;0
0060;0
0061;0
0062;0
0063;0
0064;0
0065;0
0066;0
0067;0
0068;0
0069;0
0070;0
0071;0
0072;0
0073;0
0074;0
0075;0
0076;0
0077;0
0078;0
0079;0
0080;0
0081;0
0082;0
0083;0
0084;0
0085;0
0086;0
0087;0
0088;0
0089;0
0090;0
0091;0
0092;0
0093;0
0094;0
0095;0
0096;0
0097;0
0098;0
0099;0
0100;0
0101;0
0102;0
0103;0
0104;0
0105;0
0106;0
0107;0
0108;0
0109;0
0110;0
0111;0
0112;0
0113;0
0114;0
0115;0
0116;0
0117;0
0118;0
0119;0
