# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240324
Caminho da pagina e classe da tela;Data;Contagem de eventos;Visualizacoes
/jogador;20230803;30;40
/jogador;20230804;27;29
/jogador;20230805;23;25
/jogador;20230806;29;31
/jogador;20230807;34;40
/jogador;20230808;33;44
/jogador_cartao/671240000000;20230808;1;1
/jogador;20230809;44;50
/jogador;20230810;21;30
/jogador;20230811;16;23
/jogador;20230812;13;17
/jogador;20230813;26;32
/jogador;20230814;19;24
/jogador;20230815;16;20
/jogador;20230816;12;13
/jogador;20230817;28;30
/jogador;20230818;17;23
/jogador;20230819;24;35
/jogador;20230820;28;41
/jogador;20230821;38;43
/jogador;20230822;15;18
/jogador;20230823;25;28
/jogador;20230824;27;32
/jogador;20230825;33;46
/jogador;20230826;26;36
/jogador;20230827;46;53
/jogador;20230828;19;23
/jogador;20230829;23;26
/jogador;20230830;33;39
/jogador;20230831;80;93
/jogador;20230901;49;56
/jogador;20230902;21;33
/jogador;20230903;26;32
/jogador;20230904;15;17
/jogador;20230905;17;29
/jogador;20230906;23;30
/jogador;20230907;21;27
/jogador;20230908;25;31
/jogador;20230909;25;27
/jogador;20230910;13;17
/jogador;20230911;32;41
/jogador;20230912;23;28
/jogador;20230913;33;38
/jogador;20230914;54;64
/jogador;20230915;48;64
/jogador;20230916;39;48
/jogador;20230917;13;17
/jogador;20230918;11;14
/jogador;20230919;17;20
/jogador;20230920;29;34
/jogador;20230921;50;57
/jogador;20230922;14;18
/jogador;20230923;21;29
/jogador;20230924;6;8
/jogador;20230925;21;29
/jogador;20230926;36;43
/jogador;20230927;39;50
/jogador_cartao/670240000000;20230927;0;1
/jogador;20230928;34;48
/jogador;20230929;31;37
/jogador;20230930;32;36
/jogador;20231001;7;9
/jogador;20231002;9;10
/jogador;20231003;19;20
/jogador;20231004;29;36
/jogador;20231005;60;74
/jogador;20231006;20;31
/jogador;20231007;11;15
/jogador;20231008;19;29
/jogador;20231009;10;19
/jogador;20231010;11;12
/jogador;20231011;11;19
/jogador;20231012;17;17
/jogador;20231013;34;40
/jogador;20231014;21;26
/jogador;20231015;10;14
/jogador_batedor/672240000000;20231015;1;1
/jogador;20231016;16;21
/jogador;20231017;10;16
/jogador;20231018;16;18
/jogador;20231019;23;34
/jogador;20231020;12;12
/jogador;20231021;13;15
/jogador;20231022;23;28
/jogador;20231023;18;19
/jogador_batedor/672240000000;20231023;1;1
/jogador_cartao/670240000000;20231023;0;1
/jogador;20231024;11;12
/jogador;20231025;36;44
/jogador;20231026;28;32
/jogador;20231027;17;18
/jogador;20231028;16;21
/jogador_batedor/672240000000;20231028;0;1
/jogador_cartao/671240000000;20231028;0;1
/jogador;20231029;27;28
/jogador_cartao/671240000000;20231029;0;1
/jogador;20231030;11;14
/jogador;20231031;14;22
/jogador;20231101;13;15
/jogador;20231102;18;19
/jogador;20231103;22;25
/jogador;20231104;21;31
/jogador;20231105;82;97
/jogador;20231106;28;39
