# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230918
# Data de termino: 20230924
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/;20230921;105;81;27;6.819047619047619;0;0
/;20230919;94;76;31;8.24468085106383;0;0
/;20230920;85;68;28;7.823529411764706;0;0
/;20230918;70;58;26;6.6;0;0
/;20230923;62;46;23;5.080645161290323;0;0
/;20230922;57;50;17;4.684210526315789;0;0
/adversario;20230919;46;39;1;41.97826086956522;0;0
/mostra_adversario;20230919;43;34;0;53.395348837209305;0;0
/mostra_adversario;20230921;41;35;0;72.7560975609756;0;0
/adversario;20230921;40;36;1;46.875;0;0
/adversario;20230920;36;30;0;33.75;0;0
/;20230924;34;25;14;5.235294117647059;0;0
/mostra_adversario;20230920;33;27;0;72.45454545454545;0;0
/jogador;20230921;32;21;0;63.40625;0;0
/mostra_jogador;20230921;30;20;0;78.36666666666666;0;0
/especial;20230921;29;19;0;15.89655172413793;0;0
/jogo;20230921;26;23;1;107.34615384615384;0;0
/mostra_jogador;20230919;22;17;0;23.954545454545453;0;0
/jogador;20230919;21;20;0;20.61904761904762;0;0
/jogador;20230923;21;18;0;37.42857142857143;0;0
/mostra_arbitro;20230922;21;18;0;14.857142857142858;0;0
/mostra_jogador;20230923;21;17;0;85.0952380952381;0;0
/adversario;20230918;20;18;0;37;0;0
/arbitro;20230922;19;19;0;12.68421052631579;0;0
/especial;20230919;19;17;0;6.894736842105263;0;0
/jogo;20230918;18;17;0;38.94444444444444;0;0
/jogo;20230923;17;13;0;87.3529411764706;0;0
/consulta_especial_jogador;20230921;16;10;0;23.1875;0;0
/jogador;20230920;16;14;0;35.3125;0;0
/jogo;20230919;16;13;1;47.125;0;0
/mostra_adversario;20230918;16;15;0;88.1875;0;0
/mostra_jogador;20230920;16;12;0;106.5;0;0
/mostra_jogo;20230921;16;13;0;66.6875;0;0
/jogador;20230922;14;11;0;29.285714285714285;0;0
/jogo;20230920;14;13;0;28.214285714285715;0;0
/jogo;20230922;14;12;0;131.35714285714286;0;0
/mostra_jogador;20230922;14;11;1;28.071428571428573;0;0
/especial;20230920;13;12;0;13.846153846153847;0;0
/mostra_jogo;20230918;13;12;1;20.153846153846153;0;0
/mostra_jogo;20230922;13;8;0;143.3846153846154;0;0
/mostra_jogo;20230923;13;10;0;129.84615384615384;0;0
/adversario;20230922;12;12;0;23;0;0
/adversario;20230923;12;7;0;20.083333333333332;0;0
/mostra_adversario;20230922;12;12;0;60.25;0;0
/mostra_jogo;20230919;12;6;0;13.416666666666666;0;0
/arbitro;20230918;11;11;1;39.09090909090909;0;0
/arbitro;20230919;11;10;1;42.90909090909091;0;0
/especial;20230918;11;10;0;7.909090909090909;0;0
/especial;20230922;11;7;0;9.181818181818182;0;0
/especial;20230923;11;10;0;27.454545454545453;0;0
/estadio;20230919;11;11;0;21.09090909090909;0;0
/geral;20230921;11;9;0;23.363636363636363;0;0
/jogador;20230918;11;11;0;166.36363636363637;0;0
/consulta_especial_jogador;20230923;10;9;0;69.3;0;0
/consulta_especial_jogos;20230921;10;7;0;4;0;0
/mostra_adversario;20230923;10;7;0;37.7;0;0
/mostra_jogador;20230918;10;9;0;229.7;0;0
/mostra_jogo;20230920;10;9;0;44.8;0;0
/adversario;20230924;9;9;0;144.77777777777777;0;0
/consulta_especial_jogador;20230919;9;8;0;13.222222222222221;0;0
/mostra_adversario;20230924;9;9;0;306.1111111111111;0;0
/mostra_arbitro;20230918;9;8;0;22.333333333333332;0;0
/arbitro;20230920;8;5;0;21.75;0;0
/consulta_especial_adversario;20230919;8;6;0;12.375;0;0
/consulta_especial_jogador;20230922;8;5;0;34.375;0;0
/especial;20230924;8;6;0;4.25;0;0
/consulta_especial_gerais;20230921;7;6;0;22.857142857142858;0;0
/consulta_especial_jogador;20230918;7;6;0;16.571428571428573;0;0
/consulta_especial_jogos;20230920;7;6;0;8;0;0
/geral;20230920;7;5;0;24.714285714285715;0;0
/jogador;20230924;7;7;0;13.285714285714286;0;0
/link_todos/141/100;20230919;7;4;0;16.142857142857142;0;0
/mostra_arbitro;20230919;7;5;0;57;0;0
/mostra_estadio;20230919;7;6;0;34.857142857142854;0;0
/campeonato;20230920;6;6;0;6.833333333333333;0;0
