# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240401
# Data de termino: 20240407
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240403;62;69;0.7582417582417582;0.9078947368421053;82.69736842105263;1019;0;0
Organic Search;20240402;36;32;0.7619047619047619;0.7804878048780488;149.1219512195122;925;0;0
Organic Search;20240404;34;31;0.6739130434782609;0.7209302325581395;116.74418604651163;798;0;0
Organic Search;20240405;28;33;0.75;0.9705882352941176;167.08823529411765;804;0;0
Organic Search;20240407;28;34;0.7555555555555555;0.918918918918919;208.21621621621622;741;0;0
Organic Search;20240401;24;26;0.7222222222222222;0.896551724137931;103.13793103448276;365;0;0
Organic Search;20240406;22;31;0.6888888888888889;0.9393939393939394;193.1818181818182;657;0;0
Direct;20240402;20;39;0.6842105263157895;0.9069767441860465;136.7674418604651;1214;0;0
Direct;20240403;17;52;0.7761194029850746;1.3;253.025;1930;0;0
Direct;20240407;11;31;0.775;1.3478260869565217;263.4347826086956;739;0;0
Direct;20240404;10;27;0.6585365853658537;1;218.03703703703704;1043;0;0
Direct;20240401;6;20;0.7142857142857143;0.9090909090909091;198.5;868;0;0
Direct;20240405;5;42;0.8235294117647058;1.4;366.56666666666666;3550;0;0
Direct;20240406;5;28;0.7777777777777778;1.3333333333333333;141.33333333333334;685;0;0
Referral;20240407;2;0;0;0;0;8;0;0
Organic Social;20240403;1;1;1;1;7;9;0;0
Referral;20240401;1;1;0.5;0.5;0;7;0;0
Organic Social;20240407;0;4;1;4;2029;363;0;0
Referral;20240402;0;1;1;1;354;64;0;0
Referral;20240403;0;1;1;1;26;7;0;0
Referral;20240404;0;1;0.5;1;34;10;0;0
Referral;20240405;0;1;1;1;742;127;0;0
