# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240408
# Data de termino: 20240414
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/adversario;20240408;8;7;0;82.75;0;0
/adversario;20240409;11;10;0;18.727272727272727;0;0
/adversario_tecadv;20240409;1;1;0;3;0;0
/adversario;20240410;16;13;0;46.375;0;0
/adversario;20240411;8;7;0;12.875;0;0
/adversario;20240412;8;7;0;24.875;0;0
/adversario;20240413;5;5;0;16.2;0;0
/adversario;20240414;7;6;0;35.57142857142857;0;0
