# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240226
# Data de termino: 20240303
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240229;99;78;0.6724137931034483;0.7289719626168224;31.88785046728972;756;0;0
Organic Search;20240303;59;60;0.7142857142857143;0.8;234.13333333333333;1449;0;0
Referral;20240302;53;3;0.05555555555555555;0.05660377358490566;7.90566037735849;243;0;0
Organic Search;20240228;52;45;0.6081081081081081;0.7142857142857143;104.73015873015873;1793;0;0
Organic Search;20240301;50;59;0.7564102564102564;0.8939393939393939;96.54545454545455;1426;0;0
Organic Search;20240302;43;50;0.746268656716418;0.819672131147541;165.4262295081967;810;0;0
Organic Search;20240226;27;28;0.6666666666666666;0.7777777777777778;128.11111111111111;651;0;0
Organic Search;20240227;26;28;0.6222222222222222;0.7777777777777778;165.55555555555554;930;0;0
Referral;20240303;24;2;0.08;0.08;4.32;110;0;0
Direct;20240301;22;79;0.7745098039215687;1.234375;177.265625;1967;0;0
Direct;20240229;20;64;0.7901234567901234;1.0666666666666667;95.65;1343;0;0
Direct;20240303;20;58;0.6904761904761905;1.0943396226415094;203.96226415094338;2319;0;0
Direct;20240227;18;49;0.6533333333333333;1.1951219512195121;199.41463414634146;1469;0;0
Direct;20240228;18;49;0.7205882352941176;1.1136363636363635;211.54545454545453;1748;0;0
Direct;20240302;13;54;0.7397260273972602;1.2;222.15555555555557;1784;0;0
Direct;20240226;8;38;0.76;1.1515151515151516;193.27272727272728;1024;0;0
Referral;20240301;3;4;0.6666666666666666;1.3333333333333333;352.3333333333333;208;0;0
Organic Social;20240229;2;1;0.5;0.5;33.5;14;0;0
Organic Social;20240226;1;0;0;0;6;4;0;0
Referral;20240229;1;1;1;1;25;4;0;0
