# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240527
# Data de termino: 20240602
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Estatisticas Fluminense - Principal;20240529;99;73;37;21.11111111111111;0;0;0
Estatisticas Fluminense - Principal;20240531;84;63;20;27.785714285714285;0;0;0
Estatisticas Fluminense - Principal;20240601;72;55;19;16.59722222222222;0;0;0
Estatisticas Fluminense - Principal;20240527;70;56;16;20.614285714285714;0;0;0
Estatisticas Fluminense - Principal;20240530;69;50;17;22.115942028985508;0;0;0
Estatisticas Fluminense - Principal;20240528;67;50;18;14.686567164179104;0;0;0
Estatisticas Fluminense - Principal;20240602;57;45;10;22.45614035087719;0;0;0
Jogador;20240531;34;22;0;24;0;0;0
Jogador;20240530;32;25;1;20.4375;0;0;0
Jogador;20240527;27;19;1;39.111111111111114;0;0;0
Jogador;20240601;27;19;0;38.629629629629626;0;0;0
Jogador;20240528;25;20;0;30.28;0;0;0
Jogo;20240531;25;16;0;108.28;0;0;0
Adversarios;20240531;19;18;1;41.473684210526315;0;0;0
Especiais Jogadores;20240530;19;15;0;26.526315789473685;0;0;0
Jogador;20240529;19;16;0;13.105263157894736;0;0;0
Campeonatos;20240531;18;17;0;42.666666666666664;0;0;0
Jogo;20240527;17;14;0;236.2941176470588;0;0;0
Jogo;20240528;17;12;0;147.05882352941177;0;0;0
German Cano 2024;20240601;16;15;11;21.5;0;0;0
Especiais Jogadores;20240531;15;11;0;55.93333333333333;0;0;0
Fluminense x Alianza Lima-Peru;20240528;15;6;0;14.4;0;0;0
Jogo;20240530;15;12;0;96.93333333333334;0;0;0
Especiais Jogadores;20240528;14;9;0;84.5;0;0;0
Fluminense x Juventude-RS;20240601;14;12;0;29.142857142857142;0;0;0
Jogo;20240602;14;10;0;83.92857142857143;0;0;0
Marcelo 2024;20240530;14;13;0;26.5;0;0;0
Adversarios;20240601;13;13;0;18.076923076923077;0;0;0
Adversarios;20240602;13;13;0;26.076923076923077;0;0;0
Especiais Jogadores;20240527;13;11;0;143.23076923076923;0;0;0
Adversarios;20240527;12;12;1;17.333333333333332;0;0;0
Campeonatos;20240527;12;11;0;15.416666666666666;0;0;0
Campeonatos;20240529;12;11;0;15;0;0;0
Esteban Ostojich;20240529;12;9;0;52.416666666666664;0;0;0
Especiais Jogadores;20240529;11;7;0;12.636363636363637;0;0;0
Fluminense 3 X 2 Alianza Lima;20240530;11;10;0;37.36363636363637;0;0;0
Jogador;20240602;11;8;2;20.818181818181817;0;0;0
Jogo;20240529;11;8;0;61.09090909090909;0;0;0
Jogo;20240601;11;8;0;95.9090909090909;0;0;0
Arbitros;20240529;11;9;1;8.181818181818182;0;0;0
Adversarios;20240528;10;10;0;47.1;0;0;0
Adversarios;20240529;10;10;0;17.2;0;0;0
Especiais Jogadores;20240601;10;8;0;14.7;0;0;0
Fluminense x Juventude-RS;20240531;10;8;0;50.5;0;0;0
German Cano 2024;20240530;10;9;4;32.7;0;0;0
Adversarios;20240530;9;9;0;28.333333333333332;0;0;0
Campeonatos;20240528;9;9;0;30.555555555555557;0;0;0
Campeonatos;20240530;9;9;0;10.777777777777779;0;0;0
Fluminense x Alianza Lima-Peru;20240529;9;9;0;42.44444444444444;0;0;0
Fluminense x Alianza Lima-Peru;20240530;9;9;0;33.888888888888886;0;0;0
German Cano 2024;20240602;9;9;6;19.333333333333332;0;0;0
Especiais Campeonatos;20240529;8;6;0;17.375;0;0;0
Especiais Campeonatos;20240530;8;8;0;17.875;0;0;0
Informacoes Gerais;20240530;8;6;0;34.125;0;0;0
Libertadores da America;20240530;8;8;0;55.375;0;0;0
Tecnico;20240527;8;8;0;14.75;0;0;0
Especiais Tecnico;20240527;7;7;0;6;0;0;0
Fluminense x Vasco-RJ;20240602;7;7;6;24;0;0;0
German Cano 2024;20240528;7;7;5;11.714285714285714;0;0;0
Graficos;20240530;7;7;0;25.142857142857142;0;0;0
Libertadores da America;20240529;7;7;0;31.714285714285715;0;0;0
Libertadores da America;20240531;7;5;0;31.571428571428573;0;0;0
Campeonatos;20240602;6;6;0;26.333333333333332;0;0;0
Especiais Jogadores;20240602;6;6;0;20.5;0;0;0
Especiais Tecnico;20240529;6;5;0;3.8333333333333335;0;0;0
Fluminense 3 X 1 Toluca;20240528;6;6;4;60.833333333333336;0;0;0
Fluminense x Flamengo-RJ;20240602;6;5;0;15.833333333333334;0;0;0
Fluminense x Juventude-RS;20240528;6;3;0;13.333333333333334;0;0;0
Fluminense x Juventude-RS;20240530;6;6;0;18.333333333333332;0;0;0
Fluminense x Moto Club-MA;20240602;6;6;6;16.833333333333332;0;0;0
German Cano 2024;20240527;6;6;4;70.16666666666667;0;0;0
German Cano 2024;20240529;6;6;5;28.833333333333332;0;0;0
Graficos;20240527;6;6;1;7.833333333333333;0;0;0
Marcelo 2024;20240601;6;6;0;19.333333333333332;0;0;0
Tec - Fernando Diniz;20240529;6;5;0;10.333333333333334;0;0;0
Tec - Fernando Diniz;20240530;6;5;0;66.16666666666667;0;0;0
Todos os jogos em campeonato;20240529;6;4;0;13.166666666666666;0;0;0
Treinador com mais jogos;20240527;6;4;0;7.833333333333333;0;0;0
(not set);20240528;5;4;0;30.4;0;0;0
Brasileiro Serie B 1998;20240527;5;5;5;22.2;0;0;0
Especiais Jogos;20240531;5;3;0;8.4;0;0;0
Esteban Ostojich;20240530;5;5;0;39.4;0;0;0
Informacoes Gerais;20240527;5;5;0;15.2;0;0;0
Informacoes Gerais;20240531;5;5;0;72;0;0;0
Jogadores com mais titulos;20240527;5;3;0;26.4;0;0;0
John Kennedy 2024;20240530;5;5;0;21.6;0;0;0
Libertadores da America 2024;20240531;5;5;0;23.6;0;0;0
Maior Artilheiro em Campeonato;20240531;5;4;0;25.6;0;0;0
Maiores Artilheiros;20240527;5;4;0;49.8;0;0;0
Marcelo 2024;20240531;5;5;0;75;0;0;0
Matheus Delgado Candancan;20240601;5;4;0;3.8;0;0;0
Romerito 1989;20240527;5;4;0;10.8;0;0;0
Tecnico;20240529;5;5;0;20.8;0;0;0
Tecnico;20240530;5;4;0;14.4;0;0;0
Tecnico;20240602;5;5;0;44.2;0;0;0
Tecnicos com mais titulos;20240530;5;4;0;16.4;0;0;0
Arbitros;20240530;5;5;2;6;0;0;0
Arbitros;20240601;5;5;0;8.4;0;0;0
Aproveitamento Tecnicos no;20240528;4;1;0;9;0;0;0
Brasileiro 1984;20240527;4;3;0;15.5;0;0;0
Camisa;20240530;4;4;0;6.5;0;0;0
Especiais Adversarios;20240529;4;4;0;28;0;0;0
Especiais Campeonatos;20240527;4;4;0;19.75;0;0;0
Especiais Jogos;20240530;4;4;0;21.25;0;0;0
Especiais Jogos;20240601;4;3;0;13.75;0;0;0
Especiais Placares;20240602;4;3;0;6.25;0;0;0
Estadios;20240529;4;4;0;15.75;0;0;0
Flamengo 1 X 2 Fluminense;20240531;4;2;0;15.5;0;0;0
Fluminense 0 X 3 Sport;20240531;4;0;0;0;0;0;0
Fluminense 1 X 1 Juventude;20240602;4;4;0;20.5;0;0;0
Fluminense 2 X 1 Sao Paulo;20240531;4;3;0;12.75;0;0;0
Fluminense 3 X 2 Alianza Lima;20240531;4;4;0;19.25;0;0;0
Fluminense x Botafogo-RJ;20240529;4;4;0;65.25;0;0;0
Fluminense x Botafogo-RJ;20240531;4;3;0;3.75;0;0;0
Fluminense x Flamengo-RJ;20240531;4;4;0;11.5;0;0;0
Fluminense x Juventude-RS;20240529;4;1;0;3.75;0;0;0
Fred 2022;20240528;4;4;0;26.5;0;0;0
German Cano 2024;20240531;4;4;2;55;0;0;0
Gols do Marcelo;20240530;4;3;1;10.5;0;0;0
Gols do Paulinho;20240531;4;1;0;0;0;0;0
Graficos;20240601;4;3;0;26.25;0;0;0
Informacoes Gerais;20240601;4;4;0;18;0;0;0
Informacoes Gerais;20240602;4;3;0;12;0;0;0
Keno 2024;20240530;4;4;0;14.5;0;0;0
Libertadores da America 2022;20240531;4;3;0;17.5;0;0;0
Lima 2024;20240530;4;3;0;11.75;0;0;0
Maior Artilheiro em Temporada;20240527;4;3;0;15;0;0;0
Maiores Artilheiros;20240529;4;3;0;19.25;0;0;0
Maracana;20240529;4;3;0;2.75;0;0;0
Marlon 2024;20240531;4;3;0;14.75;0;0;0
Martinelli 2024;20240528;4;3;0;9.75;0;0;0
Martinelli 2024;20240530;4;4;1;14.75;0;0;0
Nene 2021;20240601;4;3;0;34;0;0;0
Todos os jogos no(a) Libertadores da America;20240529;4;3;0;126;0;0;0
Todos os jogos no(a) Libertadores da America;20240530;4;3;0;40;0;0;0
Tecnico;20240601;4;4;1;23.5;0;0;0
(not set);20240527;3;2;0;46;0;0;0
Alianza Lima 1 X 1 Fluminense;20240528;3;3;0;16.333333333333332;0;0;0
Artilheiros mais novos;20240527;3;2;0;19;0;0;0
Artilheiros na temporada 2024;20240530;3;3;0;29.333333333333332;0;0;0
Artilheiros no(a) Brasileiro 1984;20240527;3;2;0;11.333333333333334;0;0;0
Artilheiros no(a) Libertadores da America;20240530;3;3;0;62.666666666666664;0;0;0
Artilheiros no(a) Libertadores da America;20240531;3;2;0;13.666666666666666;0;0;0
Camisa;20240531;3;3;0;9.666666666666666;0;0;0
Campeonatos;20240601;3;2;0;20.666666666666668;0;0;0
Colo Colo 0 X 1 Fluminense;20240528;3;2;0;2;0;0;0
Consulta Jogo Numero contra adversario;20240527;3;3;1;102;0;0;0
Curiosidades e Titulos;20240602;3;2;0;47.666666666666664;0;0;0
Especiais Adversarios;20240528;3;2;0;7.333333333333333;0;0;0
Especiais Adversarios;20240530;3;2;0;15;0;0;0
Especiais Adversarios;20240531;3;3;0;7.666666666666667;0;0;0
Especiais Brasileirao;20240527;3;3;0;13.666666666666666;0;0;0
Especiais Campeonatos;20240528;3;3;0;78.66666666666667;0;0;0
Especiais Estadios;20240529;3;2;0;13;0;0;0
Especiais Estadios;20240530;3;3;0;30.666666666666668;0;0;0
Especiais Gols e Penalties;20240602;3;2;0;18.333333333333332;0;0;0
Especiais Jogos;20240527;3;3;0;26.666666666666668;0;0;0
Especiais Jogos;20240529;3;3;0;14.666666666666666;0;0;0
Especiais Tecnico;20240528;3;3;0;8;0;0;0
Esteban Ostojich;20240527;3;3;0;17;0;0;0
Estadios;20240530;3;3;0;42;0;0;0
Flamengo 0 X 0 Fluminense;20240528;3;3;0;13.666666666666666;0;0;0
Flamengo 0 X 0 Fluminense;20240531;3;2;0;19.333333333333332;0;0;0
Flamengo 2 X 0 Fluminense;20240601;3;2;0;37;0;0;0
Flamengo 5 X 2 Fluminense;20240602;3;3;0;25.333333333333332;0;0;0
Fluminense 0 X 2 Flamengo;20240528;3;3;0;9;0;0;0
Fluminense 1 X 1 Juventude;20240601;3;3;0;27;0;0;0
Fluminense 2 X 0 Sampaio Correa;20240528;3;2;0;1.6666666666666667;0;0;0
Fluminense 2 X 0 Vasco;20240531;3;3;0;34;0;0;0
Fluminense 2 X 1 Botafogo;20240531;3;3;0;79.66666666666667;0;0;0
Fluminense 2 X 1 Cerro Portenho;20240531;3;3;0;18.666666666666668;0;0;0
Fluminense 2 X 1 Flamengo;20240531;3;1;0;89.66666666666667;0;0;0
Fluminense 2 X 1 Paysandu Cricket;20240528;3;1;0;117;0;0;0
Fluminense 2 X 1 Rio Cricket;20240602;3;1;0;41;0;0;0
Fluminense 2 X 3 ABC;20240530;3;2;2;8.666666666666666;0;0;0
Fluminense 3 X 1 Vasco;20240531;3;1;0;61.333333333333336;0;0;0
Fluminense 4 X 0 Juventude;20240601;3;3;0;14;0;0;0
Fluminense 7 X 2 Botafogo;20240602;3;3;3;125.66666666666667;0;0;0
Fluminense x Alianza Lima-Peru;20240527;3;1;0;5.333333333333333;0;0;0
Fluminense x Alianza Lima-Peru;20240531;3;3;0;5.333333333333333;0;0;0
Fluminense x Botafogo-RJ;20240601;3;2;0;47;0;0;0
Fluminense x Botafogo-RJ;20240602;3;3;0;55;0;0;0
Fluminense x Paris Saint Germain-Franca;20240530;3;3;3;22.333333333333332;0;0;0
Fabio 2024;20240530;3;3;0;30.333333333333332;0;0;0
Fabio 2024;20240531;3;3;0;27;0;0;0
Gols do Paulinho;20240530;3;1;0;109;0;0;0
Gols do Paulinho;20240601;3;1;0;1.6666666666666667;0;0;0
Guga 2024;20240530;3;3;0;16.666666666666668;0;0;0
Guga 2024;20240531;3;3;0;24.333333333333332;0;0;0
Hercules 1942;20240527;3;3;0;5.333333333333333;0;0;0
Informacoes Gerais;20240529;3;3;0;7.333333333333333;0;0;0
Jhon Arias 2024;20240531;3;3;0;26.333333333333332;0;0;0
Jogadores mais novos;20240527;3;2;0;15.333333333333334;0;0;0
Juventude 6 X 0 Fluminense;20240601;3;2;2;1;0;0;0
Libertadores da America;20240528;3;3;0;37;0;0;0
Libertadores da America 1971;20240531;3;2;0;16.666666666666668;0;0;0
Libertadores da America 1985;20240528;3;3;0;16.333333333333332;0;0;0
Libertadores da America 2008;20240528;3;3;0;22.666666666666668;0;0;0
Libertadores da America 2021;20240531;3;3;0;27.666666666666668;0;0;0
Maior Artilheiro em Campeonato;20240527;3;3;0;20.333333333333332;0;0;0
Maior Artilheiro em Temporada;20240530;3;3;0;2.3333333333333335;0;0;0
Maiores Artilheiros;20240530;3;3;0;16;0;0;0
Maiores Publicos - Classicos;20240530;3;3;3;42.666666666666664;0;0;0
Maiores Publicos - Libertadores da America 2024;20240531;3;1;0;10.333333333333334;0;0;0
Mais jogos no elenco atual;20240529;3;3;0;23;0;0;0
Mais jogos no elenco atual;20240530;3;3;0;87.33333333333333;0;0;0
Mais jogou em Campeonato;20240528;3;3;0;31.666666666666668;0;0;0
Mais jogou em Campeonato;20240530;3;3;0;276;0;0;0
Maracana;20240530;3;3;0;27.666666666666668;0;0;0
Marcelo 2024;20240529;3;3;0;36.666666666666664;0;0;0
Marcelo 2024;20240602;3;1;0;11.666666666666666;0;0;0
Matheus Delgado Candancan;20240602;3;1;0;10.333333333333334;0;0;0
Paulo Henrique Ganso 2024;20240530;3;3;0;23;0;0;0
Paulo Henrique Ganso 2024;20240531;3;3;0;48;0;0;0
Paulo Henrique Ganso 2024;20240601;3;2;0;24.333333333333332;0;0;0
Presenca Estrangeiros;20240531;3;1;0;0.6666666666666666;0;0;0
Publico;20240531;3;1;0;31;0;0;0
Sampaio Correa 0 X 2 Fluminense;20240527;3;3;0;15;0;0;0
Samuel Xavier 2024;20240530;3;3;0;12.333333333333334;0;0;0
Santos 2 X 2 Fluminense;20240531;3;1;0;23.666666666666668;0;0;0
Tec - Fernando Diniz;20240531;3;3;0;64;0;0;0
Tec - Fernando Diniz;20240601;3;3;0;92.66666666666667;0;0;0
Thiago Silva 2008;20240528;3;3;0;39.333333333333336;0;0;0
Todas as camisas;20240530;3;2;0;32.666666666666664;0;0;0
Todas as camisas;20240601;3;2;1;26.666666666666668;0;0;0
Todos os jogos em campeonato;20240530;3;3;0;4.333333333333333;0;0;0
Tecnico;20240528;3;3;0;6;0;0;0
Tecnico;20240531;3;3;0;5.333333333333333;0;0;0
Tecnicos com mais titulos;20240529;3;3;0;47.666666666666664;0;0;0
