# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240520
# Data de termino: 20240526
Nome do evento;Data;Contagem de eventos;Total de usuarios;Contagem de eventos por usuario;Receita total
page_view;20240523;1714;122;14.403361344537815;0
user_engagement;20240523;1600;104;15.686274509803921;0
page_view;20240522;1549;128;12.293650793650794;0
page_view;20240524;1434;102;14.484848484848484;0
user_engagement;20240522;1309;103;12.833333333333334;0
user_engagement;20240524;1135;85;13.511904761904763;0
scroll;20240523;1027;92;11.285714285714286;0
page_view;20240526;960;101;14.117647058823529;0
page_view;20240520;944;97;10.373626373626374;0
page_view;20240521;913;108;9.03960396039604;0
scroll;20240522;913;92;9.923913043478262;0
scroll;20240524;883;79;11.177215189873417;0
user_engagement;20240526;835;84;9.94047619047619;0
user_engagement;20240521;757;88;8.80232558139535;0
page_view;20240525;728;76;10.4;0
user_engagement;20240520;665;77;8.866666666666667;0
scroll;20240526;609;78;7.909090909090909;0
user_engagement;20240525;549;61;9;0
scroll;20240520;542;74;7.424657534246576;0
scroll;20240521;499;75;6.743243243243243;0
scroll;20240525;491;56;8.767857142857142;0
form_submit;20240524;456;47;9.702127659574469;0
form_submit;20240523;403;59;6.830508474576271;0
form_submit;20240522;391;64;6.109375;0
form_submit;20240520;381;36;10.583333333333334;0
form_submit;20240526;357;35;10.2;0
click;20240524;303;9;33.666666666666664;0
form_start;20240522;299;64;4.671875;0
form_submit;20240525;294;31;9.483870967741936;0
form_submit;20240521;251;42;5.976190476190476;0
click;20240522;242;13;18.615384615384617;0
click;20240520;238;9;26.444444444444443;0
form_start;20240524;213;47;4.531914893617022;0
form_start;20240523;210;59;3.559322033898305;0
click;20240525;204;8;25.5;0
session_start;20240522;185;127;1.4919354838709677;0
session_start;20240523;161;123;1.3644067796610169;0
click;20240526;150;8;18.75;0
session_start;20240524;141;102;1.4242424242424243;0
session_start;20240521;139;109;1.39;0
form_start;20240520;124;36;3.4444444444444446;0
session_start;20240520;123;99;1.3516483516483517;0
form_start;20240521;121;42;2.880952380952381;0
session_start;20240526;118;90;2.5652173913043477;0
form_start;20240526;109;37;2.945945945945946;0
click;20240523;102;9;11.333333333333334;0
session_start;20240525;100;77;1.408450704225352;0
click;20240521;94;9;10.444444444444445;0
form_start;20240525;94;33;2.8484848484848486;0
first_visit;20240522;75;75;1;0
first_visit;20240523;72;72;1;0
first_visit;20240520;64;64;1;0
first_visit;20240524;64;64;1;0
first_visit;20240521;56;56;1;0
first_visit;20240526;56;56;2;0
first_visit;20240525;33;32;1.03125;0
