# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240603
# Data de termino: 20240609
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Estatisticas Fluminense - Principal;2024060821;13;12;4;22.846153846153847;0;0;0
Adversarios;2024060821;8;8;0;29.375;0;0;0
Estatisticas Fluminense - Principal;2024060422;8;8;3;20.5;0;0;0
Estatisticas Fluminense - Principal;2024060614;8;8;6;21.875;0;0;0
Estatisticas Fluminense - Principal;2024060820;8;8;1;42.875;0;0;0
Estatisticas Fluminense - Principal;2024060911;8;7;2;63.75;0;0;0
Fluminense x Gremio-RS;2024060821;8;7;0;47;0;0;0
Estatisticas Fluminense - Principal;2024060513;7;6;3;18;0;0;0
Estatisticas Fluminense - Principal;2024060522;7;7;2;5.142857142857143;0;0;0
Estatisticas Fluminense - Principal;2024060720;7;7;3;9.714285714285714;0;0;0
Jogador;2024060614;7;7;0;65.28571428571429;0;0;0
Adversarios;2024060822;6;6;0;15.333333333333334;0;0;0
Estatisticas Fluminense - Principal;2024060313;6;6;3;15;0;0;0
Estatisticas Fluminense - Principal;2024060412;6;6;2;16.666666666666668;0;0;0
Estatisticas Fluminense - Principal;2024060511;6;6;2;19.166666666666668;0;0;0
Estatisticas Fluminense - Principal;2024060611;6;6;1;21.5;0;0;0
Estatisticas Fluminense - Principal;2024060617;6;6;0;4.166666666666667;0;0;0
Estatisticas Fluminense - Principal;2024060716;6;6;0;85.33333333333333;0;0;0
Jogador;2024060711;6;6;0;22.5;0;0;0
Adversarios;2024060313;5;5;0;33.4;0;0;0
Estatisticas Fluminense - Principal;2024060320;5;5;0;11.6;0;0;0
Estatisticas Fluminense - Principal;2024060410;5;5;1;6.4;0;0;0
Estatisticas Fluminense - Principal;2024060417;5;5;1;7.8;0;0;0
Estatisticas Fluminense - Principal;2024060512;5;5;0;3;0;0;0
Estatisticas Fluminense - Principal;2024060523;5;5;2;30.6;0;0;0
Estatisticas Fluminense - Principal;2024060612;5;5;2;42;0;0;0
Estatisticas Fluminense - Principal;2024060710;5;5;0;17.4;0;0;0
Estatisticas Fluminense - Principal;2024060713;5;5;2;10.8;0;0;0
Estatisticas Fluminense - Principal;2024060819;5;5;1;15.4;0;0;0
Estatisticas Fluminense - Principal;2024060822;5;5;0;17.8;0;0;0
Estatisticas Fluminense - Principal;2024060910;5;5;3;29.2;0;0;0
Jogador;2024060615;5;4;0;111.8;0;0;0
Estatisticas Fluminense - Principal;2024060311;4;3;2;9;0;0;0
Estatisticas Fluminense - Principal;2024060315;4;4;1;62.5;0;0;0
Estatisticas Fluminense - Principal;2024060316;4;4;3;45;0;0;0
Estatisticas Fluminense - Principal;2024060319;4;4;1;3.25;0;0;0
Estatisticas Fluminense - Principal;2024060321;4;4;1;24;0;0;0
Estatisticas Fluminense - Principal;2024060413;4;4;1;5.25;0;0;0
Estatisticas Fluminense - Principal;2024060414;4;4;0;3.25;0;0;0
Estatisticas Fluminense - Principal;2024060416;4;4;0;11.5;0;0;0
Estatisticas Fluminense - Principal;2024060423;4;3;1;9.5;0;0;0
Estatisticas Fluminense - Principal;2024060515;4;4;2;20.25;0;0;0
Estatisticas Fluminense - Principal;2024060615;4;4;0;14.75;0;0;0
Estatisticas Fluminense - Principal;2024060616;4;4;1;12;0;0;0
Estatisticas Fluminense - Principal;2024060619;4;4;1;16.25;0;0;0
Estatisticas Fluminense - Principal;2024060620;4;4;1;23;0;0;0
Estatisticas Fluminense - Principal;2024060621;4;4;1;85;0;0;0
Estatisticas Fluminense - Principal;2024060709;4;4;1;49;0;0;0
Estatisticas Fluminense - Principal;2024060711;4;4;0;3;0;0;0
Estatisticas Fluminense - Principal;2024060909;4;3;0;10.25;0;0;0
Estatisticas Fluminense - Principal;2024060913;4;4;0;18.5;0;0;0
Estatisticas Fluminense - Principal;2024060915;4;4;0;17.75;0;0;0
Estatisticas Fluminense - Principal;2024060917;4;4;1;29.75;0;0;0
Jogador;2024060421;4;4;1;116.5;0;0;0
Jogador;2024060611;4;4;0;9;0;0;0
Jogador;2024060612;4;4;0;23;0;0;0
Jogador;2024060712;4;4;0;39.75;0;0;0
Jogador;2024060714;4;4;0;15.5;0;0;0
Jogo;2024060716;4;4;0;43.75;0;0;0
Adversarios;2024060314;3;3;0;12.333333333333334;0;0;0
Adversarios;2024060316;3;3;0;21.666666666666668;0;0;0
