# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240101
# Data de termino: 20240108
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20240108;150;132;126;0.7682926829268293;0.84;45.93333333333333;1185;0;0
web / mobile;20240104;77;64;58;0.6304347826086957;0.7532467532467533;111.44155844155844;1037;0;0
web / mobile;20240106;63;45;53;0.6883116883116883;0.8412698412698413;62.42857142857143;864;0;0
web / mobile;20240107;61;43;52;0.7027027027027027;0.8524590163934426;108.85245901639344;910;0;0
web / mobile;20240103;56;49;52;0.7536231884057971;0.9285714285714286;94.78571428571429;852;0;0
web / mobile;20240102;53;42;45;0.6716417910447762;0.8490566037735849;84.56603773584905;1030;0;0
web / mobile;20240105;51;40;34;0.5964912280701754;0.6666666666666666;52.92156862745098;576;0;0
web / mobile;20240101;49;37;48;0.7741935483870968;0.9795918367346939;86.59183673469387;785;0;0
web / desktop;20240108;48;29;57;0.76;1.1875;546.4375;1714;0;0
web / desktop;20240104;38;15;50;0.8333333333333334;1.3157894736842106;1096.4473684210527;2053;0;0
web / desktop;20240103;35;20;38;0.7755102040816326;1.0857142857142856;669.9714285714285;1010;0;0
web / desktop;20240102;30;12;40;0.7692307692307693;1.3333333333333333;590.3333333333334;942;0;0
web / desktop;20240105;24;8;30;0.6976744186046512;1.25;1633.6666666666667;1847;0;0
web / desktop;20240106;22;11;29;0.7435897435897436;1.3181818181818181;1788.5454545454545;1834;0;0
web / desktop;20240107;19;8;26;0.8125;1.368421052631579;1513.7368421052631;1846;0;0
web / desktop;20240101;10;1;16;0.8;1.6;304.6;1054;0;0
web / tablet;20240101;2;2;2;1;1;20.5;16;0;0
web / tablet;20240107;2;1;1;0.3333333333333333;0.5;236;19;0;0
web / tablet;20240108;2;2;1;0.3333333333333333;0.5;18.5;10;0;0
