# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240401
# Data de termino: 20240407
Caminho da pagina e classe da tela;Data;Contagem de eventos;Visualizacoes
/estadio;20240407;4;1
/estadio_todos;20240407;2;1
/estadio;20240405;8;2
/estadio_curiosidade;20240405;3;1
/estadio_todos;20240405;4;1
/estadio;20240404;9;2
/estadio;20240403;21;4
/estadio_todos;20240403;6;3
/estadio;20240402;9;3
/estadio_todos;20240402;3;1
/estadio;20240401;17;2
