# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240715
# Data de termino: 20240721
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total;Taxa de eventos principais do usuario
Direct;20240716;104;30;0.22058823529411764;0.2564102564102564;87.24786324786325;1919;0;0;0
Direct;20240715;98;26;0.20155038759689922;0.22807017543859648;38.59649122807018;1015;0;0;0
Organic Search;20240721;70;66;0.7415730337078652;0.8461538461538461;81.05128205128206;1044;0;0;0
Direct;20240721;61;61;0.5304347826086957;0.6703296703296703;84.47252747252747;1281;0;0;0
Direct;20240720;37;23;0.359375;0.4339622641509434;253.35849056603774;1408;0;0;0
Organic Search;20240717;33;34;0.723404255319149;0.7391304347826086;57.47826086956522;440;0;0;0
Direct;20240718;30;56;0.7466666666666667;1.018181818181818;202.74545454545455;1407;0;0;0
Organic Search;20240718;30;43;0.7543859649122807;0.8775510204081632;152.89795918367346;769;0;0;0
Organic Search;20240719;28;40;0.8333333333333334;0.8888888888888888;179.57777777777778;943;0;0;0
Organic Search;20240720;28;31;0.7380952380952381;0.8157894736842105;96.63157894736842;920;0;0;0
Organic Search;20240716;21;17;0.68;0.7083333333333334;40.75;156;0;0;0
Organic Search;20240715;18;25;0.8620689655172413;0.9615384615384616;127.5;460;0;0;0
Direct;20240717;10;27;0.7941176470588235;1.173913043478261;128.17391304347825;657;0;0;0
Direct;20240719;10;24;0.631578947368421;1;101.04166666666667;455;0;0;0
Organic Social;20240718;2;1;0.5;0.5;2;7;0;0;0
Referral;20240721;2;2;0.5;1;22.5;21;0;0;0
Referral;20240716;1;0;0;0;0;5;0;0;0
Referral;20240717;1;0;0;0;9;4;0;0;0
Organic Social;20240720;0;1;1;1;32;12;0;0;0
Organic Social;20240721;0;1;1;1;163;43;0;0;0
Referral;20240718;0;2;1;2;1101;378;0;0;0
