# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240701
# Data de termino: 20240707
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total;Taxa de eventos principais do usuario
Organic Search;20240704;62;41;0.5324675324675324;0.5942028985507246;53.72463768115942;504;0;0;0
Organic Search;20240702;36;35;0.6862745098039216;0.7291666666666666;85.25;512;0;0;0
Organic Search;20240707;36;29;0.6170212765957447;0.6904761904761905;52.57142857142857;322;0;0;0
Organic Search;20240701;31;39;0.7358490566037735;0.8478260869565217;151.58695652173913;1322;0;0;0
Organic Search;20240703;31;30;0.6666666666666666;0.7317073170731707;108.1951219512195;484;0;0;0
Organic Search;20240706;29;32;0.6956521739130435;0.7619047619047619;69.26190476190476;529;0;0;0
Organic Search;20240705;22;24;0.6486486486486487;0.7272727272727273;58.06060606060606;272;0;0;0
Direct;20240701;13;34;0.576271186440678;0.9714285714285714;123.25714285714285;819;0;0;0
Direct;20240703;11;34;0.5862068965517241;1.0303030303030303;121.3030303030303;713;0;0;0
Direct;20240702;10;33;0.7333333333333333;1.1379310344827587;219.13793103448276;837;0;0;0
Direct;20240704;10;52;0.6933333333333334;1.2682926829268293;149.3170731707317;1176;0;0;0
Direct;20240705;8;49;0.765625;1.6333333333333333;177.23333333333332;1157;0;0;0
Direct;20240706;6;33;0.75;1.1379310344827587;274.7931034482759;684;0;0;0
Direct;20240707;5;32;0.6153846153846154;1.4545454545454546;222.5;893;0;0;0
Organic Social;20240703;3;1;0.3333333333333333;0.3333333333333333;0.3333333333333333;10;0;0;0
Referral;20240707;3;2;0.6666666666666666;0.6666666666666666;9.666666666666666;13;0;0;0
Referral;20240704;2;3;1;1;698;418;0;0;0
Referral;20240703;1;1;1;1;32;6;0;0;0
Organic Social;20240704;0;0;0;0;0;4;0;0;0
Referral;20240705;0;1;1;1;100;19;0;0;0
Referral;20240706;0;1;1;1;366;34;0;0;0
