# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240729
# Data de termino: 20240804
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total;Taxa de eventos principais do usuario
Organic Search;20240801;75;62;0.6326530612244898;0.6888888888888889;57.87777777777778;890;0;0;0
Organic Search;20240804;44;44;0.7333333333333333;0.8;87.2909090909091;629;0;0;0
Organic Search;20240731;34;39;0.7358490566037735;0.8125;76.39583333333333;567;0;0;0
Organic Search;20240730;29;40;0.7547169811320755;0.9090909090909091;117.9090909090909;924;0;0;0
Organic Search;20240803;27;27;0.5869565217391305;0.84375;80.5;496;0;0;0
Organic Search;20240802;26;39;0.8297872340425532;0.9512195121951219;142.46341463414635;1287;0;0;0
Organic Search;20240729;24;32;0.6530612244897959;0.8;218.225;878;0;0;0
Direct;20240801;17;65;0.7471264367816092;1.1403508771929824;232.40350877192984;3056;0;0;0
Direct;20240731;15;42;0.7368421052631579;1.0769230769230769;178.51282051282053;1452;0;0;0
Direct;20240802;13;46;0.7540983606557377;1.3142857142857143;163.82857142857142;1049;0;0;0
Direct;20240729;11;46;0.71875;1.1794871794871795;313.53846153846155;1724;0;0;0
Direct;20240804;11;61;0.7625;1.525;450.5;2855;0;0;0
Direct;20240803;10;33;0.7333333333333333;0.9705882352941176;269.2647058823529;1419;0;0;0
Direct;20240730;7;39;0.75;1.3928571428571428;383.07142857142856;1926;0;0;0
Organic Social;20240729;2;1;0.5;0.5;1;8;0;0;0
Organic Social;20240802;1;1;1;1;298;66;0;0;0
Referral;20240801;1;1;0.5;0.5;3.5;9;0;0;0
Referral;20240804;1;2;1;1;353;156;0;0;0
Referral;20240729;0;2;0.6666666666666666;2;245;147;0;0;0
Referral;20240730;0;2;0.5;2;92;21;0;0;0
Referral;20240802;0;0;0;0;0;2;0;0;0
Referral;20240803;0;1;1;1;1470;174;0;0;0
