# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
#  
# Data de inicio: 20240701
# Data de termino: 20240707
Nº dia;Usuarios
0000;81
0001;77
0002;78
0003;113
0004;64
0005;72
0006;67

# Data de inicio: 20240701
# Data de termino: 20240707
Nº dia;Novos usuarios
0000;44
0001;46
0002;46
0003;74
0004;30
0005;35
0006;44

# Qual e a tendencia dos usuarios ativos?
# Data de inicio: 20240701
# Data de termino: 20240707
Nº dia;30 dias;7 dias;1 dia
0000;1923;515;81
0001;1903;502;77
0002;1890;498;78
0003;1899;484;113
0004;1887;472;64
0005;1877;463;72
0006;1871;447;67

#  
# Data de inicio: 20240701
# Data de termino: 20240707
Nome do publico-alvo;Usuarios
All Users;447

#  
# Data de inicio: 20240701
# Data de termino: 20240707
Nome do evento;Contagem de eventos
page_view;3607
user_engagement;2765
scroll;1989
session_start;764
form_submit;603
form_start;466
first_visit;319
click;215

#  
# Data de inicio: 20240701
# Data de termino: 20240707
Nº dia;Tempo medio de engajamento
0000;139.34567901234567
0001;135.67532467532467
0002;108.61538461538461
0003;105.51327433628319
0004;114.578125
0005;156.16666666666666
0006;106.44776119402985

# Data de inicio: 20240701
# Data de termino: 20240707
Nº dia;Sessoes engajadas por usuario
0000;0.9012345679012346
0001;0.8831168831168831
0002;0.8461538461538461
0003;0.8495575221238938
0004;1.15625
0005;0.9166666666666666
0006;0.9402985074626866

# Data de inicio: 20240701
# Data de termino: 20240707
Nº dia;Tempo de engajamento medio por sessao
0000;100.77678571428571
0001;108.82291666666667
0002;79.17757009345794
0003;75.94267515923566
0004;71.8921568627451
0005;123.56043956043956
0006;69.92156862745098

#  
# Data de inicio: 20240701
# Data de termino: 20240707
Nº dia;DAU / MAU;DAU / WAU;WAU / MAU
0000;0.0421216848673947;0.15728155339805824;0.26781071242849713
0001;0.04046242774566474;0.15338645418326693;0.26379400945874937
0002;0.04126984126984127;0.1566265060240964;0.2634920634920635
0003;0.05950500263296472;0.2334710743801653;0.25487098472880465
0004;0.03391626921038686;0.13559322033898305;0.25013248542660305
0005;0.038359083644112946;0.15550755939524838;0.24667021843367076
0006;0.03580972741849278;0.14988814317673377;0.23890967397113844
