# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240603
# Data de termino: 20240609
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total;Taxa de eventos principais do usuario
Organic Search;20240603;44;45;0.703125;0.8333333333333334;105.5;769;0;0;0
Organic Search;20240604;43;54;0.7397260273972602;0.9;120.26666666666667;1089;0;0;0
Organic Search;20240608;41;47;0.7230769230769231;0.7966101694915254;133.91525423728814;991;0;0;0
Organic Search;20240609;34;47;0.8392857142857143;0.9215686274509803;140.7450980392157;748;0;0;0
Organic Search;20240607;33;40;0.7843137254901961;0.9090909090909091;108.31818181818181;742;0;0;0
Organic Search;20240605;30;37;0.8043478260869565;0.925;128.55;706;0;0;0
Organic Search;20240606;27;43;0.7962962962962963;1;193.06976744186048;1074;0;0;0
Direct;20240606;16;49;0.7;1.2564102564102564;302.1025641025641;1733;0;0;0
Direct;20240603;14;48;0.8135593220338984;1.263157894736842;202.1578947368421;1347;0;0;0
Direct;20240605;13;45;0.703125;1.125;209.85;2079;0;0;0
Direct;20240607;13;51;0.7391304347826086;1.3783783783783783;422.05405405405406;2926;0;0;0
Direct;20240608;12;45;0.7758620689655172;1.3235294117647058;174.3235294117647;866;0;0;0
Direct;20240604;11;33;0.6226415094339622;0.9166666666666666;318.47222222222223;1651;0;0;0
Direct;20240609;7;30;0.7142857142857143;1.0714285714285714;347.17857142857144;1188;0;0;0
Referral;20240604;2;1;0.5;0.5;74.5;14;0;0;0
Referral;20240608;1;1;0.5;1;68;12;0;0;0
Referral;20240609;1;0;0;0;0;3;0;0;0
Organic Social;20240605;0;1;1;1;39;12;0;0;0
Organic Social;20240606;0;1;0.25;1;311;101;0;0;0
Organic Social;20240609;0;1;1;1;154;51;0;0;0
Referral;20240603;0;1;1;1;75;10;0;0;0
Referral;20240605;0;2;0.6666666666666666;1;162.5;80;0;0;0
Referral;20240607;0;0;0;0;0;4;0;0;0
