# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240506
# Data de termino: 20240512
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
Rio de Janeiro;20240510;43;18;54;0.7941176470588235;1.255813953488372;349.09302325581393;2084;0;0
Rio de Janeiro;20240508;42;16;42;0.7777777777777778;1;187.66666666666666;838;0;0
Rio de Janeiro;20240509;40;18;51;0.7391304347826086;1.275;420.65;2500;0;0
Rio de Janeiro;20240512;35;23;37;0.8222222222222222;1.0571428571428572;156.42857142857142;1052;0;0
Rio de Janeiro;20240511;28;11;30;0.7692307692307693;1.0714285714285714;156.71428571428572;744;0;0
Rio de Janeiro;20240506;26;12;28;0.6666666666666666;1.0769230769230769;276.3076923076923;1345;0;0
Rio de Janeiro;20240507;26;8;31;0.8378378378378378;1.1923076923076923;164.34615384615384;1008;0;0
(not set);20240509;12;11;7;0.5833333333333334;0.5833333333333334;62.166666666666664;80;0;0
Niteroi;20240510;11;4;13;0.8666666666666667;1.1818181818181819;286;468;0;0
Sao Paulo;20240509;9;8;7;0.7777777777777778;0.7777777777777778;40.111111111111114;68;0;0
Brasilia;20240509;8;4;8;1;1;205.625;65;0;0
(not set);20240506;7;6;6;0.6666666666666666;0.8571428571428571;119.28571428571429;91;0;0
Niteroi;20240512;7;2;8;1;1.1428571428571428;138.85714285714286;125;0;0
(not set);20240510;6;5;6;1;1;213;136;0;0
(not set);20240512;6;5;4;0.5714285714285714;0.6666666666666666;22;35;0;0
Brasilia;20240506;6;4;6;0.8571428571428571;1;75.5;94;0;0
Brasilia;20240507;6;3;6;0.6666666666666666;1;51.666666666666664;89;0;0
Ribeirao Preto;20240506;6;6;6;1;1;38.833333333333336;34;0;0
Sao Paulo;20240506;6;5;6;0.8571428571428571;1;60.333333333333336;34;0;0
(not set);20240511;5;5;2;0.3333333333333333;0.4;11.6;39;0;0
Sao Paulo;20240507;5;2;5;1;1;58;41;0;0
Sao Paulo;20240510;5;3;3;0.5;0.6;75.4;71;0;0
Sao Paulo;20240512;5;5;3;0.6;0.6;66.2;32;0;0
Duque de Caxias;20240509;4;2;3;0.6;0.75;39.5;96;0;0
Goiania;20240508;4;2;5;1;1.25;132;156;0;0
Niteroi;20240506;4;0;4;0.6666666666666666;1;82.5;48;0;0
Nova Iguacu;20240511;4;4;3;0.75;0.75;94;94;0;0
Sao Paulo;20240511;4;2;2;0.4;0.5;98;41;0;0
(not set);20240507;3;2;2;0.5;0.6666666666666666;40.666666666666664;22;0;0
(not set);20240508;3;3;2;0.6666666666666666;0.6666666666666666;17.333333333333332;20;0;0
Brasilia;20240511;3;1;6;0.75;2;663.3333333333334;258;0;0
Manaus;20240510;3;2;4;1;1.3333333333333333;119;42;0;0
Natal;20240506;3;2;3;0.75;1;283.3333333333333;74;0;0
Niteroi;20240508;3;0;5;0.7142857142857143;1.6666666666666667;245;74;0;0
Sao Goncalo;20240506;3;1;2;0.4;0.6666666666666666;26.666666666666668;47;0;0
Shanghai;20240510;3;3;0;0;0;0;9;0;0
Shanghai;20240511;3;3;0;0;0;0;9;0;0
Arapiraca;20240512;2;2;1;0.5;0.5;9;8;0;0
Belo Horizonte;20240509;2;2;2;1;1;72;11;0;0
Belo Horizonte;20240510;2;0;2;1;1;106.5;21;0;0
Belo Horizonte;20240512;2;2;1;0.5;0.5;115.5;19;0;0
Brasilia;20240512;2;0;4;1;2;955;354;0;0
Campo Grande;20240510;2;0;2;1;1;95;39;0;0
Campos dos Goytacazes;20240507;2;1;2;1;1;24.5;8;0;0
Carapicuiba;20240508;2;1;2;1;1;101.5;56;0;0
Curitiba;20240507;2;2;2;1;1;78;20;0;0
Duque de Caxias;20240510;2;1;2;1;1;36.5;22;0;0
Fortaleza;20240507;2;1;2;1;1;20;8;0;0
Fortaleza;20240511;2;1;2;1;1;92.5;25;0;0
Joao Pessoa;20240508;2;2;2;1;1;15.5;12;0;0
Juiz de Fora;20240509;2;2;2;1;1;71;20;0;0
Juiz de Fora;20240512;2;1;1;0.5;0.5;52.5;34;0;0
Jundiai;20240509;2;2;2;1;1;17;9;0;0
Manaus;20240507;2;0;2;1;1;39.5;11;0;0
Manaus;20240509;2;1;2;1;1;249.5;76;0;0
New York;20240509;2;2;1;0.5;0.5;10.5;7;0;0
Niteroi;20240509;2;2;2;1;1;102.5;39;0;0
Niteroi;20240511;2;0;3;1;1.5;50;23;0;0
