# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240129
# Data de termino: 20240204
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240201;55;57;0.6477272727272727;0.8260869565217391;119.53623188405797;1299;0;0
Organic Search;20240202;43;64;0.8;0.9846153846153847;190.13846153846154;1548;0;0
Organic Search;20240130;39;43;0.7543859649122807;0.8958333333333334;171.0625;1243;0;0
Organic Search;20240204;37;40;0.6896551724137931;0.8695652173913043;145.95652173913044;760;0;0
Organic Search;20240131;29;37;0.74;0.9024390243902439;167.34146341463415;1215;0;0
Organic Search;20240203;27;32;0.6956521739130435;0.9411764705882353;166.38235294117646;759;0;0
Direct;20240204;25;75;0.75;1.2295081967213115;200.52459016393442;2566;0;0
Direct;20240201;23;64;0.7111111111111111;1.1636363636363636;177.6727272727273;1759;0;0
Direct;20240202;17;68;0.7727272727272727;1.2830188679245282;269.8679245283019;2330;0;0
Organic Search;20240129;13;13;0.7647058823529411;0.8125;46;123;0;0
Direct;20240130;11;39;0.75;1.1142857142857143;271.37142857142857;1642;0;0
Direct;20240203;10;51;0.8793103448275862;1.275;199.175;1593;0;0
Direct;20240131;9;52;0.7647058823529411;1.5294117647058822;180.5;1566;0;0
Direct;20240129;3;11;0.7333333333333333;0.8461538461538461;102.92307692307692;306;0;0
Referral;20240201;2;6;0.8571428571428571;1.5;789.75;162;0;0
Organic Social;20240204;0;1;0.5;1;79;36;0;0
Referral;20240202;0;0;0;0;0;2;0;0
Referral;20240203;0;1;0.5;1;101;19;0;0
