# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230902
# Data de termino: 20230908
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
Estatisticas Fluminense - Principal;2023090318;16;16;3;6.9375;0;0
Estatisticas Fluminense - Principal;2023090613;8;8;2;6.75;0;0
Jogador;2023090712;8;8;0;35.25;0;0
Estatisticas Fluminense - Principal;2023090212;7;7;2;2;0;0
Estatisticas Fluminense - Principal;2023090216;7;7;0;2.857142857142857;0;0
Estatisticas Fluminense - Principal;2023090314;7;7;4;3;0;0
Estatisticas Fluminense - Principal;2023090316;7;6;2;11.142857142857142;0;0
Estatisticas Fluminense - Principal;2023090319;7;7;2;7;0;0
Estatisticas Fluminense - Principal;2023090511;7;7;1;2.5714285714285716;0;0
Estatisticas Fluminense - Principal;2023090513;7;7;3;2.7142857142857144;0;0
Estatisticas Fluminense - Principal;2023090522;7;7;4;17.714285714285715;0;0
Estatisticas Fluminense - Principal;2023090623;7;6;1;14;0;0
Adversarios;2023090318;6;6;0;24.833333333333332;0;0
Consultas Especiais;2023090318;6;6;0;3.5;0;0
Estatisticas Fluminense - Principal;2023090209;6;5;1;4.333333333333333;0;0
Estatisticas Fluminense - Principal;2023090309;6;6;4;2.8333333333333335;0;0
Estatisticas Fluminense - Principal;2023090315;6;6;4;5.666666666666667;0;0
Estatisticas Fluminense - Principal;2023090317;6;6;2;3.6666666666666665;0;0
Estatisticas Fluminense - Principal;2023090413;6;6;3;3.6666666666666665;0;0
Estatisticas Fluminense - Principal;2023090415;6;6;0;12.5;0;0
Estatisticas Fluminense - Principal;2023090416;6;6;2;2.8333333333333335;0;0
Estatisticas Fluminense - Principal;2023090514;6;6;1;5.5;0;0
Estatisticas Fluminense - Principal;2023090517;6;6;1;3.6666666666666665;0;0
Estatisticas Fluminense - Principal;2023090609;6;6;1;4.166666666666667;0;0
Estatisticas Fluminense - Principal;2023090615;6;6;0;3.3333333333333335;0;0
Estatisticas Fluminense - Principal;2023090712;6;6;3;2.8333333333333335;0;0
Estatisticas Fluminense - Principal;2023090815;6;6;0;11.166666666666666;0;0
Estatisticas Fluminense - Principal;2023090211;5;5;1;4.8;0;0
Estatisticas Fluminense - Principal;2023090218;5;5;3;4.4;0;0
Estatisticas Fluminense - Principal;2023090219;5;5;1;74.6;0;0
Estatisticas Fluminense - Principal;2023090220;5;5;1;4.4;0;0
Estatisticas Fluminense - Principal;2023090320;5;5;1;16.4;0;0
Estatisticas Fluminense - Principal;2023090322;5;5;0;2.4;0;0
Estatisticas Fluminense - Principal;2023090412;5;5;1;6;0;0
Estatisticas Fluminense - Principal;2023090516;5;5;2;3.2;0;0
Estatisticas Fluminense - Principal;2023090519;5;5;0;7.8;0;0
Estatisticas Fluminense - Principal;2023090622;5;5;1;4.6;0;0
Estatisticas Fluminense - Principal;2023090709;5;4;1;3.8;0;0
Estatisticas Fluminense - Principal;2023090814;5;5;0;15.2;0;0
Estatisticas Fluminense - Principal;2023090820;5;5;2;9;0;0
Fluminense x Fortaleza-CE;2023090318;5;5;0;48.6;0;0
Jogador;2023090314;5;5;0;37.8;0;0
Jogador;2023090622;5;5;0;10.8;0;0
Jogador;2023090815;5;5;0;38.6;0;0
Adversarios;2023090319;4;4;0;16.75;0;0
Adversarios;2023090517;4;4;0;45;0;0
Consultas Especiais;2023090209;4;4;0;8.5;0;0
Consultas Especiais;2023090319;4;4;0;3.5;0;0
Consultas Especiais;2023090513;4;4;0;4;0;0
Especiais Estadios;2023090318;4;4;0;3;0;0
Especiais Jogadores;2023090318;4;4;0;8.75;0;0
Estatisticas Fluminense - Principal;2023090213;4;4;1;3.25;0;0
Estatisticas Fluminense - Principal;2023090221;4;4;1;3.75;0;0
Estatisticas Fluminense - Principal;2023090222;4;4;0;1.75;0;0
Estatisticas Fluminense - Principal;2023090310;4;4;0;6;0;0
Estatisticas Fluminense - Principal;2023090312;4;4;1;5;0;0
Estatisticas Fluminense - Principal;2023090313;4;4;0;8;0;0
Estatisticas Fluminense - Principal;2023090321;4;4;3;4.5;0;0
Estatisticas Fluminense - Principal;2023090421;4;4;2;10.5;0;0
Estatisticas Fluminense - Principal;2023090422;4;4;2;3;0;0
Estatisticas Fluminense - Principal;2023090512;4;4;1;4.75;0;0
Estatisticas Fluminense - Principal;2023090515;4;4;2;3.75;0;0
Estatisticas Fluminense - Principal;2023090520;4;4;0;9;0;0
Estatisticas Fluminense - Principal;2023090611;4;4;1;3;0;0
Estatisticas Fluminense - Principal;2023090614;4;4;1;1.5;0;0
Estatisticas Fluminense - Principal;2023090618;4;4;4;10.25;0;0
Estatisticas Fluminense - Principal;2023090710;4;3;1;2.5;0;0
Estatisticas Fluminense - Principal;2023090715;4;4;0;1.75;0;0
Estatisticas Fluminense - Principal;2023090812;4;4;2;10.5;0;0
Estatisticas Fluminense - Principal;2023090816;4;4;1;2.5;0;0
Estatisticas Fluminense - Principal;2023090819;4;4;0;1.75;0;0
Fluminense x Fortaleza-CE;2023090319;4;4;0;26.5;0;0
Jogador;2023090613;4;4;0;79.5;0;0
Jogador;2023090623;4;4;1;57.75;0;0
Jogador;2023090814;4;4;0;30.75;0;0
Jogo;2023090515;4;4;0;34.5;0;0
Adversarios;2023090216;3;3;0;19.333333333333332;0;0
Adversarios;2023090316;3;3;0;12.666666666666666;0;0
Adversarios;2023090320;3;3;0;13.666666666666666;0;0
Adversarios;2023090511;3;3;0;11.333333333333334;0;0
Adversarios;2023090514;3;3;1;39.666666666666664;0;0
Adversarios;2023090519;3;3;0;12;0;0
Adversarios;2023090613;3;3;0;57;0;0
Consultas Especiais;2023090216;3;3;0;3;0;0
Consultas Especiais;2023090307;3;3;0;4.333333333333333;0;0
Consultas Especiais;2023090313;3;3;0;7.666666666666667;0;0
Consultas Especiais;2023090320;3;2;0;4.666666666666667;0;0
Consultas Especiais;2023090416;3;3;0;11.666666666666666;0;0
Consultas Especiais;2023090520;3;3;0;4.666666666666667;0;0
Consultas Especiais;2023090522;3;3;0;31;0;0
Consultas Especiais;2023090814;3;3;0;11;0;0
Especiais Adversarios;2023090319;3;3;0;24;0;0
Especiais Adversarios;2023090320;3;2;0;4.666666666666667;0;0
Especiais Jogadores;2023090422;3;2;0;19;0;0
Estatisticas Fluminense - Principal;2023090200;3;3;0;12;0;0
Estatisticas Fluminense - Principal;2023090208;3;3;0;3.6666666666666665;0;0
Estatisticas Fluminense - Principal;2023090210;3;3;2;17.333333333333332;0;0
Estatisticas Fluminense - Principal;2023090215;3;3;0;2;0;0
Estatisticas Fluminense - Principal;2023090217;3;3;0;1.6666666666666667;0;0
