# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240513
# Data de termino: 20240519
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
/consulta_especial_campeonato;20240515;5;3;0;10.2;0;0
/estadio;20240514;5;5;0;18.6;0;0
/link_jogo/4990;20240515;5;5;4;51.6;0;0
/mostra_especial/;20240517;5;3;0;63.2;0;0
/mostra_tecnico;20240516;5;3;0;6.2;0;0
/tecnico;20240516;5;4;0;9;0;0
/vitoria_turno;20240519;5;2;0;23;0;0
/arbitro;20240515;4;3;0;2.75;0;0
/consulta_especial_campeonato;20240518;4;3;0;39.25;0;0
/consulta_especial_jogos;20240513;4;4;0;6.25;0;0
/consulta_especial_jogos;20240514;4;4;0;50.5;0;0
/consulta_especial_jogos;20240516;4;3;0;6.25;0;0
/consulta_rodada/616000000;20240518;4;2;0;10;0;0
/curiosidade;20240515;4;4;0;31;0;0
/generico_ano/705106000;20240514;4;1;0;5;0;0
/generico_ano/706106000;20240517;4;4;0;1.75;0;0
/geral;20240517;4;3;0;29.75;0;0
/geral;20240519;4;4;0;19.25;0;0
/grafico;20240514;4;4;0;9.25;0;0
/link_jogador/2421;20240513;4;4;4;11;0;0
/link_jogador/2421;20240515;4;4;4;40.75;0;0
/link_jogador/2421;20240517;4;4;3;9.25;0;0
/link_jogo/3342;20240517;4;3;3;5.5;0;0
/link_jogo/8784;20240514;4;4;0;26.75;0;0
/link_jogo/8785;20240516;4;4;0;27.5;0;0
/mostra_estadio;20240513;4;3;0;12.75;0;0
/mostra_ranking/801000000000;20240517;4;4;0;41.25;0;0
/mostra_rkg/;20240513;4;3;0;33.75;0;0
/mostra_rkg/;20240519;4;3;0;188.5;0;0
/mostra_tecnico;20240514;4;4;0;18;0;0
/mostra_tecnico;20240519;4;4;0;25;0;0
/posicao_rodada;20240518;4;2;0;30.75;0;0
/susp_mch_ano;20240515;4;3;0;140.75;0;0
/tecnico;20240514;4;4;0;13.5;0;0
/tecnico;20240519;4;4;0;2.25;0;0
/vitoria_turno;20240516;4;4;0;3.75;0;0
/arbitro;20240517;3;3;0;52;0;0
/camisa;20240513;3;2;0;6.333333333333333;0;0
/camisa;20240515;3;3;0;5.333333333333333;0;0
/camisa;20240518;3;3;0;4;0;0
/camisa;20240519;3;3;0;6;0;0
/consulta_cartao/100289000;20240517;3;2;0;327.3333333333333;0;0
/consulta_especial_adversario;20240515;3;3;0;12;0;0
/consulta_especial_arbitro;20240516;3;2;0;11;0;0
/consulta_especial_jogos;20240517;3;3;0;2.6666666666666665;0;0
/consulta_especial_tecnico;20240513;3;3;0;15.666666666666666;0;0
/consulta_especial_tecnico;20240517;3;3;0;3.3333333333333335;0;0
/consulta_jogador/104999000;20240518;3;3;0;65.33333333333333;0;0
/consulta_patrocinio/400130000;20240519;3;2;0;23.666666666666668;0;0
/consulta_ranking/800103000000;20240516;3;3;0;8.666666666666666;0;0
/consulta_ranking/800103000000;20240517;3;3;0;17.666666666666668;0;0
/curiosidade;20240519;3;3;0;97.66666666666667;0;0
/estadio_todos;20240518;3;2;0;53.666666666666664;0;0
/estat_posicao/675000000000;20240518;3;2;0;297;0;0
/generico_ano/638000000;20240518;3;2;0;3;0;0
/generico_ano/706106000;20240514;3;1;0;2.3333333333333335;0;0
/generico_ano/706106000;20240515;3;3;0;2.3333333333333335;0;0
/geral;20240515;3;3;0;11.333333333333334;0;0
/geral;20240518;3;3;1;21.333333333333332;0;0
/grafico;20240516;3;3;0;40.333333333333336;0;0
/grafico_artilheiro/500;20240514;3;3;0;21.666666666666668;0;0
/link_adversario/89;20240513;3;3;0;20.333333333333332;0;0
/link_arbitro/1515;20240514;3;3;3;20;0;0
/link_estadio/55;20240518;3;3;0;2.3333333333333335;0;0
/link_gol/950;20240516;3;2;0;18;0;0
/link_jogador/2204;20240517;3;3;0;32;0;0
/link_jogador/2421;20240518;3;3;2;59.333333333333336;0;0
/link_jogador/306;20240518;3;1;0;14.333333333333334;0;0
/link_jogador/734;20240516;3;3;3;54;0;0
/link_jogo/2934;20240519;3;3;3;14;0;0
/link_jogo/3459;20240513;3;3;3;24.666666666666668;0;0
/link_jogo/3735;20240519;3;3;2;16;0;0
/link_jogo/4792;20240515;3;1;0;0.3333333333333333;0;0
/link_jogo/4806;20240515;3;3;0;7;0;0
