# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240701
# Data de termino: 20240707
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Estatisticas Fluminense - Principal;20240704;96;71;35;18.729166666666668;0;0;0
Estatisticas Fluminense - Principal;20240705;60;36;10;14.116666666666667;0;0;0
Estatisticas Fluminense - Principal;20240701;56;42;10;13.625;0;0;0
Estatisticas Fluminense - Principal;20240707;53;37;16;20.50943396226415;0;0;0
Estatisticas Fluminense - Principal;20240703;49;37;14;12.795918367346939;0;0;0
Estatisticas Fluminense - Principal;20240702;45;39;13;17.066666666666666;0;0;0
Estatisticas Fluminense - Principal;20240706;43;35;10;27.72093023255814;0;0;0
Fluminense x Internacional-RS;20240704;25;20;0;30;0;0;0
Jogador;20240705;21;17;0;17.047619047619047;0;0;0
Jogador;20240702;19;16;1;31.842105263157894;0;0;0
Jogador;20240701;16;16;0;23.125;0;0;0
Jogador;20240707;16;9;0;17.625;0;0;0
Jogador;20240704;14;12;0;40.42857142857143;0;0;0
Jogador;20240706;14;12;0;26.071428571428573;0;0;0
Jogo;20240701;14;13;0;33;0;0;0
Adversarios;20240704;13;12;0;14.384615384615385;0;0;0
Jogador;20240703;13;12;0;12.23076923076923;0;0;0
Felipe Fernandes de Lima;20240704;12;9;0;20.083333333333332;0;0;0
Fluminense x Fortaleza-CE;20240706;12;11;0;44.666666666666664;0;0;0
Jogo;20240703;12;8;0;169.25;0;0;0
Adversarios;20240706;11;9;0;22.454545454545453;0;0;0
Fluminense x Fortaleza-CE;20240707;10;9;0;18.1;0;0;0
Arbitros;20240704;10;9;0;7.6;0;0;0
Fluminense x Internacional-RS;20240703;9;7;0;29.333333333333332;0;0;0
Sidnei 1998;20240701;9;9;0;61.333333333333336;0;0;0
Adversarios;20240702;8;8;0;14.25;0;0;0
Adversarios;20240703;8;6;0;59.375;0;0;0
Especiais Jogadores;20240705;8;7;0;68.625;0;0;0
Adversarios;20240701;7;5;0;41.857142857142854;0;0;0
Adversarios;20240705;7;7;0;9.714285714285714;0;0;0
Especiais Jogadores;20240707;7;4;0;23.142857142857142;0;0;0
Jogo;20240705;7;6;0;8.142857142857142;0;0;0
Jogo;20240706;7;5;0;99.71428571428571;0;0;0
Fluminense 1 X 1 Internacional;20240705;6;5;0;48.333333333333336;0;0;0
Fluminense x ABC-RN;20240704;6;4;3;42;0;0;0
Fluminense x Internacional-RS;20240702;6;5;0;74.5;0;0;0
Fluminense x Internacional-RS;20240705;6;6;0;24.333333333333332;0;0;0
Jogo;20240702;6;6;0;43.166666666666664;0;0;0
Jogo;20240704;6;6;0;27.833333333333332;0;0;0
Sidnei 1998;20240702;6;5;0;58.833333333333336;0;0;0
Brasileiro Serie B 1998;20240704;5;5;4;23.2;0;0;0
Brasileiro Serie B 1998;20240707;5;4;3;5.8;0;0;0
Campeonatos;20240703;5;4;0;76;0;0;0
Campeonatos;20240704;5;5;0;20.4;0;0;0
Campeonatos;20240706;5;4;0;51;0;0;0
Especiais Adversarios;20240704;5;4;0;8.6;0;0;0
Especiais Sequencias;20240707;5;2;0;19;0;0;0
Fluminense 2 X 3 ABC;20240703;5;5;4;26.2;0;0;0
Gols do Leonardo;20240701;5;1;0;0;0;0;0
Informacoes Gerais;20240705;5;4;0;6.4;0;0;0
Jogo;20240707;5;3;0;39.8;0;0;0
Maracana;20240704;5;5;0;5.4;0;0;0
Sequencias em Campeonato;20240701;5;3;0;19;0;0;0
Tecnico;20240702;5;5;0;27;0;0;0
Arbitros;20240703;5;4;0;8.2;0;0;0
Arbitros;20240707;5;4;0;9;0;0;0
Adversarios;20240707;4;4;0;16.75;0;0;0
Andre 2024;20240703;4;3;1;9.25;0;0;0
Andre 2024;20240704;4;4;2;9.75;0;0;0
Brasileiro Serie B 1998;20240701;4;4;2;11.5;0;0;0
Brasileiro Serie B 1998;20240703;4;4;4;23;0;0;0
Brasileiro Serie B 1998;20240706;4;4;1;28;0;0;0
Campeonatos;20240705;4;4;0;11.75;0;0;0
Carioca 1995;20240701;4;1;0;1.25;0;0;0
Especiais Adversarios;20240703;4;4;0;17;0;0;0
Especiais Jogadores;20240702;4;4;0;25.5;0;0;0
Especiais Jogadores;20240706;4;4;1;5.75;0;0;0
Especiais Sequencias;20240701;4;2;0;34.25;0;0;0
Fluminense 2 X 3 ABC;20240707;4;4;4;8.5;0;0;0
Fluminense x Fortaleza-CE;20240705;4;4;0;25.75;0;0;0
Gremio 1 X 0 Fluminense;20240701;4;3;0;56;0;0;0
Informacoes Gerais;20240701;4;2;0;15.25;0;0;0
Informacoes Gerais;20240707;4;2;0;40;0;0;0
Jhon Arias 2024;20240705;4;1;0;19.75;0;0;0
Jogos em 04 / 2005;20240702;4;1;0;3.25;0;0;0
Marquinhos 2024;20240707;4;2;0;11.5;0;0;0
