# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240722
# Data de termino: 20240728
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
/jogador;20240728;16;16;2;46.875;0;0;0
/campeonato;20240728;6;6;0;44;0;0;0
/campeonato;20240722;3;3;0;37.666666666666664;0;0;0
/jogador;20240723;25;21;0;34.16;0;0;0
/adversario;20240726;7;6;0;33.42857142857143;0;0;0
/adversario;20240728;12;12;0;31.833333333333332;0;0;0
/campeonato;20240723;9;7;0;27.666666666666668;0;0;0
/adversario;20240722;14;12;0;27.642857142857142;0;0;0
/adversario;20240725;26;22;0;25.26923076923077;0;0;0
/jogador;20240725;32;24;0;24.28125;0;0;0
/adversario;20240723;8;8;0;21.625;0;0;0
/campeonato;20240726;5;5;0;20.2;0;0;0
/jogador;20240726;15;11;1;20.2;0;0;0
/adversario;20240727;8;6;0;19.75;0;0;0
/jogador;20240727;14;11;0;18.714285714285715;0;0;0
/arbitro;20240722;11;10;2;18.363636363636363;0;0;0
/adversario;20240724;14;14;1;18.142857142857142;0;0;0
/arbitro;20240726;8;7;0;17.75;0;0;0
/campeonato;20240724;10;8;0;15.1;0;0;0
/jogador;20240722;29;22;0;13.689655172413794;0;0;0
/arbitro;20240723;9;7;0;13.222222222222221;0;0;0
/estadio;20240724;3;3;0;12.666666666666666;0;0;0
/jogador;20240724;21;16;0;12.571428571428571;0;0;0
/tecnico;20240724;7;6;0;12.571428571428571;0;0;0
/arbitro;20240728;2;2;0;11.5;0;0;0
/campeonato;20240725;13;10;0;10;0;0;0
/tecnico;20240723;1;1;0;10;0;0;0
/tecnico;20240725;8;7;0;9.5;0;0;0
/arbitro;20240725;2;2;0;8.5;0;0;0
/estadio;20240723;2;2;0;8;0;0;0
/arbitro;20240724;8;8;1;7.5;0;0;0
/campeonato;20240727;4;4;1;6.5;0;0;0
/tecnico;20240722;3;3;0;5.333333333333333;0;0;0
/arbitro;20240727;3;3;0;4.666666666666667;0;0;0
/estadio;20240726;1;1;0;4;0;0;0
/estadio;20240727;2;2;0;4;0;0;0
/estadio;20240728;1;1;0;4;0;0;0
/estadio;20240725;1;1;0;0;0;0;0
