# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
#  
# Data de inicio: 20240708
# Data de termino: 20240714
Nº dia;Novos usuarios
0000;45
0001;46
0002;27
0003;50
0004;41
0005;238
0006;59

# Data de inicio: 20240708
# Data de termino: 20240714
Nº dia;Usuarios recorrentes
0000;34
0001;38
0002;35
0003;48
0004;33
0005;20
0006;21

#  
# Data de inicio: 20240708
# Data de termino: 20240714
Coorte;Dia 1;Dia 7
0;0.022222222222222223;0
1;0;0
2;0.1111111111111111;0
3;0;0
4;0.024390243902439025;0
5;0.004201680672268907;0
6;0;0

#  
# Data de inicio: 20240708
# Data de termino: 20240714
Coorte;Dia 1;Dia 7
0;8;0
1;0;0
2;164.66666666666666;0
3;0;0
4;2;0
5;171;0
6;0;0

#  
# Data de inicio: 20240603
# Data de termino: 20240714
Coorte;Usuarios
0000;1
0001;0.021222410865874362
0002;0.00914235959947758
0003;0.013113161728994658
0004;0.00842418235877106
0005;0.009654471544715448
0006;0.0077279752704791345
0007;0.008438818565400843
0008;0.007563479200432199
0009;0.00774764803541782
0010;0.0056401579244218835
0011;0.004016064257028112
0012;0.004793289394847214
0013;0.005545286506469501
0014;0.0019023462270133164
0015;0.006523157208088715
0016;0.006085192697768763
0017;0.0041928721174004195
0018;0.004310344827586207
0019;0.00532319391634981
0020;0.0031545741324921135
0021;0.004132231404958678
0022;0
0023;0.0019743336623889436
0024;0.0010204081632653062
0025;0.0021436227224008574
0026;0.0011574074074074073
0027;0.0012239902080783353
0028;0.0012836970474967907
0029;0.0026917900403768506
0030;0.002881844380403458
0031;0.004862236628849271
0032;0.0034482758620689655
0033;0.001869158878504673
0034;0.004132231404958678
0035;0
0036;0
0037;0.003355704697986577
0038;0
0039;0
0040;0
0041;0.008849557522123894

#  
# Data de inicio: 20240603
# Data de termino: 20240714
Coorte;Tempo medio de engajamento
0000;71.69879260788257
0001;222.86904761904762
0002;83.1951219512195
0003;134.36666666666665
0004;117.05128205128206
0005;68.63157894736842
0006;44.25675675675676
0007;55.56944444444444
0008;31.728571428571428
0009;25.88235294117647
0010;85.5909090909091
0011;29.708333333333336
0012;19.806451612903224
0013;58.833333333333336
0014;5.9655172413793105
0015;10.440476190476192
0016;34.5
0017;13.076923076923077
0018;60.28
0019;27.395833333333332
0020;62.95652173913044
0021;181.13636363636363
0022;0
0023;4.4
0024;1.1578947368421053
0025;0.7777777777777778
0026;1.2941176470588236
0027;0.8125
0028;7.133333333333334
0029;8.5
0030;32.23076923076923
0031;23.166666666666668
0032;12.454545454545455
0033;4.8
0034;33.44444444444444
0035;0
0036;0
0037;4.666666666666667
0038;0
0039;0
0040;0
0041;148

#  
# Data de inicio: 20240317
# Data de termino: 20240714
Coorte;LTV
0000;0
0001;0
0002;0
0003;0
0004;0
0005;0
0006;0
0007;0
0008;0
0009;0
0010;0
0011;0
0012;0
0013;0
0014;0
0015;0
0016;0
0017;0
0018;0
0019;0
0020;0
0021;0
0022;0
0023;0
0024;0
0025;0
0026;0
0027;0
0028;0
0029;0
0030;0
0031;0
0032;0
0033;0
0034;0
0035;0
0036;0
0037;0
0038;0
0039;0
0040;0
0041;0
0042;0
0043;0
0044;0
0045;0
0046;0
0047;0
0048;0
0049;0
0050;0
0051;0
0052;0
0053;0
0054;0
0055;0
0056;0
0057;0
0058;0
0059;0
0060;0
0061;0
0062;0
0063;0
0064;0
0065;0
0066;0
0067;0
0068;0
0069;0
0070;0
0071;0
0072;0
0073;0
0074;0
0075;0
0076;0
0077;0
0078;0
0079;0
0080;0
0081;0
0082;0
0083;0
0084;0
0085;0
0086;0
0087;0
0088;0
0089;0
0090;0
0091;0
0092;0
0093;0
0094;0
0095;0
0096;0
0097;0
0098;0
0099;0
0100;0
0101;0
0102;0
0103;0
0104;0
0105;0
0106;0
0107;0
0108;0
0109;0
0110;0
0111;0
0112;0
0113;0
0114;0
0115;0
0116;0
0117;0
0118;0
0119;0
