# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240119
# Data de termino: 20240121
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
Estatisticas Fluminense - Principal;2024012023;29;29;24;5.448275862068965;0;0
Estatisticas Fluminense - Principal;2024012110;11;10;6;4.181818181818182;0;0
Estatisticas Fluminense - Principal;2024012116;11;11;6;3.4545454545454546;0;0
Estatisticas Fluminense - Principal;2024012100;10;10;9;8.2;0;0
Estatisticas Fluminense - Principal;2024012114;10;10;3;4.9;0;0
Estatisticas Fluminense - Principal;2024012115;10;9;5;10.1;0;0
Estatisticas Fluminense - Principal;2024011900;9;9;2;6.888888888888889;0;0
Estatisticas Fluminense - Principal;2024012120;9;9;5;5.333333333333333;0;0
Estatisticas Fluminense - Principal;2024012113;8;8;6;5.375;0;0
Estatisticas Fluminense - Principal;2024012122;8;8;5;1.25;0;0
Jogador;2024012023;8;8;0;21.25;0;0
Camisa;2024012023;7;7;1;9.571428571428571;0;0
Estatisticas Fluminense - Principal;2024012101;7;7;6;5.428571428571429;0;0
Estatisticas Fluminense - Principal;2024012112;7;6;3;5.714285714285714;0;0
Estatisticas Fluminense - Principal;2024012118;7;7;0;2.7142857142857144;0;0
Estatisticas Fluminense - Principal;2024012121;7;6;1;4;0;0
Informacoes Gerais;2024011900;7;7;0;28.714285714285715;0;0
Jogador;2024012116;7;7;0;14;0;0
Estatisticas Fluminense - Principal;2024011915;6;6;6;9.833333333333334;0;0
Estatisticas Fluminense - Principal;2024011920;6;6;1;2.1666666666666665;0;0
Estatisticas Fluminense - Principal;2024012014;6;6;0;9.5;0;0
Estatisticas Fluminense - Principal;2024012016;6;6;4;9.833333333333334;0;0
Estatisticas Fluminense - Principal;2024012108;6;6;2;6;0;0
Consultas Especiais;2024012023;5;5;0;3.2;0;0
Estatisticas Fluminense - Principal;2024011909;5;5;0;5.2;0;0
Estatisticas Fluminense - Principal;2024011917;5;5;1;1.4;0;0
Estatisticas Fluminense - Principal;2024011919;5;5;0;10.6;0;0
Estatisticas Fluminense - Principal;2024012011;5;5;1;4;0;0
Estatisticas Fluminense - Principal;2024012018;5;4;0;2.6;0;0
Estatisticas Fluminense - Principal;2024012019;5;4;0;0.8;0;0
Estatisticas Fluminense - Principal;2024012109;5;5;1;13;0;0
Estatisticas Fluminense - Principal;2024012119;5;5;1;2.6;0;0
Estadios;2024012114;5;5;0;11;0;0
Jogador;2024012016;5;5;0;52;0;0
Jogador;2024012118;5;5;0;22.2;0;0
Adversarios;2024012023;4;4;0;42.75;0;0
Campeonatos;2024012114;4;4;0;59;0;0
Consultas Especiais;2024011900;4;4;0;16.75;0;0
Consultas Especiais;2024012114;4;4;0;5;0;0
Especiais Gerais;2024011900;4;4;0;15.5;0;0
Estatisticas Fluminense - Principal;2024011918;4;3;0;4.5;0;0
Estatisticas Fluminense - Principal;2024011923;4;4;2;6.5;0;0
