# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240429
# Data de termino: 20240505
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
/adversario;20240430;15;14;0;96.26666666666667;0;0
/adversario;20240504;15;11;0;72.6;0;0
/tecnico;20240429;4;4;0;68.25;0;0
/adversario;20240429;17;12;0;56.23529411764706;0;0
/jogador;20240505;11;11;2;39.63636363636363;0;0
/adversario;20240505;7;7;0;38.714285714285715;0;0
/campeonato;20240505;2;2;0;38.5;0;0
/arbitro;20240501;5;4;0;38.2;0;0
/estadio;20240501;11;11;0;34.63636363636363;0;0
/jogador;20240429;20;14;0;30.05;0;0
/jogador;20240502;19;16;0;28.105263157894736;0;0
/estadio;20240502;7;6;0;28;0;0
/arbitro;20240504;34;30;0;27.441176470588236;0;0
/adversario;20240501;17;15;0;27.235294117647058;0;0
/jogador;20240430;15;14;1;26.266666666666666;0;0
/jogador;20240501;28;23;1;24.928571428571427;0;0
/jogador;20240504;29;27;2;24.275862068965516;0;0
/jogador;20240503;22;17;0;24.136363636363637;0;0
/estadio;20240429;3;3;1;20.666666666666668;0;0
/adversario;20240503;19;17;0;18.789473684210527;0;0
/adversario;20240502;14;13;0;16.785714285714285;0;0
/campeonato;20240503;11;9;0;16.727272727272727;0;0
/estadio;20240503;6;6;0;16;0;0
/estadio;20240505;4;3;0;16;0;0
/campeonato;20240429;7;6;0;15.285714285714286;0;0
/arbitro;20240505;3;3;0;15;0;0
/tecnico;20240501;5;5;0;14.4;0;0
/campeonato;20240501;7;7;0;11.428571428571429;0;0
/estadio;20240504;8;8;0;10.875;0;0
/estadio;20240430;5;5;0;10.2;0;0
/tecnico;20240505;1;1;0;10;0;0
/arbitro;20240430;8;8;1;9.125;0;0
/campeonato;20240504;8;8;0;8.5;0;0
/campeonato;20240430;4;4;0;8.25;0;0
/arbitro;20240503;11;10;0;6.909090909090909;0;0
/tecnico;20240430;7;5;0;6.857142857142857;0;0
/campeonato;20240502;3;3;0;6.333333333333333;0;0
/tecnico;20240504;6;4;0;6;0;0
/tecnico;20240503;3;3;0;5.333333333333333;0;0
/arbitro;20240429;2;2;0;5;0;0
/arbitro;20240502;1;1;0;4;0;0
/tecnico;20240502;3;3;0;2.3333333333333335;0;0
