# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240506
# Data de termino: 20240512
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
Estatisticas Fluminense - Principal;2024050923;14;14;6;28.357142857142858;0;0
Estatisticas Fluminense - Principal;2024051010;14;14;5;12.928571428571429;0;0
Estatisticas Fluminense - Principal;2024050918;11;11;9;36.36363636363637;0;0
Estatisticas Fluminense - Principal;2024050920;10;9;5;12.9;0;0
Estatisticas Fluminense - Principal;2024050711;9;9;0;4.555555555555555;0;0
Estatisticas Fluminense - Principal;2024050919;8;8;3;17.5;0;0
Estatisticas Fluminense - Principal;2024051011;8;7;2;10.625;0;0
Estatisticas Fluminense - Principal;2024051009;7;7;0;22.285714285714285;0;0
Estatisticas Fluminense - Principal;2024051220;7;7;4;43.42857142857143;0;0
Estatisticas Fluminense - Principal;2024051221;7;7;1;37.42857142857143;0;0
Estatisticas Fluminense - Principal;2024050617;6;5;2;8;0;0
Estatisticas Fluminense - Principal;2024050817;6;6;2;296;0;0
Estatisticas Fluminense - Principal;2024050916;6;6;3;14;0;0
Estatisticas Fluminense - Principal;2024051001;6;6;1;15.666666666666666;0;0
Estatisticas Fluminense - Principal;2024051007;6;5;2;17.5;0;0
Estatisticas Fluminense - Principal;2024051018;6;6;1;9.166666666666666;0;0
Jogo;2024051010;6;5;0;39.666666666666664;0;0
Adversarios;2024050609;5;5;0;29.8;0;0
Adversarios;2024051220;5;5;0;32.2;0;0
Especiais Jogadores;2024050923;5;5;0;21.8;0;0
Estatisticas Fluminense - Principal;2024050609;5;5;2;35.2;0;0
Estatisticas Fluminense - Principal;2024050713;5;5;2;13.4;0;0
Estatisticas Fluminense - Principal;2024050715;5;5;2;5.6;0;0
Estatisticas Fluminense - Principal;2024050809;5;5;1;3.4;0;0
Estatisticas Fluminense - Principal;2024050815;5;5;1;8.4;0;0
Estatisticas Fluminense - Principal;2024050900;5;5;0;5.8;0;0
Estatisticas Fluminense - Principal;2024050910;5;5;2;13.4;0;0
Estatisticas Fluminense - Principal;2024050922;5;5;1;50;0;0
Estatisticas Fluminense - Principal;2024051012;5;5;0;9.2;0;0
Estatisticas Fluminense - Principal;2024051117;5;5;3;1;0;0
Estatisticas Fluminense - Principal;2024051119;5;5;1;11.6;0;0
Estatisticas Fluminense - Principal;2024051222;5;5;2;17.6;0;0
Estatisticas Fluminense - Principal;2024051223;5;5;2;12.2;0;0
Adversarios;2024050617;4;4;0;35;0;0
Botafogo SP 1 X 1 Fluminense;2024050618;4;4;4;29.5;0;0
Especiais Jogadores;2024051221;4;4;0;7.25;0;0
Estatisticas Fluminense - Principal;2024050619;4;3;1;3.75;0;0
Estatisticas Fluminense - Principal;2024050721;4;4;1;27.5;0;0
Estatisticas Fluminense - Principal;2024050821;4;4;0;45.5;0;0
Estatisticas Fluminense - Principal;2024050909;4;4;2;1.25;0;0
Estatisticas Fluminense - Principal;2024050912;4;4;2;90.25;0;0
Estatisticas Fluminense - Principal;2024050913;4;4;3;31;0;0
Estatisticas Fluminense - Principal;2024050917;4;4;3;18.75;0;0
Estatisticas Fluminense - Principal;2024051000;4;3;0;26;0;0
Estatisticas Fluminense - Principal;2024051008;4;4;2;18;0;0
Estatisticas Fluminense - Principal;2024051013;4;4;1;8.5;0;0
Estatisticas Fluminense - Principal;2024051015;4;4;0;9.75;0;0
Estatisticas Fluminense - Principal;2024051017;4;4;1;6.25;0;0
Estatisticas Fluminense - Principal;2024051019;4;4;1;20.75;0;0
Estatisticas Fluminense - Principal;2024051111;4;4;1;26.25;0;0
Estatisticas Fluminense - Principal;2024051113;4;4;2;11.25;0;0
Estatisticas Fluminense - Principal;2024051115;4;4;3;7.5;0;0
Estatisticas Fluminense - Principal;2024051120;4;4;0;7.25;0;0
Estatisticas Fluminense - Principal;2024051121;4;4;0;30;0;0
Estatisticas Fluminense - Principal;2024051211;4;4;1;9.5;0;0
Estatisticas Fluminense - Principal;2024051214;4;4;2;8.25;0;0
Fluminense x Sao Paulo-SP;2024051220;4;4;0;33;0;0
Jogador;2024050713;4;4;0;22.5;0;0
Jogador;2024050721;4;4;0;65.5;0;0
Jogador;2024050916;4;3;0;14.75;0;0
Jogador;2024050919;4;4;0;24;0;0
Jogador;2024051010;4;4;0;22.5;0;0
Jogador;2024051011;4;4;0;8.25;0;0
Jogador;2024051015;4;4;0;10;0;0
Jogador;2024051118;4;4;0;17.25;0;0
Libertadores da America;2024051010;4;4;0;34;0;0
40 Maiores idolos;2024051021;3;3;0;212;0;0
Adversarios;2024050900;3;3;0;27.333333333333332;0;0
Adversarios;2024051001;3;3;0;14.333333333333334;0;0
Adversarios;2024051222;3;3;0;38.333333333333336;0;0
Campeonatos;2024050619;3;2;0;6.333333333333333;0;0
Campeonatos;2024051009;3;3;0;3;0;0
Campeonatos;2024051010;3;3;0;14;0;0
Campeonatos;2024051014;3;2;0;12.666666666666666;0;0
Especiais Campeonatos;2024050923;3;3;0;11.333333333333334;0;0
Especiais Jogadores;2024051010;3;3;0;124.66666666666667;0;0
Especiais Jogadores;2024051019;3;3;0;12.333333333333334;0;0
Estatisticas Fluminense - Principal;2024050610;3;3;1;8.333333333333334;0;0
Estatisticas Fluminense - Principal;2024050613;3;2;0;1.3333333333333333;0;0
Estatisticas Fluminense - Principal;2024050618;3;3;1;12.666666666666666;0;0
Estatisticas Fluminense - Principal;2024050622;3;3;1;19.666666666666668;0;0
Estatisticas Fluminense - Principal;2024050717;3;3;0;22.666666666666668;0;0
Estatisticas Fluminense - Principal;2024050808;3;3;2;8.333333333333334;0;0
Estatisticas Fluminense - Principal;2024050810;3;3;1;45.666666666666664;0;0
Estatisticas Fluminense - Principal;2024050813;3;3;0;28.333333333333332;0;0
Estatisticas Fluminense - Principal;2024050816;3;3;1;26.666666666666668;0;0
Estatisticas Fluminense - Principal;2024050820;3;3;0;29.666666666666668;0;0
Estatisticas Fluminense - Principal;2024050911;3;3;0;2.3333333333333335;0;0
Estatisticas Fluminense - Principal;2024050921;3;3;2;21.333333333333332;0;0
Estatisticas Fluminense - Principal;2024051004;3;3;2;6;0;0
Estatisticas Fluminense - Principal;2024051006;3;3;1;8.666666666666666;0;0
Estatisticas Fluminense - Principal;2024051014;3;3;1;11.333333333333334;0;0
Estatisticas Fluminense - Principal;2024051021;3;3;1;10.333333333333334;0;0
Estatisticas Fluminense - Principal;2024051102;3;3;2;20.333333333333332;0;0
Estatisticas Fluminense - Principal;2024051107;3;3;2;3.3333333333333335;0;0
Estatisticas Fluminense - Principal;2024051114;3;3;1;1.6666666666666667;0;0
Estatisticas Fluminense - Principal;2024051118;3;3;0;20.666666666666668;0;0
Estatisticas Fluminense - Principal;2024051216;3;3;2;22;0;0
Felipe Melo 2024;2024050911;3;2;0;180.66666666666666;0;0
Fluminense x Sao Paulo-SP;2024051219;3;2;0;13.666666666666666;0;0
German Cano 2024;2024050921;3;3;3;81.66666666666667;0;0
Goleiros com mais jogos;2024050923;3;3;0;18.666666666666668;0;0
Jogador;2024050618;3;3;1;15.333333333333334;0;0
Jogador;2024050622;3;3;0;41;0;0
Jogador;2024050711;3;3;0;18;0;0
Jogador;2024050715;3;3;0;14.666666666666666;0;0
Jogador;2024050719;3;3;0;12;0;0
Jogador;2024050807;3;3;1;23.333333333333332;0;0
Jogador;2024050910;3;3;0;8.666666666666666;0;0
Jogador;2024050920;3;3;0;27.666666666666668;0;0
Jogador;2024051013;3;3;0;22;0;0
Jogador;2024051101;3;2;0;7;0;0
Jogador;2024051110;3;3;0;6;0;0
Jogador;2024051114;3;3;0;6.666666666666667;0;0
Jogador;2024051115;3;3;0;5;0;0
Jogador;2024051219;3;3;0;73.66666666666667;0;0
Jogador;2024051221;3;3;0;188;0;0
Jogador;2024051222;3;3;1;21.666666666666668;0;0
Jogo;2024050809;3;2;0;117.33333333333333;0;0
Jogo;2024050810;3;3;0;143.33333333333334;0;0
Jogo;2024050813;3;2;0;26.333333333333332;0;0
Jogo;2024050916;3;3;0;71.66666666666667;0;0
Jogo;2024050917;3;2;0;37;0;0
Jogo;2024050923;3;3;0;29.333333333333332;0;0
Jogo;2024051011;3;3;0;59;0;0
Jogo;2024051111;3;3;0;34.333333333333336;0;0
Jogo;2024051115;3;3;0;59.333333333333336;0;0
Jogo;2024051212;3;3;0;73;0;0
Jogo;2024051215;3;3;0;54.333333333333336;0;0
Jogo;2024051221;3;3;0;14;0;0
Libertadores da America;2024051011;3;3;0;42;0;0
Mais jogos no elenco atual;2024050923;3;3;0;40;0;0
Manoel 2024;2024051010;3;3;0;56.666666666666664;0;0
Martinelli 2024;2024051009;3;2;0;2.6666666666666665;0;0
Thiago Silva 2008;2024050711;3;3;0;12.666666666666666;0;0
Thiago Silva 2008;2024050713;3;3;0;8.666666666666666;0;0
Todos os jogos no(a) Libertadores da America;2024050923;3;3;0;162;0;0
Arbitros;2024050901;3;3;0;0.6666666666666666;0;0
30 Arbitros que mais apitaram;2024051010;2;2;0;9.5;0;0
Adversario do mesmo pais;2024050923;2;2;0;3.5;0;0
Adversarios;2024050611;2;1;0;20;0;0
Adversarios;2024050622;2;2;0;97.5;0;0
Adversarios;2024050809;2;2;0;12.5;0;0
Adversarios;2024050817;2;2;0;11.5;0;0
Adversarios;2024050909;2;2;0;255.5;0;0
Adversarios;2024050920;2;2;0;28.5;0;0
Adversarios;2024050923;2;2;0;39.5;0;0
Adversarios;2024051007;2;2;0;9.5;0;0
Adversarios;2024051011;2;2;0;64.5;0;0
Adversarios;2024051013;2;2;0;13;0;0
Adversarios;2024051016;2;2;0;3;0;0
Adversarios;2024051216;2;2;0;58.5;0;0
Adversarios Internacionais;2024050923;2;2;0;34;0;0
Adversarios da Chile;2024050923;2;2;0;44;0;0
Anderson Daronco;2024051214;2;2;0;17.5;0;0
Anderson Daronco;2024051220;2;2;0;99.5;0;0
Artilheiros dos Seculos;2024051010;2;2;0;13.5;0;0
Assis 1975;2024050920;2;1;0;4.5;0;0
Bangu 0 X 1 Fluminense;2024051115;2;2;0;2;0;0
Botafogo SP 1 X 1 Fluminense;2024050706;2;2;2;15;0;0
Brasileiro;2024050711;2;1;0;0;0;0
Brasileiro;2024051014;2;1;0;294;0;0
Brasileiro 2023;2024050915;2;1;0;29.5;0;0
Brasileiro 2024;2024051013;2;2;0;9;0;0
Campeonatos;2024050611;2;2;0;20;0;0
Campeonatos;2024050612;2;2;0;70;0;0
Campeonatos;2024050711;2;1;0;1.5;0;0
Campeonatos;2024050721;2;2;0;37;0;0
Campeonatos;2024050810;2;2;0;32;0;0
Campeonatos;2024050915;2;1;0;21;0;0
Campeonatos;2024050916;2;2;0;4.5;0;0
Campeonatos;2024050919;2;2;0;8;0;0
Campeonatos;2024050923;2;2;0;27.5;0;0
Campeonatos;2024051007;2;2;0;6.5;0;0
Campeonatos;2024051011;2;2;0;6.5;0;0
Campeonatos;2024051221;2;2;0;8.5;0;0
Colo Colo 0 X 1 Fluminense;2024051008;2;2;0;36.5;0;0
Colo Colo 0 X 1 Fluminense;2024051011;2;2;0;17;0;0
Curiosidades e Titulos;2024050721;2;2;0;37.5;0;0
Curiosidades e Titulos;2024050821;2;2;0;8;0;0
Curiosidades e Titulos;2024050916;2;2;0;23.5;0;0
Douglas Costa 2024;2024051011;2;2;0;12.5;0;0
Edinho 1989;2024051109;2;1;0;1.5;0;0
Especiais Adversarios;2024050817;2;2;0;5.5;0;0
Especiais Adversarios;2024050923;2;2;0;75;0;0
Especiais Adversarios;2024051220;2;2;0;4.5;0;0
Especiais Adversarios;2024051221;2;2;0;12.5;0;0
Especiais Brasileirao;2024051220;2;2;0;1.5;0;0
Especiais Campeonatos;2024051006;2;2;0;9;0;0
Especiais Estadios;2024051219;2;2;0;2.5;0;0
Especiais Historicos;2024050821;2;2;0;20.5;0;0
Especiais Historicos;2024051010;2;2;0;51;0;0
Especiais Jogadores;2024050618;2;2;0;27.5;0;0
Especiais Jogadores;2024050619;2;2;0;25.5;0;0
Especiais Jogadores;2024050621;2;1;0;6.5;0;0
Especiais Jogadores;2024050722;2;2;1;2;0;0
Especiais Jogadores;2024050910;2;2;0;20;0;0
Especiais Jogadores;2024050912;2;2;0;54;0;0
Especiais Jogadores;2024050920;2;1;0;15;0;0
Especiais Jogadores;2024051009;2;2;0;23;0;0
