# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240722
# Data de termino: 20240728
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
web / mobile;20240725;83;60;75;0.6818181818181818;0.9036144578313253;113.13253012048193;1442;0;0
web / mobile;20240724;77;53;63;0.6923076923076923;0.8181818181818182;56.36363636363637;694;0;0
web / mobile;20240728;71;46;70;0.6796116504854369;0.9859154929577465;168.67605633802816;1571;0;0
web / mobile;20240722;62;36;54;0.5869565217391305;0.8709677419354839;100.43548387096774;1027;0;0
web / desktop;20240725;59;22;80;0.8791208791208791;1.3559322033898304;485.03389830508473;3892;0;0
web / desktop;20240724;54;23;61;0.7922077922077922;1.1296296296296295;226.75925925925927;1974;0;0
web / mobile;20240727;48;35;36;0.631578947368421;0.75;57.729166666666664;559;0;0
web / mobile;20240723;45;31;41;0.6612903225806451;0.9111111111111111;78.04444444444445;644;0;0
web / desktop;20240723;42;17;51;0.796875;1.2142857142857142;461.73809523809524;2517;0;0
web / mobile;20240726;41;34;28;0.6363636363636364;0.6829268292682927;73.04878048780488;393;0;0
web / desktop;20240722;39;12;51;0.8225806451612904;1.3076923076923077;287.8974358974359;1508;0;0
web / desktop;20240726;35;11;49;0.8032786885245902;1.4;249.14285714285714;1492;0;0
web / desktop;20240728;34;13;37;0.6607142857142857;1.088235294117647;298.29411764705884;1075;0;0
web / desktop;20240727;31;9;40;0.7407407407407407;1.2903225806451613;169.1290322580645;806;0;0
web / tablet;20240726;2;1;1;0.5;0.5;264.5;55;0;0
web / tablet;20240728;1;1;0;0;0;0;3;0;0
web / tablet;20240727;0;0;0;0;0;0;2;0;0
